Reporting Area, Malaria: Current week, Malaria: Previous 52 weeks Max , Malaria: Cum YTD 2022 , Malaria: Cum YTD 2021 , Measles §: Imported: Current week, Measles §: Imported: Previous 52 weeks Max , Measles §: Imported: Cum YTD 2022 , Measles §: Imported: Cum YTD 2021 , Measles §: Indigenous: Current week, Measles §: Indigenous: Previous 52 weeks Max , Measles §: Indigenous: Cum YTD 2022 , Measles §: Indigenous: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,12,59,627,704,-,4,5,1,-,14,1,1,
New England,1,5,35,34,-,0,-,1,-,0,-,1,
Connecticut,-,0,-,2,-,0,-,1,-,0,-,1,
Maine,-,1,1,1,-,0,-,-,-,0,-,-,
Massachusetts,1,5,30,25,-,0,-,-,-,0,-,-,
New Hampshire,-,1,1,1,-,0,-,-,-,0,-,-,
Rhode Island,-,2,3,3,-,0,-,-,-,0,-,-,
Vermont,-,1,-,2,-,0,-,-,-,0,-,-,
Middle Atlantic,4,20,149,175,-,0,-,-,-,1,-,-,
New Jersey,-,5,16,36,-,0,-,-,-,1,-,-,
New York (excluding New York City),-,3,20,30,-,0,-,-,-,0,-,-,
New York City,4,13,87,77,-,0,-,-,-,0,-,-,
Pennsylvania,-,4,26,32,-,0,-,-,-,0,-,-,
East North Central,1,7,65,66,-,1,1,-,-,13,-,-,
Illinois,-,4,14,19,-,0,-,-,-,0,-,-,
Indiana,-,2,4,8,-,0,-,-,-,0,-,-,
Michigan,-,2,10,1,-,0,-,-,-,0,-,-,
Ohio,1,7,37,36,-,1,1,-,-,0,-,-,
Wisconsin,-,1,-,2,-,1,-,-,-,13,-,-,
West North Central,-,7,34,81,-,1,2,-,-,0,-,-,
Iowa,-,2,5,13,-,0,-,-,-,0,-,-,
Kansas,-,3,8,2,-,0,-,-,-,0,-,-,
Minnesota,-,4,-,43,-,1,2,-,-,0,-,-,
Missouri,-,2,11,5,-,0,-,-,-,0,-,-,
Nebraska,-,2,2,2,-,0,-,-,-,0,-,-,
North Dakota,-,2,7,10,-,0,-,-,-,0,-,-,
South Dakota,-,1,1,6,-,0,-,-,-,0,-,-,
South Atlantic,2,17,150,188,-,3,2,-,-,5,1,-,
Delaware,-,1,1,5,-,0,-,-,-,0,-,-,
District of Columbia,-,2,3,3,-,0,-,-,-,0,-,-,
Florida,-,4,28,21,-,0,-,-,-,0,-,-,
Georgia,-,3,13,24,-,0,-,-,-,0,-,-,
Maryland,2,12,42,91,-,0,-,-,-,0,-,-,
North Carolina,-,4,14,15,-,0,-,-,-,0,-,-,
South Carolina,-,0,-,-,-,0,-,-,-,1,1,-,
Virginia,-,8,47,29,-,3,2,-,-,5,-,-,
West Virginia,-,1,2,-,-,0,-,-,-,0,-,-,
East South Central,-,4,19,18,-,0,-,-,-,0,-,-,
Alabama,-,2,5,5,-,0,-,-,-,0,-,-,
Kentucky,-,2,7,5,-,0,-,-,-,0,-,-,
Mississippi,-,0,-,1,-,0,-,-,-,0,-,-,
Tennessee,-,2,7,7,-,0,-,-,-,0,-,-,
West South Central,2,16,60,53,-,0,-,-,-,0,-,-,
Arkansas,-,1,-,1,-,0,-,-,-,0,-,-,
Louisiana,-,1,3,1,-,0,-,-,-,0,-,-,
Oklahoma,-,1,-,1,-,0,-,-,-,0,-,-,
Texas,2,16,57,50,-,0,-,-,-,0,-,-,
Mountain,-,4,44,38,-,1,-,-,-,0,-,-,
Arizona,-,3,18,14,-,0,-,-,-,0,-,-,
Colorado,-,2,16,13,-,0,-,-,-,0,-,-,
Idaho,-,1,3,2,-,0,-,-,-,0,-,-,
Montana,-,1,1,2,-,0,-,-,-,0,-,-,
Nevada,-,1,2,1,-,0,-,-,-,0,-,-,
New Mexico,-,1,1,1,-,1,-,-,-,0,-,-,
Utah,-,1,2,5,-,0,-,-,-,0,-,-,
Wyoming,-,1,1,-,-,0,-,-,-,0,-,-,
Pacific,2,7,71,51,-,0,-,-,-,0,-,-,
Alaska,1,1,3,1,-,0,-,-,-,0,-,-,
California,1,5,37,41,-,0,-,-,-,0,-,-,
Hawaii,-,1,1,-,-,0,-,-,-,0,-,-,
Oregon,-,3,10,4,-,0,-,-,-,0,-,-,
Washington,-,2,20,5,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,1,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,2,5,2,-,0,-,-,-,0,-,-,
Total,12,59,632,707,-,4,5,1,-,14,1,1,
