Reporting Area, Mumps: Current week, Mumps: Previous 52 weeks Max , Mumps: Cum YTD 2022 , Mumps: Cum YTD 2021 , Novel Influenza A virus infections §: Current week, Novel Influenza A virus infections §: Previous 52 weeks Max , Novel Influenza A virus infections §: Cum YTD 2022 , Novel Influenza A virus infections §: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,9,119,57,-,0,-,-,
New England,-,1,4,2,-,0,-,-,
Connecticut,-,0,-,1,-,0,-,-,
Maine,-,1,-,-,-,0,-,-,
Massachusetts,-,1,4,1,-,0,-,-,
New Hampshire,-,0,-,-,-,0,-,-,
Rhode Island,-,1,-,-,-,0,-,-,
Vermont,-,1,-,-,-,0,-,-,
Middle Atlantic,1,3,18,11,-,0,-,-,
New Jersey,-,2,-,1,-,0,-,-,
New York (excluding New York City),1,1,5,1,-,0,-,-,
New York City,-,2,8,5,-,0,-,-,
Pennsylvania,-,2,5,4,-,0,-,-,
East North Central,-,4,33,12,-,0,-,-,
Illinois,-,2,10,7,-,0,-,-,
Indiana,-,3,7,2,-,0,-,-,
Michigan,-,2,5,-,-,0,-,-,
Ohio,-,2,9,1,-,0,-,-,
Wisconsin,-,1,2,2,-,0,-,-,
West North Central,-,4,11,6,-,0,-,-,
Iowa,-,1,2,4,-,0,-,-,
Kansas,-,1,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,2,2,-,-,0,-,-,
Nebraska,-,4,6,1,-,0,-,-,
North Dakota,-,1,1,1,-,0,-,-,
South Dakota,-,0,-,-,-,0,-,-,
South Atlantic,-,3,17,9,-,0,-,-,
Delaware,-,0,-,-,-,0,-,-,
District of Columbia,-,1,1,-,-,0,-,-,
Florida,-,2,6,3,-,0,-,-,
Georgia,-,2,3,-,-,0,-,-,
Maryland,-,1,1,1,-,0,-,-,
North Carolina,-,1,-,-,-,0,-,-,
South Carolina,-,1,-,-,-,0,-,-,
Virginia,-,2,6,5,-,0,-,-,
West Virginia,-,1,-,-,-,0,-,-,
East South Central,-,1,3,2,-,0,-,-,
Alabama,-,1,2,-,-,0,-,-,
Kentucky,-,1,1,2,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,
Tennessee,-,0,-,-,-,0,-,-,
West South Central,-,3,15,4,-,0,-,-,
Arkansas,-,1,1,-,-,0,-,-,
Louisiana,-,1,3,-,-,0,-,-,
Oklahoma,-,2,2,-,-,0,-,-,
Texas,-,3,9,4,-,0,-,-,
Mountain,-,3,2,1,-,0,-,-,
Arizona,-,1,-,1,-,0,-,-,
Colorado,-,1,1,-,-,0,-,-,
Idaho,-,0,-,-,-,0,-,-,
Montana,-,1,-,-,-,0,-,-,
Nevada,-,0,-,-,-,0,-,-,
New Mexico,-,2,-,-,-,0,-,-,
Utah,-,1,1,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,
Pacific,-,2,16,10,-,0,-,-,
Alaska,-,0,-,-,-,0,-,-,
California,-,2,10,10,-,0,-,-,
Hawaii,-,1,2,-,-,0,-,-,
Oregon,-,2,3,-,-,0,-,-,
Washington,-,1,1,-,-,0,-,-,
U.S. Territories,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,1,9,119,57,-,0,-,-,
