Reporting Area, Mumps: Current week, Mumps: Previous 52 weeks Max , Mumps: Cum YTD 2022 , Mumps: Cum YTD 2021 , Novel Influenza A virus infections §: Current week, Novel Influenza A virus infections §: Previous 52 weeks Max , Novel Influenza A virus infections §: Cum YTD 2022 , Novel Influenza A virus infections §: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,8,21,8,-,0,-,-,
New England,-,1,-,-,-,0,-,-,
Connecticut,-,1,-,-,-,0,-,-,
Maine,-,1,-,-,-,0,-,-,
Massachusetts,-,1,-,-,-,0,-,-,
New Hampshire,-,0,-,-,-,0,-,-,
Rhode Island,-,1,-,-,-,0,-,-,
Vermont,-,1,-,-,-,0,-,-,
Middle Atlantic,-,3,6,2,-,0,-,-,
New Jersey,-,2,-,1,-,0,-,-,
New York (excluding New York City),-,1,1,-,-,0,-,-,
New York City,-,2,3,-,-,0,-,-,
Pennsylvania,-,2,2,1,-,0,-,-,
East North Central,-,4,8,1,-,0,-,-,
Illinois,-,2,1,1,-,0,-,-,
Indiana,-,3,3,-,-,0,-,-,
Michigan,-,1,-,-,-,0,-,-,
Ohio,-,2,4,-,-,0,-,-,
Wisconsin,-,1,-,-,-,0,-,-,
West North Central,-,2,2,1,-,0,-,-,
Iowa,-,1,1,-,-,0,-,-,
Kansas,-,1,-,-,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,2,1,-,-,0,-,-,
Nebraska,-,1,-,-,-,0,-,-,
North Dakota,-,0,-,1,-,0,-,-,
South Dakota,-,0,-,-,-,0,-,-,
South Atlantic,-,2,1,-,-,0,-,-,
Delaware,-,0,-,-,-,0,-,-,
District of Columbia,-,0,-,-,-,0,-,-,
Florida,-,2,1,-,-,0,-,-,
Georgia,-,2,-,-,-,0,-,-,
Maryland,-,1,-,-,-,0,-,-,
North Carolina,-,0,-,-,-,0,-,-,
South Carolina,-,1,-,-,-,0,-,-,
Virginia,-,1,-,-,-,0,-,-,
West Virginia,-,0,-,-,-,0,-,-,
East South Central,-,1,1,-,-,0,-,-,
Alabama,-,1,1,-,-,0,-,-,
Kentucky,-,1,-,-,-,0,-,-,
Mississippi,-,1,-,-,-,0,-,-,
Tennessee,-,0,-,-,-,0,-,-,
West South Central,-,3,1,1,-,0,-,-,
Arkansas,-,0,-,-,-,0,-,-,
Louisiana,-,0,-,-,-,0,-,-,
Oklahoma,-,0,-,-,-,0,-,-,
Texas,-,3,1,1,-,0,-,-,
Mountain,-,3,-,-,-,0,-,-,
Arizona,-,1,-,-,-,0,-,-,
Colorado,-,0,-,-,-,0,-,-,
Idaho,-,0,-,-,-,0,-,-,
Montana,-,1,-,-,-,0,-,-,
Nevada,-,0,-,-,-,0,-,-,
New Mexico,-,2,-,-,-,0,-,-,
Utah,-,1,-,-,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,
Pacific,-,3,2,3,-,0,-,-,
Alaska,-,0,-,-,-,0,-,-,
California,-,3,2,3,-,0,-,-,
Hawaii,-,1,-,-,-,0,-,-,
Oregon,-,1,-,-,-,0,-,-,
Washington,-,0,-,-,-,0,-,-,
U.S. Territories,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,-,8,21,8,-,0,-,-,
