Reporting Area, Mumps: Current week, Mumps: Previous 52 weeks Max , Mumps: Cum YTD 2022 , Mumps: Cum YTD 2021 , Novel Influenza A virus infections §: Current week, Novel Influenza A virus infections §: Previous 52 weeks Max , Novel Influenza A virus infections §: Cum YTD 2022 , Novel Influenza A virus infections §: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,6,11,298,177,-,1,1,4,
New England,-,1,6,6,-,0,-,-,
Connecticut,-,0,-,1,-,0,-,-,
Maine,-,0,-,1,-,0,-,-,
Massachusetts,-,1,6,2,-,0,-,-,
New Hampshire,-,0,-,-,-,0,-,-,
Rhode Island,-,0,-,2,-,0,-,-,
Vermont,-,1,-,-,-,0,-,-,
Middle Atlantic,3,3,44,28,-,0,-,-,
New Jersey,-,0,-,7,-,0,-,-,
New York (excluding New York City),2,1,9,5,-,0,-,-,
New York City,-,2,23,10,-,0,-,-,
Pennsylvania,1,2,12,6,-,0,-,-,
East North Central,-,6,70,42,-,1,1,4,
Illinois,-,2,20,16,-,0,-,-,
Indiana,-,2,15,9,-,0,-,-,
Michigan,-,2,11,4,-,0,-,-,
Ohio,-,2,19,9,-,0,-,-,
Wisconsin,-,1,5,4,-,1,1,4,
West North Central,-,3,25,17,-,0,-,-,
Iowa,-,2,6,10,-,0,-,-,
Kansas,-,1,2,2,-,0,-,-,
Minnesota,-,1,2,-,-,0,-,-,
Missouri,-,2,6,2,-,0,-,-,
Nebraska,-,3,8,2,-,0,-,-,
North Dakota,-,1,1,1,-,0,-,-,
South Dakota,-,0,-,-,-,0,-,-,
South Atlantic,-,4,41,26,-,0,-,-,
Delaware,-,0,-,-,-,0,-,-,
District of Columbia,-,1,2,-,-,0,-,-,
Florida,-,2,12,8,-,0,-,-,
Georgia,-,1,3,4,-,0,-,-,
Maryland,-,1,5,-,-,0,-,-,
North Carolina,-,1,1,2,-,0,-,-,
South Carolina,-,1,2,4,-,0,-,-,
Virginia,-,2,14,8,-,0,-,-,
West Virginia,-,1,2,-,-,0,-,-,
East South Central,-,1,11,5,-,0,-,-,
Alabama,-,1,7,-,-,0,-,-,
Kentucky,-,1,2,4,-,0,-,-,
Mississippi,-,0,-,1,-,0,-,-,
Tennessee,-,1,2,-,-,0,-,-,
West South Central,2,3,51,17,-,0,-,-,
Arkansas,-,1,2,-,-,0,-,-,
Louisiana,-,1,8,-,-,0,-,-,
Oklahoma,-,2,2,-,-,0,-,-,
Texas,2,3,39,17,-,0,-,-,
Mountain,1,2,23,12,-,0,-,-,
Arizona,-,1,2,2,-,0,-,-,
Colorado,1,1,11,-,-,0,-,-,
Idaho,-,1,2,2,-,0,-,-,
Montana,-,0,-,1,-,0,-,-,
Nevada,-,1,2,-,-,0,-,-,
New Mexico,-,1,2,4,-,0,-,-,
Utah,-,1,4,3,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,
Pacific,-,2,27,24,-,0,-,-,
Alaska,-,1,1,-,-,0,-,-,
California,-,2,13,20,-,0,-,-,
Hawaii,-,1,3,-,-,0,-,-,
Oregon,-,2,9,3,-,0,-,-,
Washington,-,1,1,1,-,0,-,-,
U.S. Territories,-,0,-,2,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,2,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,6,11,298,179,-,1,1,4,
