Reporting Area, Mumps: Current week, Mumps: Previous 52 weeks Max , Mumps: Cum YTD 2022 , Mumps: Cum YTD 2021 , Novel Influenza A virus infections §: Current week, Novel Influenza A virus infections §: Previous 52 weeks Max , Novel Influenza A virus infections §: Cum YTD 2022 , Novel Influenza A virus infections §: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,11,203,128,-,0,-,-,
New England,-,1,5,5,-,0,-,-,
Connecticut,-,0,-,1,-,0,-,-,
Maine,-,0,-,1,-,0,-,-,
Massachusetts,-,1,5,2,-,0,-,-,
New Hampshire,-,0,-,-,-,0,-,-,
Rhode Island,-,1,-,1,-,0,-,-,
Vermont,-,1,-,-,-,0,-,-,
Middle Atlantic,-,3,29,19,-,0,-,-,
New Jersey,-,2,-,2,-,0,-,-,
New York (excluding New York City),-,1,7,3,-,0,-,-,
New York City,-,2,13,8,-,0,-,-,
Pennsylvania,-,2,9,6,-,0,-,-,
East North Central,-,6,50,31,-,0,-,-,
Illinois,-,2,14,12,-,0,-,-,
Indiana,-,3,10,8,-,0,-,-,
Michigan,-,2,9,-,-,0,-,-,
Ohio,-,2,14,7,-,0,-,-,
Wisconsin,-,1,3,4,-,0,-,-,
West North Central,-,3,18,12,-,0,-,-,
Iowa,-,2,3,7,-,0,-,-,
Kansas,-,1,2,1,-,0,-,-,
Minnesota,-,0,-,-,-,0,-,-,
Missouri,-,2,5,1,-,0,-,-,
Nebraska,-,3,7,2,-,0,-,-,
North Dakota,-,1,1,1,-,0,-,-,
South Dakota,-,0,-,-,-,0,-,-,
South Atlantic,-,4,33,19,-,0,-,-,
Delaware,-,0,-,-,-,0,-,-,
District of Columbia,-,1,2,-,-,0,-,-,
Florida,-,2,11,6,-,0,-,-,
Georgia,-,1,3,3,-,0,-,-,
Maryland,-,1,4,1,-,0,-,-,
North Carolina,-,1,1,2,-,0,-,-,
South Carolina,-,1,1,-,-,0,-,-,
Virginia,-,2,10,7,-,0,-,-,
West Virginia,-,1,1,-,-,0,-,-,
East South Central,-,1,9,4,-,0,-,-,
Alabama,-,1,5,-,-,0,-,-,
Kentucky,-,1,2,3,-,0,-,-,
Mississippi,-,0,-,1,-,0,-,-,
Tennessee,-,1,2,-,-,0,-,-,
West South Central,-,3,30,13,-,0,-,-,
Arkansas,-,1,2,-,-,0,-,-,
Louisiana,-,1,5,-,-,0,-,-,
Oklahoma,-,2,2,-,-,0,-,-,
Texas,-,2,21,13,-,0,-,-,
Mountain,1,2,10,9,-,0,-,-,
Arizona,-,1,1,2,-,0,-,-,
Colorado,1,1,3,-,-,0,-,-,
Idaho,-,1,1,2,-,0,-,-,
Montana,-,0,-,1,-,0,-,-,
Nevada,-,0,-,-,-,0,-,-,
New Mexico,-,2,1,2,-,0,-,-,
Utah,-,1,4,2,-,0,-,-,
Wyoming,-,0,-,-,-,0,-,-,
Pacific,-,2,19,16,-,0,-,-,
Alaska,-,0,-,-,-,0,-,-,
California,-,2,11,13,-,0,-,-,
Hawaii,-,1,2,1,-,0,-,-,
Oregon,-,2,5,2,-,0,-,-,
Washington,-,1,1,-,-,0,-,-,
U.S. Territories,-,0,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,-,-,0,-,-,
Puerto Rico,-,0,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,1,11,203,128,-,0,-,-,
