Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,67,1,277,1,636,111,1,118,27,442,34,201,
New England,-,2,9,8,-,64,527,864,
Connecticut,-,0,-,2,-,10,-,183,
Maine,-,0,-,-,-,4,37,48,
Massachusetts,-,1,5,4,-,26,397,467,
New Hampshire,-,1,1,-,-,3,43,54,
Rhode Island,-,1,3,1,-,40,48,104,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,51,56,41,133,2,941,3,790,
New Jersey,-,4,30,20,-,27,3,620,
New York (excluding New York City),-,3,17,26,33,39,823,817,
New York City,-,0,-,-,3,54,1,372,1,509,
Pennsylvania,-,2,4,10,5,38,743,844,
East North Central,-,9,78,108,1,135,2,761,3,610,
Illinois,-,4,-,30,-,32,489,1,056,
Indiana,-,3,17,13,-,29,378,393,
Michigan,-,3,19,29,-,28,578,632,
Ohio,-,6,30,31,-,59,996,1,134,
Wisconsin,-,3,12,5,1,19,320,395,
West North Central,-,5,49,81,4,79,1,895,1,997,
Iowa,-,2,-,5,-,11,184,197,
Kansas,-,1,8,6,-,13,187,209,
Minnesota,-,2,6,12,1,20,404,341,
Missouri,-,4,17,45,3,36,680,864,
Nebraska,-,0,-,-,-,9,115,113,
North Dakota,-,0,-,2,-,5,39,25,
South Dakota,-,3,18,11,-,17,286,248,
South Atlantic,-,17,213,223,17,237,6,048,7,272,
Delaware,-,1,2,1,-,8,92,57,
District of Columbia,-,0,-,-,-,12,151,155,
Florida,-,12,145,96,8,118,2,822,2,926,
Georgia,-,6,15,51,3,43,1,011,1,267,
Maryland,-,1,-,22,-,12,-,587,
North Carolina,-,4,32,22,5,58,1,361,1,111,
South Carolina,-,1,-,9,1,23,152,561,
Virginia,-,2,11,13,-,32,428,476,
West Virginia,-,2,8,9,-,6,31,132,
East South Central,-,6,59,104,4,94,1,870,1,489,
Alabama,-,3,17,26,4,36,638,452,
Kentucky,-,2,8,17,-,18,263,349,
Mississippi,-,4,11,33,-,22,423,75,
Tennessee,-,4,23,28,-,29,546,613,
West South Central,-,24,298,503,1,144,3,180,4,103,
Arkansas,-,4,29,29,-,32,601,596,
Louisiana,-,6,31,66,1,29,440,655,
Oklahoma,-,4,41,56,-,13,14,332,
Texas,-,18,197,352,-,98,2,125,2,520,
Mountain,-,11,138,192,1,120,2,283,2,996,
Arizona,-,7,59,110,-,58,788,1,301,
Colorado,-,2,17,16,-,40,489,442,
Idaho,-,1,-,3,-,7,75,54,
Montana,-,2,3,4,1,13,176,63,
Nevada,-,3,37,29,-,21,300,544,
New Mexico,-,3,16,29,-,20,343,450,
Utah,-,3,6,1,-,9,103,135,
Wyoming,-,0,-,-,-,3,9,7,
Pacific,-,22,382,361,42,261,5,937,8,080,
Alaska,-,1,3,2,-,7,4,138,
California,-,19,340,307,15,192,4,607,5,844,
Hawaii,-,2,-,8,-,8,-,174,
Oregon,-,3,26,12,19,32,737,585,
Washington,-,4,13,32,8,47,589,1,339,
U.S. Territories,-,2,-,5,-,12,76,178,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,5,-,12,76,178,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,3,
Total,-,67,1,277,1,641,111,1,118,27,518,34,382,
