Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,62,518,822,113,1,075,11,565,17,148,
New England,-,1,2,5,-,59,74,457,
Connecticut,-,0,-,2,-,11,-,104,
Maine,-,0,-,-,-,4,11,27,
Massachusetts,-,1,-,2,-,25,-,254,
New Hampshire,-,1,1,-,-,4,24,26,
Rhode Island,-,1,1,-,-,40,37,38,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,18,34,29,223,1,447,1,939,
New Jersey,-,4,9,12,-,28,1,309,
New York (excluding New York City),-,3,8,15,23,158,407,363,
New York City,-,0,-,-,1,53,656,834,
Pennsylvania,-,2,1,7,5,38,383,433,
East North Central,-,7,39,54,2,122,1,087,1,859,
Illinois,-,3,-,16,-,38,60,559,
Indiana,-,3,12,6,-,28,166,194,
Michigan,-,3,12,13,-,28,295,319,
Ohio,-,3,12,15,-,48,430,572,
Wisconsin,-,3,3,4,2,20,136,215,
West North Central,-,5,12,42,1,79,786,1,024,
Iowa,-,2,-,2,-,12,81,117,
Kansas,-,1,3,1,-,10,2,115,
Minnesota,-,2,5,7,-,20,220,182,
Missouri,-,4,4,25,-,35,269,432,
Nebraska,-,0,-,-,-,9,59,56,
North Dakota,-,1,-,1,-,4,18,14,
South Dakota,-,2,-,6,1,16,137,108,
South Atlantic,-,14,82,118,15,245,2,335,3,897,
Delaware,-,1,1,-,-,7,46,37,
District of Columbia,-,0,-,-,-,10,69,85,
Florida,-,8,53,50,10,118,1,364,1,511,
Georgia,-,6,4,29,2,46,31,744,
Maryland,-,2,-,14,-,26,-,330,
North Carolina,-,4,13,8,1,56,562,568,
South Carolina,-,1,-,6,-,24,-,287,
Virginia,-,2,6,6,2,32,261,274,
West Virginia,-,2,5,5,-,11,2,61,
East South Central,-,6,16,48,11,78,834,963,
Alabama,-,3,8,11,10,31,330,200,
Kentucky,-,2,2,9,-,16,109,184,
Mississippi,-,3,4,13,1,25,203,276,
Tennessee,-,5,2,15,-,31,192,303,
West South Central,-,19,95,241,-,133,1,336,1,920,
Arkansas,-,5,16,12,-,32,345,297,
Louisiana,-,6,5,36,-,26,151,353,
Oklahoma,-,4,19,25,-,2,7,75,
Texas,-,15,55,168,-,91,833,1,195,
Mountain,-,10,46,99,3,123,766,1,477,
Arizona,-,7,17,55,1,53,212,634,
Colorado,-,2,8,6,1,40,223,217,
Idaho,-,1,-,3,1,7,38,37,
Montana,-,2,2,2,-,7,37,1,
Nevada,-,3,13,20,-,24,75,307,
New Mexico,-,2,3,13,-,26,120,213,
Utah,-,1,3,-,-,9,57,67,
Wyoming,-,0,-,-,-,3,4,1,
Pacific,-,19,208,181,52,250,2,900,3,612,
Alaska,-,1,3,1,-,7,2,74,
California,-,18,186,154,15,204,2,205,2,992,
Hawaii,-,2,-,3,-,9,-,67,
Oregon,-,3,18,7,21,31,414,278,
Washington,-,4,1,16,16,33,279,201,
U.S. Territories,-,2,-,1,-,9,2,110,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,1,-,9,2,110,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,-,62,518,823,113,1,080,11,567,17,258,
