Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,54,111,397,76,918,2,969,7,308,
New England,-,1,2,3,-,48,30,226,
Connecticut,-,1,-,1,-,11,-,46,
Maine,-,0,-,-,-,4,-,16,
Massachusetts,-,1,-,1,-,26,-,131,
New Hampshire,-,1,1,-,-,4,8,15,
Rhode Island,-,1,1,-,-,34,21,11,
Vermont,-,0,-,1,-,1,1,7,
Middle Atlantic,-,7,4,17,29,204,575,909,
New Jersey,-,4,1,7,-,27,-,146,
New York (excluding New York City),-,3,3,7,26,145,163,143,
New York City,-,0,-,-,2,58,250,406,
Pennsylvania,-,2,-,3,1,38,162,214,
East North Central,-,7,5,23,2,123,205,973,
Illinois,-,2,-,4,-,38,4,300,
Indiana,-,2,-,3,-,23,-,108,
Michigan,-,3,5,7,-,28,101,178,
Ohio,-,3,-,6,-,44,82,277,
Wisconsin,-,2,-,3,2,19,18,110,
West North Central,-,5,3,12,2,74,285,476,
Iowa,-,2,-,2,-,13,24,57,
Kansas,-,1,1,1,-,10,2,64,
Minnesota,-,2,2,3,-,18,94,99,
Missouri,-,3,-,2,1,33,89,183,
Nebraska,-,0,-,-,-,8,33,32,
North Dakota,-,1,-,1,-,3,10,11,
South Dakota,-,2,-,3,1,16,33,30,
South Atlantic,-,12,25,60,19,239,705,1,921,
Delaware,-,1,-,-,-,6,-,10,
District of Columbia,-,0,-,-,1,10,28,50,
Florida,-,8,21,28,6,113,523,759,
Georgia,-,5,-,14,-,60,7,353,
Maryland,-,2,-,6,-,27,-,166,
North Carolina,-,3,-,2,-,45,-,286,
South Carolina,-,0,-,3,-,18,-,121,
Virginia,-,2,2,5,12,31,147,141,
West Virginia,-,2,2,2,-,11,-,35,
East South Central,-,5,3,20,5,80,279,465,
Alabama,-,3,3,6,4,28,90,100,
Kentucky,-,2,-,3,1,13,34,102,
Mississippi,-,3,-,4,-,25,53,132,
Tennessee,-,2,-,7,-,31,102,131,
West South Central,-,19,6,124,1,129,195,870,
Arkansas,-,3,-,5,-,31,149,137,
Louisiana,-,6,1,19,1,31,43,163,
Oklahoma,-,6,5,11,-,7,3,52,
Texas,-,14,-,89,-,89,-,518,
Mountain,-,9,14,51,1,121,184,709,
Arizona,-,7,8,30,1,50,85,295,
Colorado,-,2,2,2,-,40,20,106,
Idaho,-,1,-,2,-,7,13,21,
Montana,-,2,1,-,-,11,26,8,
Nevada,-,3,2,8,-,26,-,154,
New Mexico,-,2,-,9,-,26,25,97,
Utah,-,1,1,-,-,9,15,27,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,18,49,87,17,126,511,759,
Alaska,-,1,2,-,-,9,2,35,
California,-,16,41,74,-,76,190,459,
Hawaii,-,2,-,1,-,9,-,40,
Oregon,-,3,6,4,17,31,198,127,
Washington,-,3,-,8,-,33,121,98,
U.S. Territories,-,1,-,-,-,9,2,56,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,9,2,56,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,-,55,111,397,76,923,2,971,7,364,
