Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,2,66,1,188,1,462,168,1,134,24,053,31,496,
New England,-,2,9,7,-,64,521,793,
Connecticut,-,0,-,2,-,10,-,172,
Maine,-,0,-,-,-,4,33,45,
Massachusetts,-,1,5,3,-,26,397,427,
New Hampshire,-,1,1,-,-,3,41,52,
Rhode Island,-,1,3,1,-,40,48,89,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,48,52,33,133,2,140,3,434,
New Jersey,-,4,28,19,-,27,2,562,
New York (excluding New York City),-,3,16,24,27,39,748,732,
New York City,-,0,-,-,-,53,710,1,366,
Pennsylvania,-,2,4,9,6,38,680,774,
East North Central,-,9,71,92,3,133,2,520,3,302,
Illinois,-,4,-,25,-,32,441,984,
Indiana,-,3,16,12,-,29,289,352,
Michigan,-,3,19,23,-,28,545,571,
Ohio,-,6,25,27,-,56,952,1,031,
Wisconsin,-,3,11,5,3,19,293,364,
West North Central,-,5,49,73,5,79,1,673,1,818,
Iowa,-,2,-,5,-,12,170,174,
Kansas,-,1,8,5,-,10,127,193,
Minnesota,-,2,6,11,1,20,376,319,
Missouri,-,4,17,40,1,36,608,786,
Nebraska,-,0,-,-,3,9,104,102,
North Dakota,-,1,-,2,-,5,36,22,
South Dakota,-,3,18,10,-,17,252,222,
South Atlantic,-,17,205,203,43,235,5,254,6,649,
Delaware,-,1,2,1,1,8,92,50,
District of Columbia,-,0,-,-,-,12,130,144,
Florida,-,12,142,87,35,118,2,618,2,653,
Georgia,-,6,14,48,-,39,629,1,183,
Maryland,-,1,-,21,-,23,-,554,
North Carolina,-,4,31,20,6,58,1,233,989,
South Carolina,-,1,-,8,1,23,120,515,
Virginia,-,2,9,9,-,32,408,446,
West Virginia,-,2,7,9,-,11,24,115,
East South Central,-,6,55,90,20,94,1,756,1,752,
Alabama,-,3,17,22,8,36,608,388,
Kentucky,-,2,7,16,3,17,248,326,
Mississippi,-,3,9,27,4,25,360,472,
Tennessee,-,4,22,25,5,29,540,566,
West South Central,-,23,259,457,15,143,2,850,3,747,
Arkansas,-,4,27,22,5,32,561,537,
Louisiana,-,6,20,62,2,29,397,607,
Oklahoma,-,4,37,49,-,13,12,316,
Texas,-,18,175,324,8,96,1,880,2,287,
Mountain,-,11,123,174,8,120,2,006,2,727,
Arizona,-,7,51,100,3,58,672,1,172,
Colorado,-,2,14,13,1,40,447,397,
Idaho,-,1,-,3,1,7,72,51,
Montana,-,2,3,4,3,13,166,59,
Nevada,-,3,34,27,-,20,235,504,
New Mexico,-,3,15,26,-,20,311,411,
Utah,-,3,6,1,-,9,95,127,
Wyoming,-,0,-,-,-,3,8,6,
Pacific,2,22,369,314,41,295,5,333,7,274,
Alaska,-,1,3,2,-,7,4,123,
California,2,19,329,267,7,195,4,109,5,309,
Hawaii,-,2,-,7,-,8,-,156,
Oregon,-,3,25,11,14,32,680,517,
Washington,-,4,12,27,20,65,540,1,169,
U.S. Territories,-,2,-,4,-,12,76,178,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,4,-,12,76,178,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,2,66,1,188,1,466,168,1,134,24,129,31,676,
