Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,53,125,440,94,1,059,3,947,9,266,
New England,-,1,2,3,-,54,35,253,
Connecticut,-,1,-,1,-,11,-,56,
Maine,-,0,-,-,-,4,2,16,
Massachusetts,-,1,-,1,-,23,-,143,
New Hampshire,-,1,1,-,-,4,10,17,
Rhode Island,-,1,1,-,-,35,22,14,
Vermont,-,0,-,1,-,1,1,7,
Middle Atlantic,-,7,4,19,31,269,691,1,014,
New Jersey,-,4,1,8,-,27,-,157,
New York (excluding New York City),-,3,3,8,31,210,194,165,
New York City,-,0,-,-,-,58,302,448,
Pennsylvania,-,2,-,3,-,38,195,244,
East North Central,-,7,7,26,-,123,301,1,072,
Illinois,-,2,-,4,-,38,4,335,
Indiana,-,2,1,3,-,23,-,112,
Michigan,-,3,6,7,-,28,133,194,
Ohio,-,3,-,9,-,44,87,309,
Wisconsin,-,2,-,3,-,20,77,122,
West North Central,-,5,3,12,3,74,319,534,
Iowa,-,2,-,2,-,13,24,61,
Kansas,-,1,1,1,-,10,2,67,
Minnesota,-,2,2,3,-,18,94,113,
Missouri,-,3,-,2,3,32,107,211,
Nebraska,-,0,-,-,-,8,35,34,
North Dakota,-,1,-,1,-,3,10,12,
South Dakota,-,2,-,3,-,16,47,36,
South Atlantic,-,12,29,70,22,239,817,2,115,
Delaware,-,1,-,-,-,6,-,13,
District of Columbia,-,0,-,-,-,10,28,56,
Florida,-,8,24,34,9,113,613,827,
Georgia,-,5,-,16,-,60,10,392,
Maryland,-,2,-,8,-,27,-,187,
North Carolina,-,3,-,2,-,45,-,312,
South Carolina,-,0,-,3,-,18,-,130,
Virginia,-,2,2,5,13,31,166,160,
West Virginia,-,2,3,2,-,11,-,38,
East South Central,-,5,5,23,5,80,318,515,
Alabama,-,3,5,6,4,27,112,105,
Kentucky,-,2,-,3,1,14,40,116,
Mississippi,-,3,-,5,-,25,64,142,
Tennessee,-,2,-,9,-,31,102,152,
West South Central,-,19,7,142,-,130,233,994,
Arkansas,-,3,-,6,-,31,180,151,
Louisiana,-,6,1,22,-,31,50,191,
Oklahoma,-,6,6,11,-,7,3,59,
Texas,-,12,-,103,-,89,-,593,
Mountain,-,9,15,52,2,121,266,781,
Arizona,-,7,9,31,-,50,92,324,
Colorado,-,2,2,2,2,40,75,116,
Idaho,-,1,-,2,-,7,16,22,
Montana,-,2,1,-,-,11,30,9,
Nevada,-,3,2,8,-,26,-,173,
New Mexico,-,2,-,9,-,26,38,107,
Utah,-,1,1,-,-,9,15,29,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,18,53,93,31,246,967,1,988,
Alaska,-,1,2,-,-,9,2,40,
California,-,16,41,80,-,202,606,1,648,
Hawaii,-,2,-,1,-,9,-,43,
Oregon,-,3,10,4,10,31,217,147,
Washington,-,3,-,8,21,33,142,110,
U.S. Territories,-,1,-,-,-,9,2,64,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,9,2,64,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,-,54,125,440,94,1,064,3,949,9,330,
