Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,72,2,215,2,720,130,1,118,43,262,52,099,
New England,-,2,15,17,-,67,967,1,322,
Connecticut,-,0,-,6,-,3,-,317,
Maine,-,0,-,-,-,7,74,56,
Massachusetts,-,1,8,8,-,26,744,704,
New Hampshire,-,2,3,-,-,4,64,73,
Rhode Island,-,1,4,2,-,41,83,164,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,6,93,98,36,125,4,479,5,534,
New Jersey,-,3,37,45,-,15,5,881,
New York (excluding New York City),-,2,25,39,28,38,1,197,1,235,
New York City,-,0,-,-,1,68,2,087,2,151,
Pennsylvania,-,3,31,14,7,37,1,190,1,267,
East North Central,-,8,162,172,3,136,4,346,5,516,
Illinois,-,4,26,49,-,31,756,1,447,
Indiana,-,3,30,20,-,24,484,702,
Michigan,-,3,31,41,-,28,844,947,
Ohio,-,6,54,48,-,65,1,788,1,713,
Wisconsin,-,3,21,14,3,19,474,707,
West North Central,-,6,83,116,8,87,3,023,3,086,
Iowa,-,1,6,11,1,13,298,325,
Kansas,-,1,9,7,2,13,274,296,
Minnesota,-,2,17,14,-,20,633,547,
Missouri,-,3,17,66,4,38,1,131,1,274,
Nebraska,-,2,8,-,-,9,205,179,
North Dakota,-,0,-,2,-,6,56,48,
South Dakota,-,3,26,16,1,17,426,417,
South Atlantic,-,18,362,388,9,249,8,936,10,823,
Delaware,-,1,2,1,-,12,213,127,
District of Columbia,-,1,7,6,-,14,229,248,
Florida,-,12,218,171,6,118,4,136,4,335,
Georgia,-,6,46,82,2,43,1,031,1,831,
Maryland,-,0,-,35,-,0,-,727,
North Carolina,-,3,52,41,1,63,2,066,1,823,
South Carolina,-,2,5,19,-,24,397,817,
Virginia,-,3,21,18,-,32,772,711,
West Virginia,-,2,11,15,-,5,92,204,
East South Central,-,6,108,161,8,98,3,166,2,963,
Alabama,-,3,30,37,7,38,1,077,740,
Kentucky,-,3,20,25,1,20,420,500,
Mississippi,-,3,19,60,-,23,690,808,
Tennessee,-,3,39,39,-,39,979,915,
West South Central,-,27,590,874,-,152,5,459,6,883,
Arkansas,-,4,55,45,-,32,913,965,
Louisiana,-,4,63,104,-,27,768,970,
Oklahoma,-,5,73,81,-,20,75,1,187,
Texas,-,21,399,644,-,114,3,703,3,761,
Mountain,-,10,229,298,16,122,3,995,4,665,
Arizona,-,6,116,174,-,49,1,569,1,924,
Colorado,-,2,22,26,5,30,780,736,
Idaho,-,0,-,5,-,8,105,80,
Montana,-,2,12,9,11,17,304,90,
Nevada,-,5,49,40,-,24,518,918,
New Mexico,-,3,24,42,-,19,534,706,
Utah,-,3,6,2,-,10,171,196,
Wyoming,-,0,-,-,-,2,14,15,
Pacific,-,21,573,596,50,244,8,891,11,307,
Alaska,-,1,3,5,-,5,9,187,
California,-,19,512,494,16,192,7,008,8,488,
Hawaii,-,1,-,18,-,7,-,250,
Oregon,-,2,33,26,18,33,1,075,919,
Washington,-,3,25,53,16,33,799,1,463,
U.S. Territories,-,2,3,8,-,13,163,328,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,
Puerto Rico,-,2,3,7,-,13,163,328,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,5,
Total,-,72,2,218,2,728,130,1,119,43,425,52,432,
