Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,62,646,951,95,1,107,14,522,20,728,
New England,-,1,4,5,-,59,85,522,
Connecticut,-,0,-,2,-,11,-,115,
Maine,-,0,-,-,-,4,19,33,
Massachusetts,-,1,-,2,-,24,-,284,
New Hampshire,-,1,1,-,-,4,23,33,
Rhode Island,-,1,3,-,-,40,41,49,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,22,39,25,209,1,616,2,276,
New Jersey,-,4,9,14,-,27,2,376,
New York (excluding New York City),-,3,12,16,23,144,484,444,
New York City,-,0,-,-,-,53,694,954,
Pennsylvania,-,2,1,9,2,38,436,502,
East North Central,-,7,48,62,-,128,1,371,2,167,
Illinois,-,3,-,19,-,39,97,658,
Indiana,-,3,12,6,-,28,166,221,
Michigan,-,3,14,14,-,28,348,369,
Ohio,-,5,16,19,-,52,599,678,
Wisconsin,-,3,6,4,-,20,161,241,
West North Central,-,5,18,50,3,77,1,077,1,199,
Iowa,-,2,-,2,-,12,105,127,
Kansas,-,1,5,2,-,10,51,131,
Minnesota,-,2,6,7,-,21,275,212,
Missouri,-,4,7,30,3,35,393,524,
Nebraska,-,0,-,-,-,9,69,62,
North Dakota,-,1,-,1,-,4,19,16,
South Dakota,-,1,-,8,-,16,165,127,
South Atlantic,-,14,109,132,18,245,3,149,4,580,
Delaware,-,1,1,-,-,7,61,39,
District of Columbia,-,0,-,-,-,10,41,100,
Florida,-,8,72,59,7,118,1,596,1,787,
Georgia,-,5,6,30,-,46,419,864,
Maryland,-,2,-,15,-,26,-,381,
North Carolina,-,4,16,9,-,57,718,666,
South Carolina,-,1,-,6,-,23,-,344,
Virginia,-,2,8,7,11,32,310,325,
West Virginia,-,2,6,6,-,11,4,74,
East South Central,-,6,24,63,1,75,1,005,1,148,
Alabama,-,3,11,14,1,32,380,240,
Kentucky,-,2,4,11,-,17,131,208,
Mississippi,-,3,6,19,-,25,230,327,
Tennessee,-,4,3,19,-,30,264,373,
West South Central,-,20,126,268,1,135,1,701,2,297,
Arkansas,-,5,21,13,-,32,393,352,
Louisiana,-,6,7,40,-,28,210,414,
Oklahoma,-,4,24,29,-,2,7,77,
Texas,-,15,74,186,1,92,1,091,1,454,
Mountain,-,10,69,120,-,126,1,033,1,742,
Arizona,-,7,25,65,-,58,312,745,
Colorado,-,2,10,8,-,40,254,248,
Idaho,-,1,-,3,-,7,38,38,
Montana,-,2,2,3,-,11,87,2,
Nevada,-,3,20,22,-,23,109,372,
New Mexico,-,3,9,19,-,26,168,258,
Utah,-,1,3,-,-,9,60,77,
Wyoming,-,0,-,-,-,3,5,2,
Pacific,-,20,226,212,47,286,3,485,4,797,
Alaska,-,1,3,1,-,7,4,86,
California,-,18,196,182,17,203,2,666,3,517,
Hawaii,-,2,-,4,-,9,-,85,
Oregon,-,3,20,7,11,32,469,327,
Washington,-,4,7,18,19,65,346,782,
U.S. Territories,-,2,-,1,-,12,63,134,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,1,-,12,63,134,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,1,
Total,-,63,646,952,95,1,113,14,585,20,863,
