Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,74,1,543,1,884,100,1,138,30,270,37,194,
New England,-,2,9,8,2,65,692,932,
Connecticut,-,0,-,2,-,10,-,202,
Maine,-,0,-,-,-,4,37,49,
Massachusetts,-,1,5,4,2,26,555,506,
New Hampshire,-,1,1,-,-,3,45,58,
Rhode Island,-,1,3,1,-,41,53,109,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,70,63,32,133,3,232,4,112,
New Jersey,-,4,35,23,-,27,3,667,
New York (excluding New York City),-,3,19,29,24,39,913,889,
New York City,-,0,-,-,6,59,1,507,1,640,
Pennsylvania,-,3,16,11,2,38,809,916,
East North Central,-,9,88,116,2,135,2,967,3,922,
Illinois,-,4,-,32,-,32,526,1,140,
Indiana,-,3,20,14,-,29,378,437,
Michigan,-,3,21,30,1,28,624,687,
Ohio,-,6,34,34,-,59,1,092,1,230,
Wisconsin,-,3,13,6,1,19,347,428,
West North Central,-,5,56,91,8,84,2,060,2,195,
Iowa,-,2,-,6,1,11,199,218,
Kansas,-,1,8,7,4,13,191,229,
Minnesota,-,2,11,13,-,20,456,380,
Missouri,-,4,17,51,3,36,745,948,
Nebraska,-,0,-,-,-,9,117,119,
North Dakota,-,0,-,2,-,5,41,30,
South Dakota,-,3,20,12,-,17,311,271,
South Atlantic,-,18,250,257,8,237,6,566,7,866,
Delaware,-,1,2,1,-,8,133,65,
District of Columbia,-,0,-,-,-,13,166,164,
Florida,-,12,157,108,7,118,3,034,3,174,
Georgia,-,6,31,60,-,43,1,012,1,372,
Maryland,-,1,-,23,-,12,-,605,
North Carolina,-,4,35,28,-,58,1,504,1,232,
South Carolina,-,2,3,13,1,23,193,604,
Virginia,-,3,14,14,-,32,488,513,
West Virginia,-,2,8,10,-,6,36,137,
East South Central,-,6,77,122,12,94,2,177,2,108,
Alabama,-,3,20,28,10,38,744,504,
Kentucky,-,3,14,19,2,18,294,370,
Mississippi,-,4,14,46,-,25,473,572,
Tennessee,-,4,29,29,-,31,666,662,
West South Central,-,24,362,544,1,144,3,494,4,475,
Arkansas,-,4,38,34,1,32,657,662,
Louisiana,-,6,37,72,-,29,509,700,
Oklahoma,-,5,58,61,-,13,19,346,
Texas,-,18,229,377,-,98,2,309,2,767,
Mountain,-,11,156,215,3,120,2,508,3,255,
Arizona,-,7,69,125,-,58,866,1,411,
Colorado,-,2,18,18,-,30,510,505,
Idaho,-,1,-,4,-,8,81,57,
Montana,-,2,5,4,3,13,202,63,
Nevada,-,4,42,33,-,21,345,576,
New Mexico,-,3,16,30,-,20,379,489,
Utah,-,3,6,1,-,9,115,144,
Wyoming,-,0,-,-,-,3,10,10,
Pacific,-,26,475,468,32,261,6,574,8,329,
Alaska,-,1,3,2,-,7,4,144,
California,-,24,430,402,11,195,5,133,6,329,
Hawaii,-,2,-,9,-,8,-,184,
Oregon,-,2,27,15,21,33,808,640,
Washington,-,4,15,40,-,42,629,1,032,
U.S. Territories,-,2,1,5,-,12,98,226,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,1,5,-,12,98,226,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,3,
Total,-,74,1,544,1,889,100,1,145,30,368,37,423,
