Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,71,1,640,1,960,103,1,139,32,402,39,388,
New England,-,2,13,8,-,65,720,986,
Connecticut,-,0,-,2,-,7,-,216,
Maine,-,0,-,-,-,4,37,50,
Massachusetts,-,1,7,4,-,27,571,534,
New Hampshire,-,2,3,-,-,3,47,60,
Rhode Island,-,1,3,1,-,41,63,118,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,71,69,26,133,3,441,4,332,
New Jersey,-,4,35,26,-,27,4,696,
New York (excluding New York City),-,3,20,32,20,39,957,950,
New York City,-,0,-,-,3,61,1,590,1,723,
Pennsylvania,-,3,16,11,3,38,890,963,
East North Central,-,9,101,127,2,135,3,307,4,192,
Illinois,-,4,-,35,-,32,561,1,196,
Indiana,-,3,22,16,-,29,446,504,
Michigan,-,3,23,32,-,28,647,739,
Ohio,-,6,41,38,-,59,1,288,1,312,
Wisconsin,-,3,15,6,2,19,365,441,
West North Central,1,5,57,93,7,86,2,157,2,341,
Iowa,-,2,-,8,-,11,207,231,
Kansas,-,1,8,7,2,13,193,240,
Minnesota,1,2,12,13,-,20,493,409,
Missouri,-,4,17,51,5,36,775,1,010,
Nebraska,-,0,-,-,-,9,117,132,
North Dakota,-,0,-,2,-,6,49,32,
South Dakota,-,3,20,12,-,17,323,287,
South Atlantic,-,19,280,277,6,238,6,895,8,304,
Delaware,-,1,2,1,-,8,145,74,
District of Columbia,-,1,4,-,1,13,175,175,
Florida,-,12,173,117,2,118,3,188,3,355,
Georgia,-,6,33,65,1,43,1,013,1,433,
Maryland,-,0,-,23,-,6,-,623,
North Carolina,-,4,39,29,2,58,1,589,1,314,
South Carolina,-,2,4,13,-,23,223,647,
Virginia,-,3,16,17,-,32,522,534,
West Virginia,-,2,9,12,-,6,40,149,
East South Central,-,6,79,125,2,95,2,276,2,231,
Alabama,-,3,21,30,1,38,789,535,
Kentucky,-,3,14,19,1,18,316,387,
Mississippi,-,3,14,47,-,25,505,607,
Tennessee,-,4,30,29,-,31,666,702,
West South Central,-,29,431,613,1,145,3,954,4,723,
Arkansas,-,4,41,36,-,32,717,715,
Louisiana,-,6,42,80,1,29,562,736,
Oklahoma,-,5,63,65,-,13,22,357,
Texas,-,23,285,432,-,99,2,653,2,915,
Mountain,-,10,164,227,2,120,2,690,3,468,
Arizona,-,7,76,131,1,58,933,1,512,
Colorado,-,2,18,18,1,30,570,539,
Idaho,-,0,-,5,-,8,84,60,
Montana,-,2,5,5,-,13,216,68,
Nevada,-,4,42,33,-,21,345,604,
New Mexico,-,3,17,34,-,20,416,517,
Utah,-,3,6,1,-,9,116,156,
Wyoming,-,0,-,-,-,2,10,12,
Pacific,-,22,444,421,57,261,6,962,8,811,
Alaska,-,1,3,3,-,7,4,152,
California,-,19,393,348,19,196,5,458,6,669,
Hawaii,-,2,-,11,-,8,-,197,
Oregon,-,2,27,17,20,33,842,688,
Washington,-,4,21,42,18,42,658,1,105,
U.S. Territories,-,2,1,6,-,12,98,236,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,1,6,-,12,98,236,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,3,
Total,1,71,1,641,1,966,103,1,146,32,500,39,627,
