Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,67,1,350,1,698,119,1,138,28,204,35,640,
New England,-,2,9,8,-,64,529,884,
Connecticut,-,0,-,2,-,10,-,186,
Maine,-,0,-,-,-,4,37,48,
Massachusetts,-,1,5,4,-,26,397,482,
New Hampshire,-,1,1,-,-,3,45,55,
Rhode Island,-,1,3,1,-,40,48,105,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,51,57,38,133,3,012,3,899,
New Jersey,-,4,30,21,-,27,3,635,
New York (excluding New York City),-,3,17,26,35,39,860,845,
New York City,-,0,-,-,-,54,1,372,1,551,
Pennsylvania,-,2,4,10,3,38,777,868,
East North Central,-,9,81,110,1,135,2,804,3,724,
Illinois,-,4,-,30,-,32,510,1,081,
Indiana,-,3,17,13,-,29,378,415,
Michigan,-,3,20,29,-,28,587,652,
Ohio,-,6,32,33,-,59,996,1,170,
Wisconsin,-,3,12,5,1,19,333,406,
West North Central,-,5,49,84,1,81,1,963,2,076,
Iowa,-,2,-,6,-,11,192,206,
Kansas,-,1,8,6,-,13,187,215,
Minnesota,-,2,6,12,-,20,435,359,
Missouri,-,4,17,47,1,36,707,890,
Nebraska,-,0,-,-,-,9,117,118,
North Dakota,-,0,-,2,-,5,39,30,
South Dakota,-,3,18,11,-,17,286,258,
South Atlantic,-,18,234,233,18,237,6,216,7,490,
Delaware,-,1,2,1,-,8,92,59,
District of Columbia,-,0,-,-,-,12,154,161,
Florida,-,12,150,98,13,118,2,929,3,002,
Georgia,-,6,29,54,-,43,1,011,1,321,
Maryland,-,1,-,22,-,12,-,594,
North Carolina,-,4,32,23,3,58,1,397,1,154,
South Carolina,-,2,2,11,-,23,164,580,
Virginia,-,2,11,14,2,32,438,484,
West Virginia,-,2,8,10,-,6,31,135,
East South Central,-,6,59,113,3,94,1,929,1,993,
Alabama,-,3,17,26,2,36,665,467,
Kentucky,-,2,8,17,1,18,270,358,
Mississippi,-,4,11,41,-,25,448,539,
Tennessee,-,4,23,29,-,29,546,629,
West South Central,-,24,324,525,-,144,3,223,4,212,
Arkansas,-,4,34,31,-,32,617,622,
Louisiana,-,6,31,70,-,29,464,664,
Oklahoma,-,5,50,60,-,13,17,337,
Texas,-,18,209,364,-,98,2,125,2,589,
Mountain,-,11,143,197,8,120,2,381,3,069,
Arizona,-,7,61,113,-,58,809,1,333,
Colorado,-,2,18,18,-,40,489,455,
Idaho,-,1,-,3,-,7,75,54,
Montana,-,2,5,4,8,13,194,63,
Nevada,-,3,37,29,-,21,333,553,
New Mexico,-,3,16,29,-,20,357,463,
Utah,-,3,6,1,-,9,115,141,
Wyoming,-,0,-,-,-,3,9,7,
Pacific,-,22,400,371,50,261,6,147,8,293,
Alaska,-,1,3,2,-,7,4,139,
California,-,19,356,315,19,192,4,785,5,995,
Hawaii,-,2,-,8,-,8,-,176,
Oregon,-,3,27,12,9,32,747,603,
Washington,-,4,14,34,22,42,611,1,380,
U.S. Territories,-,2,1,5,-,12,76,178,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,1,5,-,12,76,178,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,3,
Total,-,67,1,351,1,703,119,1,138,28,280,35,821,
