Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,62,460,786,106,1,073,10,692,16,163,
New England,-,1,2,5,-,59,66,425,
Connecticut,-,0,-,2,-,11,-,97,
Maine,-,0,-,-,-,4,8,23,
Massachusetts,-,1,-,2,-,25,-,239,
New Hampshire,-,1,1,-,-,4,19,24,
Rhode Island,-,1,1,-,-,40,37,34,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,18,33,19,221,1,360,1,796,
New Jersey,-,4,9,11,-,27,1,281,
New York (excluding New York City),-,3,8,15,12,158,384,323,
New York City,-,0,-,-,3,53,617,787,
Pennsylvania,-,2,1,7,4,37,358,405,
East North Central,-,7,33,51,2,122,1,058,1,775,
Illinois,-,3,-,16,1,38,60,529,
Indiana,-,3,11,4,-,28,166,186,
Michigan,-,3,10,13,-,28,272,305,
Ohio,-,3,9,14,-,48,429,554,
Wisconsin,-,3,3,4,1,20,131,201,
West North Central,-,5,7,42,1,78,716,963,
Iowa,-,2,-,2,-,12,81,110,
Kansas,-,1,3,1,-,10,2,111,
Minnesota,-,2,3,7,-,20,193,177,
Missouri,-,3,1,25,-,34,246,404,
Nebraska,-,0,-,-,1,9,57,51,
North Dakota,-,1,-,1,-,4,18,14,
South Dakota,-,2,-,6,-,16,119,96,
South Atlantic,-,14,79,112,20,244,2,204,3,689,
Delaware,-,1,1,-,-,7,46,31,
District of Columbia,-,0,-,-,-,10,64,85,
Florida,-,8,52,48,8,118,1,276,1,433,
Georgia,-,5,3,27,4,45,29,699,
Maryland,-,2,-,14,-,26,-,311,
North Carolina,-,4,13,7,-,56,530,539,
South Carolina,-,1,-,6,-,24,-,273,
Virginia,-,2,5,6,8,32,257,258,
West Virginia,-,2,5,4,-,11,2,60,
East South Central,-,6,16,47,15,78,770,918,
Alabama,-,3,8,11,10,28,296,193,
Kentucky,-,2,2,9,-,16,100,181,
Mississippi,-,3,4,13,-,25,182,261,
Tennessee,-,5,2,14,5,31,192,283,
West South Central,-,19,92,231,2,132,1,157,1,837,
Arkansas,-,5,15,11,2,32,333,288,
Louisiana,-,6,5,36,-,31,142,347,
Oklahoma,-,4,17,25,-,2,7,75,
Texas,-,15,55,159,-,91,675,1,127,
Mountain,-,10,41,91,-,123,646,1,372,
Arizona,-,7,15,52,-,53,182,585,
Colorado,-,2,7,5,-,40,188,206,
Idaho,-,1,-,2,-,7,24,33,
Montana,-,2,1,2,-,7,37,1,
Nevada,-,3,13,18,-,24,55,291,
New Mexico,-,2,2,12,-,26,106,192,
Utah,-,1,3,-,-,9,51,63,
Wyoming,-,0,-,-,-,3,3,1,
Pacific,-,20,172,174,47,249,2,715,3,388,
Alaska,-,1,3,1,-,7,2,69,
California,-,17,153,148,19,204,2,059,2,809,
Hawaii,-,2,-,3,-,9,-,64,
Oregon,-,3,15,7,14,31,391,266,
Washington,-,4,1,15,14,33,263,180,
U.S. Territories,-,2,-,1,-,9,2,105,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,1,-,9,2,105,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,-,62,460,787,106,1,078,10,694,16,268,
