Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,71,1,882,2,301,100,1,200,37,697,45,829,
New England,-,2,13,13,-,67,837,1,150,
Connecticut,-,0,-,6,-,10,-,280,
Maine,-,0,-,-,-,6,51,56,
Massachusetts,-,1,7,5,-,26,663,610,
New Hampshire,-,2,3,-,-,4,58,63,
Rhode Island,-,1,3,1,-,41,63,133,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,6,91,82,29,122,3,878,4,917,
New Jersey,-,3,37,36,-,23,4,785,
New York (excluding New York City),-,2,23,35,24,37,1,069,1,096,
New York City,-,0,-,-,-,63,1,757,1,938,
Pennsylvania,-,3,31,11,5,37,1,048,1,098,
East North Central,-,8,125,151,5,142,3,918,4,876,
Illinois,-,1,9,46,-,31,659,1,321,
Indiana,-,3,25,17,-,29,484,585,
Michigan,-,3,26,35,-,28,729,839,
Ohio,-,6,47,44,-,61,1,611,1,504,
Wisconsin,-,3,18,9,5,20,435,627,
West North Central,-,5,67,101,2,86,2,531,2,691,
Iowa,-,1,6,9,-,12,266,278,
Kansas,-,1,9,7,-,13,198,269,
Minnesota,-,2,14,14,-,20,552,471,
Missouri,-,4,17,56,1,37,916,1,128,
Nebraska,-,0,-,-,1,9,169,154,
North Dakota,-,0,-,2,-,6,52,40,
South Dakota,-,3,21,13,-,20,378,351,
South Atlantic,-,19,325,336,9,244,7,884,9,597,
Delaware,-,1,2,1,-,10,174,99,
District of Columbia,-,1,7,5,-,14,197,219,
Florida,-,12,196,143,4,118,3,652,3,816,
Georgia,-,6,41,74,4,43,1,025,1,650,
Maryland,-,3,-,29,-,8,-,722,
North Carolina,-,4,48,36,1,59,1,815,1,553,
South Carolina,-,2,4,16,-,23,304,732,
Virginia,-,3,18,17,-,32,636,629,
West Virginia,-,2,9,15,-,6,81,177,
East South Central,-,6,84,145,9,97,2,760,2,581,
Alabama,-,3,21,36,7,38,935,630,
Kentucky,-,3,16,24,-,19,378,446,
Mississippi,-,3,15,52,-,23,605,703,
Tennessee,-,4,32,33,2,39,842,802,
West South Central,-,31,468,730,-,167,4,463,6,058,
Arkansas,-,4,49,40,-,32,831,837,
Louisiana,-,6,52,89,-,28,650,862,
Oklahoma,-,5,69,70,-,26,42,1,076,
Texas,-,25,298,531,-,102,2,940,3,283,
Mountain,-,10,205,261,1,117,3,523,3,967,
Arizona,-,6,99,150,-,46,1,329,1,698,
Colorado,-,2,22,20,-,30,697,620,
Idaho,-,0,-,5,-,8,95,69,
Montana,-,2,10,6,1,14,255,71,
Nevada,-,5,45,39,-,24,519,714,
New Mexico,-,2,23,40,-,20,485,609,
Utah,-,3,6,1,-,9,132,174,
Wyoming,-,0,-,-,-,2,11,12,
Pacific,-,21,504,482,45,263,7,903,9,992,
Alaska,-,1,3,4,-,8,4,174,
California,-,17,447,419,13,196,6,221,7,535,
Hawaii,-,2,-,13,-,9,-,214,
Oregon,-,2,29,-,18,33,958,785,
Washington,-,3,25,46,14,39,720,1,284,
U.S. Territories,-,2,1,8,1,13,117,294,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,
Puerto Rico,-,2,1,7,1,13,117,294,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,5,
Total,-,71,1,883,2,309,101,1,208,37,814,46,128,
