Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,47,3,82,32,1,005,313,1,755,
New England,-,2,-,-,-,28,2,45,
Connecticut,-,1,-,-,-,1,-,1,
Maine,-,0,-,-,-,4,-,5,
Massachusetts,-,1,-,-,-,24,-,33,
New Hampshire,-,0,-,-,-,4,-,5,
Rhode Island,-,1,-,-,-,18,2,1,
Vermont,-,1,-,-,-,4,-,-,
Middle Atlantic,-,4,-,3,9,144,84,188,
New Jersey,-,3,-,2,-,27,-,40,
New York (excluding New York City),-,3,-,1,9,74,21,18,
New York City,-,0,-,-,-,58,34,80,
Pennsylvania,-,1,-,-,-,38,29,50,
East North Central,-,6,-,5,1,117,2,232,
Illinois,-,2,-,2,-,36,-,84,
Indiana,-,0,-,-,-,23,-,19,
Michigan,-,3,-,1,-,28,-,34,
Ohio,-,3,-,1,-,44,-,59,
Wisconsin,-,2,-,1,1,19,2,36,
West North Central,-,5,-,6,2,66,22,98,
Iowa,-,2,-,-,-,13,1,11,
Kansas,-,1,-,1,-,4,1,7,
Minnesota,-,2,-,2,1,20,1,28,
Missouri,-,3,-,1,1,33,10,34,
Nebraska,-,0,-,-,-,8,7,13,
North Dakota,-,1,-,1,-,4,-,1,
South Dakota,-,2,-,1,-,10,2,4,
South Atlantic,-,11,-,10,2,236,59,391,
Delaware,-,1,-,-,-,6,-,3,
District of Columbia,-,0,-,-,1,10,1,10,
Florida,-,8,-,7,-,106,38,145,
Georgia,-,2,-,1,1,60,2,73,
Maryland,-,2,-,1,-,27,-,36,
North Carolina,-,3,-,-,-,45,-,55,
South Carolina,-,1,-,-,-,19,-,23,
Virginia,-,2,-,1,-,30,18,41,
West Virginia,-,1,-,-,-,10,-,5,
East South Central,-,6,-,5,-,77,21,102,
Alabama,-,3,-,2,-,26,7,22,
Kentucky,-,2,-,-,-,20,-,15,
Mississippi,-,4,-,2,-,22,8,34,
Tennessee,-,3,-,1,-,31,6,31,
West South Central,-,16,-,21,-,127,18,200,
Arkansas,-,3,-,1,-,30,18,29,
Louisiana,-,1,-,1,-,31,-,31,
Oklahoma,-,6,-,2,-,10,-,15,
Texas,-,14,-,17,-,86,-,125,
Mountain,-,9,-,17,-,117,24,149,
Arizona,-,7,-,10,-,48,14,59,
Colorado,-,2,-,-,-,40,4,32,
Idaho,-,1,-,1,-,7,-,2,
Montana,-,2,-,-,-,11,3,1,
Nevada,-,3,-,4,-,26,-,27,
New Mexico,-,2,-,2,-,26,-,22,
Utah,-,1,-,-,-,6,3,5,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,1,17,3,15,18,249,81,350,
Alaska,-,1,-,-,-,9,-,8,
California,-,15,-,12,-,205,33,308,
Hawaii,-,0,-,-,-,0,-,-,
Oregon,1,3,3,-,4,31,28,23,
Washington,-,3,-,3,14,21,20,11,
U.S. Territories,-,1,-,-,-,9,-,6,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,9,-,6,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,1,47,3,82,32,1,010,313,1,761,
