Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,63,715,1,005,38,1,108,14,991,21,636,
New England,-,1,4,5,-,59,88,545,
Connecticut,-,0,-,2,-,11,-,122,
Maine,-,0,-,-,-,4,19,34,
Massachusetts,-,1,-,2,-,24,-,297,
New Hampshire,-,1,1,-,-,4,24,35,
Rhode Island,-,1,3,-,-,40,43,49,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,22,40,2,209,1,631,2,366,
New Jersey,-,4,9,15,-,27,2,391,
New York (excluding New York City),-,3,12,16,-,144,484,460,
New York City,-,0,-,-,-,53,700,992,
Pennsylvania,-,2,1,9,2,38,445,523,
East North Central,-,7,50,66,1,128,1,416,2,265,
Illinois,-,3,-,19,-,39,97,684,
Indiana,-,3,14,7,-,28,166,234,
Michigan,-,3,14,16,-,28,364,387,
Ohio,-,5,16,20,-,52,616,703,
Wisconsin,-,3,6,4,1,20,173,257,
West North Central,-,5,18,54,2,77,1,089,1,263,
Iowa,-,2,-,3,-,12,111,132,
Kansas,-,1,5,3,-,10,51,139,
Minnesota,-,2,6,8,-,21,275,220,
Missouri,-,4,7,31,-,35,393,556,
Nebraska,-,0,-,-,2,9,75,63,
North Dakota,-,1,-,1,-,4,19,17,
South Dakota,-,1,-,8,-,16,165,136,
South Atlantic,-,14,116,143,7,245,3,331,4,760,
Delaware,-,1,1,-,-,7,61,42,
District of Columbia,-,0,-,-,-,11,83,105,
Florida,-,8,77,63,4,118,1,663,1,859,
Georgia,-,5,6,33,-,46,419,888,
Maryland,-,2,-,15,-,26,-,392,
North Carolina,-,4,18,11,2,57,775,706,
South Carolina,-,1,-,7,-,23,7,359,
Virginia,-,2,8,7,1,32,317,330,
West Virginia,-,2,6,7,-,11,6,79,
East South Central,-,6,24,69,3,75,1,034,1,186,
Alabama,-,3,11,16,2,33,395,251,
Kentucky,-,2,4,13,1,17,145,213,
Mississippi,-,3,6,20,-,25,230,337,
Tennessee,-,4,3,20,-,30,264,385,
West South Central,-,20,158,283,1,136,1,775,2,405,
Arkansas,-,5,21,13,-,32,393,374,
Louisiana,-,6,11,42,-,28,224,431,
Oklahoma,-,4,24,32,1,2,9,79,
Texas,-,15,102,196,-,93,1,149,1,521,
Mountain,-,10,73,123,-,127,1,121,1,828,
Arizona,-,7,27,68,-,58,355,781,
Colorado,-,2,10,8,-,40,281,261,
Idaho,-,1,-,3,-,7,43,41,
Montana,-,2,2,3,-,11,88,3,
Nevada,-,3,22,22,-,19,109,389,
New Mexico,-,3,9,19,-,26,175,270,
Utah,-,1,3,-,-,9,65,81,
Wyoming,-,0,-,-,-,3,5,2,
Pacific,-,20,250,222,22,286,3,506,5,018,
Alaska,-,1,3,1,-,7,4,89,
California,-,18,220,192,-,203,2,666,3,681,
Hawaii,-,2,-,4,-,9,-,94,
Oregon,-,3,20,7,14,32,482,343,
Washington,-,4,7,18,8,65,354,811,
U.S. Territories,-,2,-,1,-,12,63,142,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,1,-,12,63,142,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,1,
Total,-,63,715,1,006,38,1,114,15,054,21,779,
