Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,63,774,1,091,116,1,137,17,215,24,034,
New England,-,2,8,5,2,64,456,594,
Connecticut,-,0,-,2,-,11,-,131,
Maine,-,0,-,-,-,4,19,35,
Massachusetts,-,1,4,2,2,24,363,322,
New Hampshire,-,1,1,-,-,4,29,40,
Rhode Island,-,1,3,-,-,40,43,58,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,29,42,31,144,1,774,2,621,
New Jersey,-,4,14,15,-,27,2,434,
New York (excluding New York City),-,3,14,18,30,39,576,529,
New York City,-,0,-,-,-,53,705,1,080,
Pennsylvania,-,2,1,9,1,38,491,578,
East North Central,-,7,51,70,-,128,1,594,2,505,
Illinois,-,3,-,21,-,39,109,754,
Indiana,-,3,14,7,-,28,166,260,
Michigan,-,3,15,17,-,28,399,428,
Ohio,-,5,16,20,-,52,734,775,
Wisconsin,-,3,6,5,-,20,186,288,
West North Central,-,4,19,60,1,79,1,283,1,397,
Iowa,-,2,-,5,-,12,122,137,
Kansas,-,1,6,4,-,10,124,148,
Minnesota,-,2,6,9,-,21,301,245,
Missouri,-,4,7,32,1,36,464,616,
Nebraska,-,0,-,-,-,9,76,71,
North Dakota,-,1,-,1,-,4,25,18,
South Dakota,-,1,-,9,-,16,171,162,
South Atlantic,-,14,130,149,15,245,3,675,5,189,
Delaware,-,1,2,-,-,7,71,45,
District of Columbia,-,0,-,-,-,11,96,113,
Florida,-,8,90,68,10,118,1,875,2,041,
Georgia,-,5,6,33,1,38,420,964,
Maryland,-,2,-,16,-,26,-,423,
North Carolina,-,4,18,11,-,57,834,768,
South Carolina,-,1,-,7,-,23,24,394,
Virginia,-,2,8,7,4,32,344,354,
West Virginia,-,2,6,7,-,11,11,87,
East South Central,-,6,26,75,5,77,1,207,1,300,
Alabama,-,3,12,19,3,33,439,277,
Kentucky,-,2,5,15,1,17,162,236,
Mississippi,-,3,6,21,-,25,247,366,
Tennessee,-,4,3,20,1,30,359,421,
West South Central,-,21,166,315,1,144,1,847,2,848,
Arkansas,-,5,22,16,-,32,429,410,
Louisiana,-,6,16,47,-,28,258,477,
Oklahoma,-,4,25,36,1,13,11,256,
Texas,-,15,103,216,-,95,1,149,1,705,
Mountain,-,10,80,139,4,128,1,364,2,037,
Arizona,-,7,30,76,-,58,422,863,
Colorado,-,2,11,9,-,40,329,287,
Idaho,-,1,-,3,1,7,48,44,
Montana,-,2,2,3,3,12,125,43,
Nevada,-,3,25,24,-,20,167,413,
New Mexico,-,3,9,24,-,26,200,295,
Utah,-,1,3,-,-,9,67,89,
Wyoming,-,0,-,-,-,3,6,3,
Pacific,-,20,265,236,57,287,4,015,5,543,
Alaska,-,1,3,1,-,7,4,98,
California,-,18,233,204,14,204,3,092,4,069,
Hawaii,-,2,-,5,-,7,-,106,
Oregon,-,3,22,7,17,32,518,373,
Washington,-,4,7,19,26,65,401,897,
U.S. Territories,-,2,-,2,-,12,63,148,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,2,-,12,63,148,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,-,63,774,1,093,116,1,143,17,278,24,184,
