Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,72,1,968,2,514,57,1,198,40,086,48,751,
New England,-,2,14,14,-,67,895,1,230,
Connecticut,-,0,-,6,-,6,-,305,
Maine,-,0,-,-,-,6,60,56,
Massachusetts,-,1,7,6,-,26,693,646,
New Hampshire,-,2,3,-,-,4,60,67,
Rhode Island,-,1,4,1,-,41,80,148,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,6,93,87,21,123,4,192,5,205,
New Jersey,-,3,37,39,-,23,5,830,
New York (excluding New York City),-,2,25,36,10,37,1,122,1,154,
New York City,-,0,-,-,2,66,1,952,2,048,
Pennsylvania,-,3,31,12,9,37,1,113,1,173,
East North Central,-,8,135,162,1,142,4,167,5,177,
Illinois,-,1,9,47,-,31,708,1,379,
Indiana,-,3,29,19,-,29,484,639,
Michigan,-,3,30,37,-,28,781,894,
Ohio,-,6,48,46,-,65,1,745,1,603,
Wisconsin,-,3,19,13,1,20,449,662,
West North Central,-,5,74,108,1,86,2,790,2,876,
Iowa,-,1,6,11,-,12,276,306,
Kansas,-,1,9,7,-,13,271,282,
Minnesota,-,2,16,14,-,20,591,505,
Missouri,-,4,17,61,1,38,1,020,1,195,
Nebraska,-,0,-,-,-,9,184,169,
North Dakota,-,0,-,2,-,6,52,43,
South Dakota,-,3,26,13,-,20,396,376,
South Atlantic,-,18,336,365,4,246,8,333,10,125,
Delaware,-,1,2,1,-,11,197,113,
District of Columbia,-,1,7,6,-,14,213,234,
Florida,-,12,202,156,1,118,3,843,4,034,
Georgia,-,6,43,77,-,43,1,029,1,731,
Maryland,-,3,-,33,-,0,-,727,
North Carolina,-,3,49,40,3,61,1,933,1,667,
South Carolina,-,2,4,19,-,19,345,768,
Virginia,-,3,20,18,-,32,685,659,
West Virginia,-,2,9,15,-,6,88,192,
East South Central,-,6,90,151,2,97,2,910,2,771,
Alabama,-,3,21,36,2,38,1,019,679,
Kentucky,-,3,17,25,-,19,394,479,
Mississippi,-,3,17,57,-,23,648,756,
Tennessee,-,4,35,33,-,39,849,857,
West South Central,-,29,486,799,-,167,4,672,6,420,
Arkansas,-,4,52,41,-,32,864,902,
Louisiana,-,4,60,99,-,26,695,913,
Oklahoma,-,5,69,76,-,24,50,1,124,
Texas,-,23,305,583,-,105,3,063,3,481,
Mountain,-,10,209,280,4,121,3,781,4,362,
Arizona,-,6,100,164,1,48,1,446,1,810,
Colorado,-,2,22,23,-,30,745,675,
Idaho,-,0,-,5,-,8,96,75,
Montana,-,2,11,7,3,15,277,78,
Nevada,-,5,46,39,-,24,519,873,
New Mexico,-,2,24,41,-,20,513,656,
Utah,-,3,6,1,-,10,171,182,
Wyoming,-,0,-,-,-,2,14,13,
Pacific,-,21,531,548,24,263,8,346,10,585,
Alaska,-,1,3,5,-,5,7,181,
California,-,18,471,453,6,193,6,570,7,962,
Hawaii,-,1,-,16,-,9,-,229,
Oregon,-,2,32,24,13,33,1,013,846,
Washington,-,3,25,50,5,39,756,1,367,
U.S. Territories,-,2,2,8,-,13,163,307,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,
Puerto Rico,-,2,2,7,-,13,163,307,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,5,
Total,-,72,1,970,2,522,57,1,206,40,249,49,063,
