Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,54,149,489,115,1,057,4,813,10,215,
New England,-,1,2,4,1,55,39,269,
Connecticut,-,1,-,2,-,11,-,61,
Maine,-,0,-,-,-,4,2,16,
Massachusetts,-,1,-,1,-,25,-,153,
New Hampshire,-,1,1,-,1,4,12,17,
Rhode Island,-,1,1,-,-,35,24,15,
Vermont,-,0,-,1,-,1,1,7,
Middle Atlantic,-,7,6,20,28,250,738,1,135,
New Jersey,-,4,1,9,-,27,-,173,
New York (excluding New York City),-,3,5,8,24,191,217,190,
New York City,-,0,-,-,-,58,302,504,
Pennsylvania,-,2,-,3,4,37,219,268,
East North Central,-,7,13,28,2,123,336,1,169,
Illinois,-,2,-,5,-,38,19,360,
Indiana,-,2,4,3,-,23,-,122,
Michigan,-,3,6,8,-,28,143,213,
Ohio,-,3,-,10,-,44,87,340,
Wisconsin,-,3,3,2,2,20,87,134,
West North Central,-,5,3,14,4,74,375,595,
Iowa,-,2,-,2,3,13,34,74,
Kansas,-,1,1,1,-,10,2,74,
Minnesota,-,2,2,3,-,18,112,118,
Missouri,-,3,-,4,1,32,122,237,
Nebraska,-,0,-,-,-,8,35,34,
North Dakota,-,1,-,1,-,3,10,12,
South Dakota,-,2,-,3,-,16,60,46,
South Atlantic,-,12,32,78,17,239,929,2,339,
Delaware,-,1,-,-,-,6,-,19,
District of Columbia,-,0,-,-,-,10,28,63,
Florida,-,8,26,36,7,113,712,915,
Georgia,-,5,1,19,2,60,12,438,
Maryland,-,2,-,9,-,27,-,204,
North Carolina,-,3,-,3,-,45,-,349,
South Carolina,-,0,-,3,-,18,-,138,
Virginia,-,2,2,5,8,31,176,174,
West Virginia,-,2,3,3,-,11,1,39,
East South Central,-,5,7,24,11,80,365,554,
Alabama,-,3,7,6,3,27,128,111,
Kentucky,-,2,-,3,3,14,45,120,
Mississippi,-,3,-,5,-,25,81,155,
Tennessee,-,2,-,10,5,31,111,168,
West South Central,-,19,9,161,1,130,271,1,097,
Arkansas,-,3,-,6,1,31,204,169,
Louisiana,-,6,2,25,-,31,64,209,
Oklahoma,-,6,7,17,-,7,3,61,
Texas,-,12,-,113,-,89,-,658,
Mountain,-,9,23,57,-,119,279,849,
Arizona,-,7,11,34,-,50,95,365,
Colorado,-,2,5,3,-,40,75,125,
Idaho,-,1,-,2,-,7,17,24,
Montana,-,2,1,-,-,3,9,-,
Nevada,-,3,4,9,-,26,13,184,
New Mexico,-,2,1,9,-,26,46,113,
Utah,-,1,1,-,-,9,24,37,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,18,54,103,51,246,1,481,2,208,
Alaska,-,1,2,-,-,9,2,42,
California,-,16,41,90,8,202,1,068,1,831,
Hawaii,-,2,-,1,-,9,-,47,
Oregon,-,3,11,4,25,31,251,168,
Washington,-,3,-,8,18,33,160,120,
U.S. Territories,-,1,-,-,-,9,2,70,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,9,2,70,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,-,54,149,489,115,1,062,4,815,10,285,
