Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,65,833,1,177,99,1,138,18,434,25,127,
New England,-,2,9,5,-,64,479,627,
Connecticut,-,0,-,2,-,11,-,138,
Maine,-,0,-,-,-,4,26,37,
Massachusetts,-,1,5,2,-,24,378,339,
New Hampshire,-,1,1,-,-,4,30,40,
Rhode Island,-,1,3,-,-,40,43,65,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,29,45,24,144,1,834,2,740,
New Jersey,-,4,14,17,-,27,2,454,
New York (excluding New York City),-,3,14,19,19,39,594,567,
New York City,-,0,-,-,-,53,707,1,118,
Pennsylvania,-,2,1,9,5,38,531,601,
East North Central,-,8,54,74,-,128,1,671,2,621,
Illinois,-,3,-,21,-,39,158,786,
Indiana,-,3,15,9,-,28,166,274,
Michigan,-,3,16,18,-,28,417,444,
Ohio,-,6,17,21,-,52,735,815,
Wisconsin,-,3,6,5,-,18,195,302,
West North Central,-,4,36,61,2,79,1,335,1,457,
Iowa,-,2,-,5,-,12,130,143,
Kansas,-,1,6,4,1,10,125,154,
Minnesota,-,2,6,9,-,21,301,254,
Missouri,-,4,7,33,1,36,495,642,
Nebraska,-,0,-,-,-,9,84,76,
North Dakota,-,1,-,1,-,4,29,20,
South Dakota,-,3,17,9,-,15,171,168,
South Atlantic,-,14,139,157,7,245,4,032,5,410,
Delaware,-,1,2,-,-,7,71,45,
District of Columbia,-,0,-,-,-,11,102,116,
Florida,-,8,99,69,4,118,1,954,2,143,
Georgia,-,5,6,35,-,39,621,1,001,
Maryland,-,2,-,18,-,26,-,437,
North Carolina,-,4,18,13,1,57,887,789,
South Carolina,-,1,-,7,-,23,40,416,
Virginia,-,2,8,7,2,32,346,367,
West Virginia,-,2,6,8,-,11,11,96,
East South Central,-,6,38,78,6,77,1,246,1,367,
Alabama,-,3,15,19,6,35,456,295,
Kentucky,-,2,5,15,-,17,165,246,
Mississippi,-,3,7,24,-,25,266,385,
Tennessee,-,4,11,20,-,30,359,441,
West South Central,-,23,168,363,-,144,2,182,2,970,
Arkansas,-,5,22,16,-,32,448,425,
Louisiana,-,6,16,48,-,28,276,493,
Oklahoma,-,4,27,37,-,13,11,263,
Texas,-,18,103,262,-,95,1,447,1,789,
Mountain,-,10,84,146,4,128,1,439,2,155,
Arizona,-,6,30,82,1,58,445,908,
Colorado,-,2,12,9,1,40,348,304,
Idaho,-,1,-,3,-,7,49,45,
Montana,-,2,2,3,2,12,131,47,
Nevada,-,3,26,24,-,20,179,431,
New Mexico,-,3,11,25,-,26,214,317,
Utah,-,1,3,-,-,9,67,99,
Wyoming,-,0,-,-,-,3,6,4,
Pacific,-,20,276,248,56,287,4,216,5,780,
Alaska,-,1,3,1,-,7,4,99,
California,-,18,243,213,13,204,3,247,4,247,
Hawaii,-,2,-,5,-,7,-,112,
Oregon,-,3,23,8,18,32,539,393,
Washington,-,4,7,21,25,65,426,929,
U.S. Territories,-,2,-,2,-,12,76,157,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,2,-,12,76,157,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,-,65,833,1,179,99,1,144,18,510,25,286,
