Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,47,6,150,76,1,008,632,3,512,
New England,-,2,-,1,-,30,3,87,
Connecticut,-,1,-,-,-,1,-,1,
Maine,-,0,-,-,-,4,-,8,
Massachusetts,-,1,-,1,-,24,-,63,
New Hampshire,-,0,-,-,-,4,1,8,
Rhode Island,-,1,-,-,-,18,2,2,
Vermont,-,1,-,-,-,1,-,5,
Middle Atlantic,-,4,-,4,24,143,179,373,
New Jersey,-,3,-,3,-,27,-,69,
New York (excluding New York City),-,3,-,1,14,77,52,46,
New York City,-,0,-,-,4,58,64,161,
Pennsylvania,-,1,-,-,6,38,63,97,
East North Central,-,6,-,8,-,118,4,454,
Illinois,-,2,-,4,-,36,-,155,
Indiana,-,0,-,-,-,23,-,46,
Michigan,-,3,-,1,-,28,1,73,
Ohio,-,3,-,1,-,44,1,120,
Wisconsin,-,2,-,2,-,19,2,60,
West North Central,-,5,-,7,3,68,56,174,
Iowa,-,2,-,1,1,13,6,24,
Kansas,-,1,-,1,-,4,1,8,
Minnesota,-,2,-,2,-,20,9,42,
Missouri,-,3,-,1,1,33,21,68,
Nebraska,-,0,-,-,1,8,15,17,
North Dakota,-,1,-,1,-,4,1,3,
South Dakota,-,2,-,1,-,16,3,12,
South Atlantic,-,12,1,19,21,233,130,805,
Delaware,-,1,-,-,-,6,-,3,
District of Columbia,-,0,-,-,1,10,9,22,
Florida,-,8,1,11,-,106,66,320,
Georgia,-,2,-,1,1,60,3,141,
Maryland,-,2,-,3,-,27,-,69,
North Carolina,-,3,-,-,-,45,-,127,
South Carolina,-,1,-,1,-,19,-,43,
Virginia,-,2,-,3,19,30,52,65,
West Virginia,-,1,-,-,-,10,-,15,
East South Central,-,5,-,9,12,77,50,213,
Alabama,-,3,-,4,-,26,7,38,
Kentucky,-,2,-,2,-,20,-,44,
Mississippi,-,3,-,2,-,22,17,66,
Tennessee,-,3,-,1,12,31,26,65,
West South Central,-,16,1,46,-,127,36,397,
Arkansas,-,3,-,1,-,30,36,63,
Louisiana,-,0,-,2,-,31,-,71,
Oklahoma,-,6,1,4,-,10,-,27,
Texas,-,14,-,39,-,86,-,236,
Mountain,-,9,1,26,1,116,42,300,
Arizona,-,7,1,15,1,47,19,113,
Colorado,-,2,-,-,-,40,13,55,
Idaho,-,1,-,2,-,4,-,10,
Montana,-,2,-,-,-,11,4,2,
Nevada,-,3,-,5,-,26,-,61,
New Mexico,-,2,-,4,-,26,3,47,
Utah,-,1,-,-,-,6,3,11,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,17,3,30,15,249,132,709,
Alaska,-,1,-,-,-,9,-,13,
California,-,15,-,26,-,205,37,613,
Hawaii,-,0,-,-,-,0,-,-,
Oregon,-,3,3,1,-,31,45,49,
Washington,-,3,-,3,15,21,50,34,
U.S. Territories,-,1,-,-,-,8,-,18,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,8,-,18,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,-,47,6,150,76,1,013,632,3,530,
