Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,53,74,292,107,1,037,2,415,6,233,
New England,-,2,2,1,-,44,20,139,
Connecticut,-,1,-,-,-,1,-,1,
Maine,-,0,-,-,-,4,-,14,
Massachusetts,-,1,-,1,-,26,-,97,
New Hampshire,-,1,1,-,-,4,5,14,
Rhode Island,-,1,1,-,-,31,15,7,
Vermont,-,1,-,-,-,1,-,6,
Middle Atlantic,-,4,2,12,38,147,427,688,
New Jersey,-,3,-,5,-,27,-,116,
New York (excluding New York City),-,2,2,5,30,97,121,100,
New York City,-,0,-,-,3,58,182,305,
Pennsylvania,-,1,-,2,5,38,124,167,
East North Central,-,7,3,19,-,118,121,739,
Illinois,-,2,-,4,-,36,-,236,
Indiana,-,2,-,3,-,23,-,85,
Michigan,-,3,3,6,-,28,59,129,
Ohio,-,3,-,3,-,44,58,203,
Wisconsin,-,2,-,3,-,19,4,86,
West North Central,-,5,2,9,3,74,181,344,
Iowa,-,2,-,2,-,13,12,42,
Kansas,-,1,-,1,-,11,2,49,
Minnesota,-,2,2,2,1,20,55,71,
Missouri,-,3,-,1,-,33,57,125,
Nebraska,-,0,-,-,1,8,27,30,
North Dakota,-,1,-,1,1,4,5,7,
South Dakota,-,2,-,2,-,16,23,20,
South Atlantic,-,12,17,43,21,238,498,1,458,
Delaware,-,1,-,-,-,6,-,7,
District of Columbia,-,0,-,-,-,10,13,38,
Florida,-,8,15,25,2,113,357,581,
Georgia,-,2,-,5,2,60,7,266,
Maryland,-,2,-,3,-,27,-,124,
North Carolina,-,3,-,2,-,45,-,214,
South Carolina,-,1,-,2,-,18,-,95,
Virginia,-,2,2,4,17,31,121,106,
West Virginia,-,1,-,2,-,10,-,27,
East South Central,-,5,3,17,5,77,147,339,
Alabama,-,3,3,6,-,28,48,69,
Kentucky,-,2,-,3,-,20,1,68,
Mississippi,-,3,-,3,-,24,35,104,
Tennessee,-,2,-,5,5,31,63,98,
West South Central,-,19,4,95,1,127,130,624,
Arkansas,-,3,-,3,1,31,100,93,
Louisiana,-,6,-,16,-,31,28,124,
Oklahoma,-,6,4,9,-,10,2,38,
Texas,-,14,-,67,-,86,-,369,
Mountain,-,9,11,37,1,121,145,557,
Arizona,-,7,7,23,-,50,48,221,
Colorado,-,2,2,-,1,40,57,94,
Idaho,-,1,-,2,-,4,-,18,
Montana,-,2,-,-,-,11,12,3,
Nevada,-,3,1,5,-,26,-,124,
New Mexico,-,2,-,7,-,26,16,78,
Utah,-,1,1,-,-,8,12,18,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,19,30,59,38,244,746,1,345,
Alaska,-,1,2,-,-,9,-,26,
California,-,16,24,51,4,203,477,1,149,
Hawaii,-,0,-,-,-,0,-,-,
Oregon,-,2,4,3,22,31,161,99,
Washington,-,3,-,5,12,33,108,71,
U.S. Territories,-,1,-,-,-,9,-,40,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,9,-,40,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,-,53,74,292,107,1,042,2,415,6,273,
