Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,62,627,909,108,1,102,13,600,19,717,
New England,-,1,4,5,-,59,85,503,
Connecticut,-,0,-,2,-,11,-,112,
Maine,-,0,-,-,-,4,19,31,
Massachusetts,-,1,-,2,-,24,-,274,
New Hampshire,-,1,1,-,-,4,23,31,
Rhode Island,-,1,3,-,-,40,41,47,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,22,36,31,218,1,584,2,171,
New Jersey,-,4,9,13,-,27,2,349,
New York (excluding New York City),-,3,12,15,26,153,462,422,
New York City,-,0,-,-,-,53,693,919,
Pennsylvania,-,2,1,8,5,38,427,481,
East North Central,-,7,47,61,7,128,1,344,2,077,
Illinois,-,3,-,19,-,39,97,631,
Indiana,-,3,12,6,-,28,166,213,
Michigan,-,3,14,13,3,28,329,351,
Ohio,-,5,16,19,-,52,597,652,
Wisconsin,-,3,5,4,4,20,155,230,
West North Central,-,5,18,47,2,77,938,1,146,
Iowa,-,2,-,2,-,12,93,124,
Kansas,-,1,5,2,-,10,2,127,
Minnesota,-,2,6,7,-,21,247,200,
Missouri,-,4,7,27,1,35,363,498,
Nebraska,-,0,-,-,1,9,65,61,
North Dakota,-,1,-,1,-,4,19,15,
South Dakota,-,1,-,8,-,16,149,121,
South Atlantic,1,14,103,129,18,245,3,039,4,337,
Delaware,-,1,1,-,-,7,46,37,
District of Columbia,-,0,-,-,-,11,76,91,
Florida,-,8,69,58,11,118,1,520,1,696,
Georgia,-,5,6,29,-,46,419,822,
Maryland,-,2,-,15,-,26,-,364,
North Carolina,-,4,13,9,-,56,691,635,
South Carolina,-,1,-,6,-,24,-,324,
Virginia,1,2,8,7,7,32,283,301,
West Virginia,-,2,6,5,-,11,4,67,
East South Central,-,6,19,58,7,75,998,1,101,
Alabama,-,3,10,13,4,32,374,230,
Kentucky,-,2,2,10,1,16,130,202,
Mississippi,-,3,4,18,1,25,230,314,
Tennessee,-,4,3,17,1,30,264,355,
West South Central,-,20,124,260,-,133,1,516,2,170,
Arkansas,-,5,20,13,-,32,381,337,
Louisiana,-,6,7,38,-,27,184,393,
Oklahoma,-,4,23,28,-,2,7,76,
Texas,-,15,74,181,-,91,944,1,364,
Mountain,-,10,64,114,1,124,926,1,652,
Arizona,-,7,23,62,1,58,253,709,
Colorado,-,2,9,8,-,40,254,239,
Idaho,-,1,-,3,-,7,38,37,
Montana,-,2,2,2,-,10,67,1,
Nevada,-,3,20,21,-,23,100,349,
New Mexico,-,3,7,18,-,26,149,240,
Utah,-,1,3,-,-,9,60,75,
Wyoming,-,0,-,-,-,3,5,2,
Pacific,-,20,226,199,42,286,3,170,4,560,
Alaska,-,1,3,1,-,7,4,81,
California,-,18,196,169,-,203,2,379,3,337,
Hawaii,-,2,-,4,-,9,-,76,
Oregon,-,3,20,7,12,32,460,312,
Washington,-,4,7,18,30,65,327,754,
U.S. Territories,-,2,-,1,-,12,63,131,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,1,-,12,63,131,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,1,
Total,1,63,627,910,108,1,108,13,663,19,849,
