Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,71,1,882,2,372,78,1,199,38,426,46,980,
New England,-,2,13,13,-,67,858,1,182,
Connecticut,-,0,-,6,-,10,-,290,
Maine,-,0,-,-,-,6,56,56,
Massachusetts,-,1,7,5,-,26,663,622,
New Hampshire,-,2,3,-,-,4,60,63,
Rhode Island,-,1,3,1,-,41,77,143,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,6,91,83,11,122,3,971,5,019,
New Jersey,-,3,37,36,-,23,4,803,
New York (excluding New York City),-,2,23,35,6,37,1,075,1,123,
New York City,-,0,-,-,5,64,1,836,1,971,
Pennsylvania,-,3,31,12,-,37,1,056,1,122,
East North Central,-,8,125,155,1,142,4,024,4,988,
Illinois,-,1,9,46,-,31,666,1,339,
Indiana,-,3,25,17,-,29,484,610,
Michigan,-,3,26,36,-,28,739,859,
Ohio,-,6,47,46,-,64,1,695,1,542,
Wisconsin,-,3,18,10,1,20,440,638,
West North Central,-,5,67,104,3,86,2,663,2,762,
Iowa,-,1,6,10,-,12,275,287,
Kansas,-,1,9,7,-,13,271,271,
Minnesota,-,2,14,14,-,20,553,483,
Missouri,-,4,17,58,2,37,950,1,156,
Nebraska,-,0,-,-,1,9,176,159,
North Dakota,-,0,-,2,-,6,52,43,
South Dakota,-,3,21,13,-,20,386,363,
South Atlantic,-,19,325,348,11,244,8,043,9,809,
Delaware,-,1,2,1,1,11,183,105,
District of Columbia,-,1,7,5,-,14,201,227,
Florida,-,12,196,151,5,118,3,725,3,906,
Georgia,-,6,41,76,3,43,1,028,1,689,
Maryland,-,3,-,29,-,4,-,726,
North Carolina,-,4,48,38,2,59,1,848,1,589,
South Carolina,-,2,4,16,-,19,317,750,
Virginia,-,3,18,17,-,32,660,636,
West Virginia,-,2,9,15,-,6,81,181,
East South Central,-,6,84,146,9,97,2,831,2,641,
Alabama,-,3,21,36,9,38,983,645,
Kentucky,-,3,16,24,-,19,385,460,
Mississippi,-,3,15,53,-,23,621,719,
Tennessee,-,4,32,33,-,39,842,817,
West South Central,-,31,468,761,-,167,4,471,6,199,
Arkansas,-,4,49,40,-,32,833,862,
Louisiana,-,6,52,95,-,26,656,883,
Oklahoma,-,5,69,70,-,24,42,1,095,
Texas,-,25,298,556,-,102,2,940,3,359,
Mountain,-,10,205,267,2,117,3,567,4,173,
Arizona,-,6,99,155,-,46,1,329,1,737,
Colorado,-,2,22,20,-,30,731,641,
Idaho,-,0,-,5,-,8,95,70,
Montana,-,2,10,6,2,14,261,75,
Nevada,-,5,45,39,-,24,519,838,
New Mexico,-,2,23,41,-,20,489,622,
Utah,-,3,6,1,-,9,132,177,
Wyoming,-,0,-,-,-,2,11,13,
Pacific,-,21,504,495,41,263,7,998,10,207,
Alaska,-,1,3,4,-,5,6,175,
California,-,17,447,429,13,194,6,282,7,697,
Hawaii,-,2,-,15,-,9,-,218,
Oregon,-,2,29,-,17,33,979,804,
Washington,-,3,25,47,11,39,731,1,313,
U.S. Territories,-,2,1,8,-,13,117,299,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,
Puerto Rico,-,2,1,7,-,13,117,299,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,5,
Total,-,71,1,883,2,380,78,1,207,38,543,47,284,
