Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,47,3,124,50,1,008,458,2,566,
New England,-,2,-,-,-,28,3,62,
Connecticut,-,1,-,-,-,1,-,1,
Maine,-,0,-,-,-,4,-,5,
Massachusetts,-,1,-,-,-,24,-,44,
New Hampshire,-,0,-,-,-,4,1,6,
Rhode Island,-,1,-,-,-,18,2,2,
Vermont,-,1,-,-,-,1,-,4,
Middle Atlantic,-,4,-,4,9,144,107,277,
New Jersey,-,3,-,3,-,27,-,56,
New York (excluding New York City),-,3,-,1,6,77,38,32,
New York City,-,0,-,-,3,58,37,117,
Pennsylvania,-,1,-,-,-,38,32,72,
East North Central,-,6,-,8,-,118,2,341,
Illinois,-,2,-,4,-,36,-,119,
Indiana,-,0,-,-,-,23,-,31,
Michigan,-,3,-,1,-,28,-,53,
Ohio,-,3,-,1,-,44,-,91,
Wisconsin,-,2,-,2,-,19,2,47,
West North Central,-,5,-,6,1,68,27,133,
Iowa,-,2,-,-,-,13,5,16,
Kansas,-,1,-,1,-,4,1,8,
Minnesota,-,2,-,2,-,20,1,35,
Missouri,-,3,-,1,-,33,10,50,
Nebraska,-,0,-,-,1,8,8,16,
North Dakota,-,1,-,1,-,4,-,1,
South Dakota,-,2,-,1,-,16,2,7,
South Atlantic,-,11,-,17,15,236,104,569,
Delaware,-,1,-,-,-,6,-,3,
District of Columbia,-,0,-,-,-,10,3,13,
Florida,-,8,-,10,-,106,66,230,
Georgia,-,2,-,1,-,60,2,105,
Maryland,-,2,-,2,-,27,-,49,
North Carolina,-,3,-,-,-,45,-,88,
South Carolina,-,1,-,1,-,19,-,28,
Virginia,-,2,-,3,15,30,33,43,
West Virginia,-,1,-,-,-,10,-,10,
East South Central,-,6,-,8,8,77,38,156,
Alabama,-,3,-,4,-,26,7,32,
Kentucky,-,2,-,1,-,20,-,27,
Mississippi,-,4,-,2,-,22,17,53,
Tennessee,-,3,-,1,8,31,14,44,
West South Central,-,16,-,35,1,127,36,291,
Arkansas,-,3,-,1,1,30,36,46,
Louisiana,-,0,-,2,-,31,-,49,
Oklahoma,-,6,-,2,-,10,-,20,
Texas,-,14,-,30,-,86,-,176,
Mountain,-,9,-,25,1,116,32,220,
Arizona,-,7,-,14,-,47,18,83,
Colorado,-,2,-,-,-,40,4,43,
Idaho,-,1,-,2,-,7,-,3,
Montana,-,2,-,-,1,11,4,1,
Nevada,-,3,-,5,-,26,-,47,
New Mexico,-,2,-,4,-,26,3,34,
Utah,-,1,-,-,-,6,3,8,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,17,3,21,15,249,109,517,
Alaska,-,1,-,-,-,9,-,9,
California,-,15,-,18,-,205,37,451,
Hawaii,-,0,-,-,-,0,-,-,
Oregon,-,3,3,-,-,31,37,34,
Washington,-,3,-,3,15,21,35,23,
U.S. Territories,-,1,-,-,-,8,-,15,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,8,-,15,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,-,47,3,124,50,1,013,458,2,581,
