Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,59,265,594,147,1,067,7,112,12,182,
New England,-,1,2,5,-,54,48,321,
Connecticut,-,0,-,2,-,11,-,74,
Maine,-,0,-,-,-,4,8,19,
Massachusetts,-,1,-,2,-,25,-,184,
New Hampshire,-,1,1,-,-,4,15,18,
Rhode Island,-,1,1,-,-,35,24,19,
Vermont,-,0,-,1,-,1,1,7,
Middle Atlantic,-,8,13,23,39,232,992,1,345,
New Jersey,-,5,8,9,-,27,1,205,
New York (excluding New York City),-,3,5,10,25,170,270,221,
New York City,-,0,-,-,4,58,431,604,
Pennsylvania,-,2,-,4,10,37,290,315,
East North Central,-,6,22,39,1,123,403,1,374,
Illinois,-,3,-,8,-,38,27,420,
Indiana,-,2,6,4,-,23,-,137,
Michigan,-,3,7,13,-,28,189,247,
Ohio,-,3,6,11,-,44,90,414,
Wisconsin,-,3,3,3,1,20,97,156,
West North Central,-,5,6,21,7,74,494,721,
Iowa,-,2,-,2,3,12,47,90,
Kansas,-,1,3,1,-,10,2,88,
Minnesota,-,2,2,4,1,18,162,134,
Missouri,-,3,1,10,3,32,163,290,
Nebraska,-,0,-,-,-,9,43,39,
North Dakota,-,1,-,1,-,3,11,12,
South Dakota,-,2,-,3,-,16,66,68,
South Atlantic,-,14,54,91,33,244,1,487,2,801,
Delaware,-,1,-,-,-,6,-,22,
District of Columbia,-,0,-,-,1,10,41,68,
Florida,-,8,37,39,10,115,882,1,069,
Georgia,-,5,1,22,3,60,16,519,
Maryland,-,2,-,12,-,26,-,245,
North Carolina,-,4,8,4,3,55,342,415,
South Carolina,-,1,-,5,-,23,-,214,
Virginia,-,2,4,5,16,31,205,204,
West Virginia,-,2,4,4,-,11,1,45,
East South Central,-,5,10,32,12,78,461,668,
Alabama,-,3,8,8,12,28,191,142,
Kentucky,-,2,-,4,-,14,47,141,
Mississippi,-,3,1,9,-,25,111,183,
Tennessee,-,2,1,11,-,31,112,202,
West South Central,-,18,19,186,-,132,888,1,340,
Arkansas,-,3,2,10,-,31,242,208,
Louisiana,-,6,2,28,-,31,89,256,
Oklahoma,-,4,15,17,-,2,4,70,
Texas,-,13,-,131,-,91,553,806,
Mountain,-,9,28,66,5,123,414,1,024,
Arizona,-,7,11,39,-,53,144,435,
Colorado,-,2,6,4,-,40,106,158,
Idaho,-,1,-,2,1,7,24,26,
Montana,-,2,1,2,4,3,17,-,
Nevada,-,3,6,10,-,26,19,215,
New Mexico,-,2,2,9,-,26,64,143,
Utah,-,1,2,-,-,9,39,46,
Wyoming,-,0,-,-,-,2,1,1,
Pacific,-,20,111,131,50,247,1,925,2,588,
Alaska,-,1,3,-,-,7,2,54,
California,-,17,97,113,15,202,1,425,2,142,
Hawaii,-,2,-,1,-,9,-,48,
Oregon,-,3,11,6,22,31,307,209,
Washington,-,3,-,11,13,33,191,135,
U.S. Territories,-,1,-,1,-,9,2,79,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,1,-,9,2,79,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,-,59,265,595,147,1,072,7,114,12,261,
