Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,66,1,225,1,579,112,1,134,26,092,33,612,
New England,-,2,9,8,-,64,523,841,
Connecticut,-,0,-,2,-,10,-,176,
Maine,-,0,-,-,-,4,33,48,
Massachusetts,-,1,5,4,-,26,397,455,
New Hampshire,-,1,1,-,-,3,43,53,
Rhode Island,-,1,3,1,-,40,48,101,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,49,55,27,133,2,836,3,673,
New Jersey,-,4,28,20,-,27,3,598,
New York (excluding New York City),-,3,17,26,19,39,790,786,
New York City,-,0,-,-,2,54,1,327,1,462,
Pennsylvania,-,2,4,9,6,38,716,827,
East North Central,-,9,72,104,-,133,2,703,3,512,
Illinois,-,4,-,29,-,32,479,1,034,
Indiana,-,3,17,13,-,29,378,380,
Michigan,-,3,19,26,-,28,563,610,
Ohio,-,6,25,31,-,58,976,1,105,
Wisconsin,-,3,11,5,-,19,307,383,
West North Central,-,5,49,77,3,79,1,832,1,932,
Iowa,-,2,-,5,-,11,181,191,
Kansas,-,1,8,5,1,13,187,203,
Minnesota,-,2,6,12,1,20,393,334,
Missouri,-,4,17,43,1,36,652,832,
Nebraska,-,0,-,-,-,9,112,110,
North Dakota,-,0,-,2,-,5,38,23,
South Dakota,-,3,18,10,-,16,269,239,
South Atlantic,-,17,210,215,22,235,5,497,7,052,
Delaware,-,1,2,1,-,8,92,55,
District of Columbia,-,0,-,-,-,12,139,146,
Florida,-,12,144,92,18,118,2,755,2,829,
Georgia,-,6,14,51,1,39,635,1,229,
Maryland,-,1,-,21,-,12,-,577,
North Carolina,-,4,31,22,1,58,1,304,1,074,
South Carolina,-,1,-,8,2,23,139,545,
Virginia,-,2,11,11,-,32,408,470,
West Virginia,-,2,8,9,-,6,25,127,
East South Central,-,6,56,97,2,94,1,800,1,883,
Alabama,-,3,17,25,-,36,623,432,
Kentucky,-,2,7,16,2,18,258,338,
Mississippi,-,4,10,29,-,25,376,508,
Tennessee,-,4,22,27,-,29,543,605,
West South Central,-,24,275,488,1,143,3,015,3,982,
Arkansas,-,4,29,28,1,32,579,571,
Louisiana,-,6,24,64,-,29,424,637,
Oklahoma,-,4,37,54,-,13,12,327,
Texas,-,18,185,342,-,96,2,000,2,447,
Mountain,-,11,135,187,3,120,2,140,2,893,
Arizona,-,7,57,107,-,58,728,1,253,
Colorado,-,2,16,15,-,40,447,427,
Idaho,-,1,-,3,-,7,72,54,
Montana,-,2,3,4,3,13,174,61,
Nevada,-,3,37,28,-,21,287,525,
New Mexico,-,3,16,29,-,20,328,433,
Utah,-,3,6,1,-,9,96,133,
Wyoming,-,0,-,-,-,3,8,7,
Pacific,-,22,370,348,54,274,5,746,7,844,
Alaska,-,1,3,2,-,7,4,132,
California,-,19,329,297,17,192,4,448,5,687,
Hawaii,-,2,-,8,-,8,-,166,
Oregon,-,3,25,11,17,32,713,567,
Washington,-,4,13,30,20,65,581,1,292,
U.S. Territories,-,2,-,4,-,12,76,178,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,4,-,12,76,178,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,3,
Total,-,66,1,225,1,583,112,1,134,26,168,33,793,
