Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,65,949,1,290,71,1,132,19,617,27,101,
New England,-,2,9,7,-,64,507,677,
Connecticut,-,0,-,2,-,11,-,145,
Maine,-,0,-,-,-,4,26,41,
Massachusetts,-,1,5,3,-,26,397,368,
New Hampshire,-,1,1,-,-,4,39,43,
Rhode Island,-,1,3,1,-,40,43,72,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,33,48,16,142,1,889,2,956,
New Jersey,-,4,17,18,-,27,2,481,
New York (excluding New York City),-,3,15,21,16,39,637,631,
New York City,-,0,-,-,-,53,707,1,183,
Pennsylvania,-,2,1,9,-,38,543,661,
East North Central,-,8,55,81,1,131,1,916,2,843,
Illinois,-,3,-,22,-,45,345,856,
Indiana,-,3,14,11,-,28,166,306,
Michigan,-,3,16,20,-,28,450,479,
Ohio,-,6,17,23,-,52,737,876,
Wisconsin,-,3,8,5,1,18,218,326,
West North Central,-,4,36,64,1,79,1,372,1,562,
Iowa,-,2,-,5,-,12,136,149,
Kansas,-,1,6,5,1,10,126,166,
Minnesota,-,2,6,9,-,21,301,275,
Missouri,-,4,7,35,-,37,520,689,
Nebraska,-,0,-,-,-,9,88,81,
North Dakota,-,1,-,1,-,4,30,20,
South Dakota,-,3,17,9,-,15,171,182,
South Atlantic,-,15,160,178,7,245,4,317,5,804,
Delaware,-,1,2,-,-,7,71,47,
District of Columbia,-,0,-,-,-,11,110,125,
Florida,-,12,110,76,5,118,2,114,2,311,
Georgia,-,6,13,43,-,39,622,1,068,
Maryland,-,2,-,19,-,26,-,466,
North Carolina,-,4,20,15,2,57,960,845,
South Carolina,-,1,-,8,-,23,53,451,
Virginia,-,2,9,9,-,32,373,393,
West Virginia,-,2,6,8,-,11,14,98,
East South Central,-,6,41,83,6,86,1,375,1,499,
Alabama,-,3,16,20,5,36,490,322,
Kentucky,-,2,6,15,1,17,181,278,
Mississippi,-,3,8,27,-,25,266,419,
Tennessee,-,4,11,21,-,30,438,480,
West South Central,-,23,206,399,-,144,2,241,3,214,
Arkansas,-,4,23,18,-,31,471,459,
Louisiana,-,6,16,52,-,29,312,519,
Oklahoma,-,4,27,40,-,13,11,275,
Texas,-,18,140,289,-,95,1,447,1,961,
Mountain,-,10,98,157,-,128,1,572,2,312,
Arizona,-,6,39,86,-,58,498,973,
Colorado,-,2,14,11,-,40,382,330,
Idaho,-,1,-,3,-,7,48,47,
Montana,-,2,3,3,-,12,138,51,
Nevada,-,3,26,26,-,20,187,457,
New Mexico,-,3,13,27,-,26,243,342,
Utah,-,1,3,1,-,9,70,108,
Wyoming,-,0,-,-,-,3,6,4,
Pacific,-,20,311,273,40,295,4,428,6,234,
Alaska,-,1,3,1,-,7,4,106,
California,-,18,274,235,-,204,3,379,4,554,
Hawaii,-,2,-,6,-,8,-,134,
Oregon,-,3,25,10,15,32,584,434,
Washington,-,4,9,21,25,65,461,1,006,
U.S. Territories,-,2,-,2,-,12,76,163,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,2,-,12,76,163,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,-,66,949,1,292,71,1,132,19,693,27,266,
