Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,74,1,543,1,816,115,1,138,29,376,36,609,
New England,-,2,9,8,-,65,534,908,
Connecticut,-,0,-,2,-,10,-,195,
Maine,-,0,-,-,-,4,37,48,
Massachusetts,-,1,5,4,-,26,397,492,
New Hampshire,-,1,1,-,-,3,45,56,
Rhode Island,-,1,3,1,-,41,53,109,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,70,60,29,133,3,134,3,997,
New Jersey,-,4,35,21,-,27,3,650,
New York (excluding New York City),-,3,19,28,28,39,889,864,
New York City,-,0,-,-,1,57,1,449,1,598,
Pennsylvania,-,3,16,11,-,38,793,885,
East North Central,-,9,88,111,2,135,2,853,3,814,
Illinois,-,4,-,31,-,32,516,1,110,
Indiana,-,3,20,13,-,29,378,426,
Michigan,-,3,21,29,1,28,617,666,
Ohio,-,6,34,33,-,59,996,1,202,
Wisconsin,-,3,13,5,1,19,346,410,
West North Central,-,5,56,87,6,83,2,013,2,142,
Iowa,-,2,-,6,1,11,198,214,
Kansas,-,1,8,6,-,13,187,222,
Minnesota,-,2,11,12,1,20,449,373,
Missouri,-,4,17,50,4,36,726,919,
Nebraska,-,0,-,-,-,9,117,120,
North Dakota,-,0,-,2,-,5,40,30,
South Dakota,-,3,20,11,-,17,296,264,
South Atlantic,-,18,250,243,8,237,6,410,7,669,
Delaware,-,1,2,1,-,8,130,60,
District of Columbia,-,0,-,-,-,12,160,161,
Florida,-,12,157,102,-,118,2,929,3,084,
Georgia,-,6,31,58,1,43,1,012,1,336,
Maryland,-,1,-,22,-,12,-,604,
North Carolina,-,4,35,24,7,58,1,483,1,197,
South Carolina,-,2,3,12,-,23,185,590,
Virginia,-,3,14,14,-,32,476,501,
West Virginia,-,2,8,10,-,6,35,136,
East South Central,-,6,77,116,7,94,2,134,2,053,
Alabama,-,3,20,26,4,38,720,487,
Kentucky,-,3,14,19,1,18,288,363,
Mississippi,-,4,14,42,-,25,460,556,
Tennessee,-,4,29,29,2,31,666,647,
West South Central,-,24,362,536,1,144,3,442,4,333,
Arkansas,-,4,38,33,1,32,633,642,
Louisiana,-,6,37,71,-,29,483,676,
Oklahoma,-,5,58,61,-,13,17,341,
Texas,-,18,229,371,-,98,2,309,2,674,
Mountain,-,11,156,204,3,120,2,462,3,175,
Arizona,-,7,69,119,1,58,838,1,370,
Colorado,-,2,18,18,1,40,510,495,
Idaho,-,1,-,3,1,8,81,57,
Montana,-,2,5,4,-,13,195,63,
Nevada,-,4,42,30,-,21,345,567,
New Mexico,-,3,16,29,-,20,368,473,
Utah,-,3,6,1,-,9,115,143,
Wyoming,-,0,-,-,-,3,10,7,
Pacific,-,26,475,451,59,261,6,394,8,518,
Alaska,-,1,3,2,-,7,4,142,
California,-,24,430,388,15,194,4,975,6,162,
Hawaii,-,2,-,9,-,8,-,180,
Oregon,-,3,27,15,26,32,786,620,
Washington,-,4,15,37,18,42,629,1,414,
U.S. Territories,-,2,1,5,-,12,98,223,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,1,5,-,12,98,223,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,3,
Total,-,74,1,544,1,821,115,1,145,29,474,36,835,
