Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,73,1,795,2,165,87,1,183,35,570,42,899,
New England,-,2,13,8,-,67,797,1,070,
Connecticut,-,0,-,2,-,10,-,257,
Maine,-,0,-,-,-,5,47,55,
Massachusetts,-,1,7,4,-,26,629,560,
New Hampshire,-,2,3,-,-,4,56,62,
Rhode Island,-,1,3,1,-,41,63,128,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,81,74,24,133,3,738,4,707,
New Jersey,-,4,35,31,-,23,4,757,
New York (excluding New York City),-,3,22,32,17,37,1,023,1,038,
New York City,-,0,-,-,4,63,1,717,1,858,
Pennsylvania,-,3,24,11,3,38,994,1,054,
East North Central,-,8,117,144,4,142,3,626,4,651,
Illinois,-,3,7,42,-,32,593,1,282,
Indiana,-,3,22,16,-,29,484,557,
Michigan,-,3,25,35,-,28,706,800,
Ohio,-,6,46,43,-,61,1,433,1,421,
Wisconsin,-,3,17,8,4,20,410,591,
West North Central,-,5,64,98,8,86,2,367,2,567,
Iowa,-,1,3,9,1,11,243,261,
Kansas,-,1,9,7,-,13,197,261,
Minnesota,-,2,14,14,-,20,540,446,
Missouri,-,4,17,54,7,37,833,1,088,
Nebraska,-,0,-,-,-,9,153,146,
North Dakota,-,0,-,2,-,6,51,37,
South Dakota,-,3,21,12,-,20,350,328,
South Atlantic,-,19,310,318,10,243,7,516,9,073,
Delaware,-,1,2,1,-,9,161,88,
District of Columbia,-,1,7,5,-,14,192,210,
Florida,-,12,187,134,4,118,3,485,3,622,
Georgia,-,6,38,72,5,43,1,020,1,595,
Maryland,-,3,-,26,-,0,-,625,
North Carolina,-,4,45,34,-,59,1,710,1,458,
South Carolina,-,2,4,16,-,23,279,700,
Virginia,-,3,18,17,1,32,603,603,
West Virginia,-,2,9,13,-,6,66,172,
East South Central,-,6,81,139,5,96,2,569,2,448,
Alabama,-,3,21,36,4,38,880,587,
Kentucky,-,3,14,22,-,19,362,421,
Mississippi,-,3,14,48,-,23,561,667,
Tennessee,-,4,32,33,1,39,766,773,
West South Central,-,30,460,667,-,146,4,188,5,107,
Arkansas,-,4,46,38,-,32,790,791,
Louisiana,-,6,46,83,-,28,605,813,
Oklahoma,-,5,69,65,-,13,31,371,
Texas,-,24,299,481,-,100,2,762,3,132,
Mountain,-,10,191,248,1,117,3,240,3,765,
Arizona,-,6,94,143,1,48,1,183,1,625,
Colorado,-,2,22,20,-,30,658,574,
Idaho,-,0,-,5,-,8,93,64,
Montana,-,2,6,5,-,14,239,66,
Nevada,-,5,44,36,-,23,481,686,
New Mexico,-,2,19,38,-,20,452,572,
Utah,-,3,6,1,-,9,123,166,
Wyoming,-,0,-,-,-,2,11,12,
Pacific,-,22,478,469,35,263,7,529,9,511,
Alaska,-,1,3,4,-,8,4,162,
California,-,19,423,391,15,196,5,924,7,188,
Hawaii,-,2,-,13,-,9,-,210,
Oregon,-,2,28,20,12,33,908,739,
Washington,-,3,24,41,8,40,693,1,212,
U.S. Territories,-,2,1,7,-,12,98,280,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,
Puerto Rico,-,2,1,6,-,12,98,280,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,4,
Total,-,73,1,796,2,172,87,1,191,35,668,43,183,
