Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,71,1,734,2,109,118,1,161,34,435,41,674,
New England,-,2,13,8,3,65,796,1,031,
Connecticut,-,0,-,2,-,7,-,230,
Maine,-,0,-,-,-,5,47,51,
Massachusetts,-,1,7,4,3,26,629,552,
New Hampshire,-,2,3,-,-,4,55,61,
Rhode Island,-,1,3,1,-,41,63,129,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,72,74,33,133,3,638,4,575,
New Jersey,-,4,35,30,-,23,4,742,
New York (excluding New York City),-,3,21,33,25,39,1,006,1,010,
New York City,-,0,-,-,6,62,1,673,1,807,
Pennsylvania,-,3,16,11,2,38,955,1,016,
East North Central,-,9,109,138,4,129,3,506,4,419,
Illinois,-,4,-,40,-,32,577,1,250,
Indiana,-,3,22,16,2,25,484,535,
Michigan,-,3,25,34,1,28,689,783,
Ohio,-,6,46,41,-,60,1,356,1,389,
Wisconsin,-,3,16,7,1,19,400,462,
West North Central,-,5,60,97,6,86,2,287,2,505,
Iowa,-,1,3,8,-,11,233,257,
Kansas,-,1,8,7,1,13,197,253,
Minnesota,-,2,12,14,2,20,528,438,
Missouri,-,4,17,54,3,36,799,1,064,
Nebraska,-,0,-,-,-,9,138,140,
North Dakota,-,0,-,2,-,6,50,36,
South Dakota,-,3,20,12,-,20,342,317,
South Atlantic,-,19,299,297,15,243,7,297,8,844,
Delaware,-,1,2,1,-,9,150,86,
District of Columbia,-,1,4,-,-,14,184,206,
Florida,-,12,179,127,13,118,3,386,3,529,
Georgia,-,6,38,69,1,43,1,015,1,563,
Maryland,-,0,-,23,-,0,-,625,
North Carolina,-,4,45,32,-,59,1,650,1,415,
South Carolina,-,2,4,15,-,23,263,679,
Virginia,-,3,18,17,1,32,588,574,
West Virginia,-,2,9,13,-,6,61,167,
East South Central,-,6,79,134,4,96,2,452,2,376,
Alabama,-,3,21,33,-,38,789,570,
Kentucky,-,3,14,21,2,19,348,408,
Mississippi,-,3,14,48,-,25,550,648,
Tennessee,-,4,30,32,2,39,765,750,
West South Central,-,30,459,660,1,146,4,129,4,977,
Arkansas,-,4,46,38,1,32,753,761,
Louisiana,-,6,46,83,-,29,588,787,
Oklahoma,-,5,68,65,-,13,26,366,
Texas,-,24,299,474,-,100,2,762,3,063,
Mountain,-,10,178,246,6,112,2,982,3,657,
Arizona,-,7,83,142,-,48,1,085,1,594,
Colorado,-,2,21,20,-,30,658,579,
Idaho,-,0,-,5,1,8,93,62,
Montana,-,2,6,5,5,14,238,62,
Nevada,-,4,43,35,-,21,345,628,
New Mexico,-,2,19,38,-,20,431,560,
Utah,-,3,6,1,-,9,122,160,
Wyoming,-,0,-,-,-,2,10,12,
Pacific,-,22,465,455,46,263,7,348,9,290,
Alaska,-,1,3,4,-,8,4,155,
California,-,19,410,379,17,196,5,771,7,026,
Hawaii,-,2,-,12,-,9,-,206,
Oregon,-,2,28,18,19,33,888,721,
Washington,-,4,24,42,10,40,685,1,182,
U.S. Territories,-,2,1,7,-,12,98,273,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,
Puerto Rico,-,2,1,6,-,12,98,273,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,3,
Total,-,71,1,735,2,116,118,1,169,34,533,41,950,
