Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,66,1,188,1,522,141,1,133,25,160,32,579,
New England,-,2,9,7,-,64,521,825,
Connecticut,-,0,-,2,-,10,-,173,
Maine,-,0,-,-,-,4,33,47,
Massachusetts,-,1,5,3,-,26,397,444,
New Hampshire,-,1,1,-,-,3,41,53,
Rhode Island,-,1,3,1,-,40,48,100,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,48,54,33,133,2,745,3,553,
New Jersey,-,4,28,19,1,27,3,579,
New York (excluding New York City),-,3,16,26,24,39,772,759,
New York City,-,0,-,-,5,54,1,278,1,409,
Pennsylvania,-,2,4,9,3,38,692,806,
East North Central,-,9,71,100,3,133,2,531,3,410,
Illinois,-,4,-,28,-,32,441,1,010,
Indiana,-,3,16,12,-,29,289,362,
Michigan,-,3,19,26,1,28,549,593,
Ohio,-,6,25,29,-,56,952,1,074,
Wisconsin,-,3,11,5,2,19,300,371,
West North Central,-,5,49,76,6,79,1,758,1,875,
Iowa,-,2,-,5,-,11,170,181,
Kansas,-,1,8,5,3,13,186,199,
Minnesota,-,2,6,12,1,20,377,325,
Missouri,-,4,17,42,2,36,632,808,
Nebraska,-,0,-,-,-,9,104,106,
North Dakota,-,0,-,2,-,5,37,23,
South Dakota,-,3,18,10,-,17,252,233,
South Atlantic,-,17,205,209,23,235,5,308,6,853,
Delaware,-,1,2,1,-,8,92,52,
District of Columbia,-,0,-,-,-,12,139,145,
Florida,-,12,142,89,10,118,2,628,2,733,
Georgia,-,6,14,50,5,39,634,1,207,
Maryland,-,1,-,21,-,13,-,567,
North Carolina,-,4,31,21,8,58,1,263,1,031,
South Carolina,-,1,-,8,-,23,120,532,
Virginia,-,2,9,10,-,32,408,460,
West Virginia,-,2,7,9,-,11,24,126,
East South Central,-,6,55,95,9,94,1,767,1,819,
Alabama,-,3,17,25,6,36,616,410,
Kentucky,-,2,7,16,-,17,248,331,
Mississippi,-,3,9,28,-,25,360,490,
Tennessee,-,4,22,26,3,29,543,588,
West South Central,-,23,259,473,17,143,2,970,3,863,
Arkansas,-,4,27,25,-,32,561,554,
Louisiana,-,6,20,62,-,29,397,625,
Oklahoma,-,4,37,50,-,13,12,324,
Texas,-,18,175,336,17,96,2,000,2,360,
Mountain,-,11,123,178,-,120,2,006,2,811,
Arizona,-,7,51,103,-,58,672,1,215,
Colorado,-,2,14,14,-,40,447,411,
Idaho,-,1,-,3,-,7,72,53,
Montana,-,2,3,4,-,13,166,60,
Nevada,-,3,34,27,-,20,235,517,
New Mexico,-,3,15,26,-,20,311,420,
Utah,-,3,6,1,-,9,95,128,
Wyoming,-,0,-,-,-,3,8,7,
Pacific,-,22,369,330,50,295,5,554,7,570,
Alaska,-,1,3,2,-,7,4,129,
California,-,19,329,281,18,195,4,296,5,505,
Hawaii,-,2,-,8,-,8,-,164,
Oregon,-,3,25,11,11,32,693,545,
Washington,-,4,12,28,21,65,561,1,227,
U.S. Territories,-,2,-,4,-,12,76,178,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,4,-,12,76,178,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,-,66,1,188,1,526,141,1,133,25,236,32,759,
