Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,53,102,342,59,913,2,492,6,417,
New England,-,2,2,1,-,45,22,196,
Connecticut,-,1,-,-,-,11,-,40,
Maine,-,0,-,-,-,4,-,15,
Massachusetts,-,1,-,1,-,25,-,113,
New Hampshire,-,1,1,-,-,4,7,14,
Rhode Island,-,1,1,-,-,31,15,8,
Vermont,-,1,-,-,-,1,-,6,
Middle Atlantic,-,5,3,14,17,156,494,812,
New Jersey,-,3,-,6,-,27,-,138,
New York (excluding New York City),-,2,3,6,16,97,137,122,
New York City,-,0,-,-,1,58,209,363,
Pennsylvania,-,2,-,2,-,38,148,189,
East North Central,-,7,4,22,1,119,178,857,
Illinois,-,2,-,4,-,36,2,264,
Indiana,-,2,-,3,-,23,-,95,
Michigan,-,3,4,7,-,28,86,155,
Ohio,-,3,-,5,-,44,82,244,
Wisconsin,-,2,-,3,1,19,8,99,
West North Central,-,5,2,11,3,74,221,405,
Iowa,-,2,-,2,-,13,12,49,
Kansas,-,1,-,1,-,10,2,60,
Minnesota,-,2,2,3,1,20,79,79,
Missouri,-,3,-,2,2,33,69,155,
Nebraska,-,0,-,-,-,8,30,31,
North Dakota,-,1,-,1,-,4,6,7,
South Dakota,-,2,-,2,-,16,23,24,
South Atlantic,-,11,22,56,17,239,593,1,691,
Delaware,-,1,-,-,-,6,-,7,
District of Columbia,-,0,-,-,-,10,13,45,
Florida,-,8,19,27,10,113,439,683,
Georgia,-,2,-,12,-,60,7,316,
Maryland,-,2,-,5,-,27,-,146,
North Carolina,-,3,-,2,-,45,-,243,
South Carolina,-,0,-,3,-,18,-,108,
Virginia,-,2,2,5,7,31,134,115,
West Virginia,-,1,1,2,-,10,-,28,
East South Central,-,5,3,18,1,78,190,406,
Alabama,-,3,3,6,1,28,68,88,
Kentucky,-,2,-,3,-,20,24,82,
Mississippi,-,3,-,3,-,24,35,120,
Tennessee,-,2,-,6,-,31,63,116,
West South Central,-,19,6,105,-,129,159,749,
Arkansas,-,3,-,3,-,31,121,117,
Louisiana,-,6,1,17,-,31,35,141,
Oklahoma,-,6,5,9,-,7,3,48,
Texas,-,14,-,76,-,89,-,443,
Mountain,-,9,14,42,3,121,146,632,
Arizona,-,7,8,27,-,50,60,264,
Colorado,-,2,4,-,-,40,20,96,
Idaho,-,1,-,2,-,7,13,19,
Montana,-,2,-,-,3,11,23,6,
Nevada,-,3,1,5,-,26,-,139,
New Mexico,-,2,-,8,-,26,16,86,
Utah,-,1,1,-,-,8,14,21,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,19,46,73,17,126,489,669,
Alaska,-,1,2,-,-,9,-,29,
California,-,16,38,62,-,76,190,407,
Hawaii,-,0,-,-,-,9,-,36,
Oregon,-,3,6,4,4,31,178,113,
Washington,-,3,-,7,13,33,121,84,
U.S. Territories,-,1,-,-,-,9,2,48,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,9,2,48,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,-,53,102,342,59,918,2,494,6,465,
