Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,70,1,591,1,872,123,1,139,31,580,38,293,
New England,-,2,11,8,3,65,720,954,
Connecticut,-,0,-,2,-,10,-,212,
Maine,-,0,-,-,-,4,37,49,
Massachusetts,-,1,7,4,3,27,571,517,
New Hampshire,-,1,1,-,-,3,47,58,
Rhode Island,-,1,3,1,-,41,63,110,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,71,66,31,133,3,303,4,224,
New Jersey,-,4,35,26,1,27,4,679,
New York (excluding New York City),-,3,20,29,26,39,938,920,
New York City,-,0,-,-,4,59,1,552,1,686,
Pennsylvania,-,3,16,11,-,38,809,939,
East North Central,-,9,101,121,3,135,3,138,4,069,
Illinois,-,4,-,33,-,32,552,1,171,
Indiana,-,3,22,15,2,29,446,483,
Michigan,-,3,23,32,-,28,639,711,
Ohio,-,6,41,35,-,59,1,141,1,269,
Wisconsin,-,3,15,6,1,19,360,435,
West North Central,-,5,56,91,-,84,2,097,2,271,
Iowa,-,2,-,6,-,11,207,226,
Kansas,-,1,8,7,-,13,191,235,
Minnesota,-,2,11,13,-,20,475,398,
Missouri,-,4,17,51,-,36,745,974,
Nebraska,-,0,-,-,-,9,117,128,
North Dakota,-,0,-,2,-,6,46,32,
South Dakota,-,3,20,12,-,17,316,278,
South Atlantic,1,19,269,269,11,238,6,795,8,074,
Delaware,-,1,2,1,-,8,133,68,
District of Columbia,-,1,4,-,-,13,171,174,
Florida,-,12,167,113,7,118,3,151,3,256,
Georgia,-,6,31,64,-,43,1,012,1,401,
Maryland,-,0,-,23,-,12,-,617,
North Carolina,-,4,38,28,4,58,1,564,1,268,
South Carolina,-,2,4,13,-,23,216,627,
Virginia,1,3,15,16,-,32,510,520,
West Virginia,-,2,8,11,-,6,38,143,
East South Central,-,6,78,125,12,95,2,247,2,172,
Alabama,-,3,21,30,9,38,788,523,
Kentucky,-,3,14,19,3,18,311,378,
Mississippi,-,3,14,47,-,25,482,593,
Tennessee,-,4,29,29,-,31,666,678,
West South Central,-,24,407,559,6,145,3,895,4,606,
Arkansas,-,4,40,36,-,32,685,690,
Louisiana,-,6,39,78,-,29,538,719,
Oklahoma,-,5,59,62,-,13,19,351,
Texas,-,18,269,383,6,99,2,653,2,846,
Mountain,-,10,159,224,7,120,2,595,3,348,
Arizona,-,7,72,130,3,58,893,1,454,
Colorado,-,2,18,18,1,30,543,522,
Idaho,-,1,-,5,-,8,83,59,
Montana,-,2,5,4,3,13,210,63,
Nevada,-,4,42,33,-,21,345,589,
New Mexico,-,3,16,33,-,20,396,497,
Utah,-,3,6,1,-,9,115,152,
Wyoming,-,0,-,-,-,2,10,12,
Pacific,-,22,439,409,50,261,6,790,8,575,
Alaska,-,1,3,2,-,7,4,151,
California,-,19,390,338,27,195,5,325,6,504,
Hawaii,-,2,-,11,-,8,-,189,
Oregon,-,2,27,17,12,33,821,667,
Washington,-,4,19,41,11,42,640,1,064,
U.S. Territories,-,2,1,5,-,12,98,230,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,1,5,-,12,98,230,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,3,
Total,1,70,1,592,1,877,123,1,146,31,678,38,526,
