Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,73,1,855,2,265,116,1,200,36,571,44,715,
New England,-,2,13,11,1,67,835,1,101,
Connecticut,-,0,-,4,-,10,-,271,
Maine,-,0,-,-,-,6,51,56,
Massachusetts,-,1,7,5,1,26,663,574,
New Hampshire,-,2,3,-,-,4,56,63,
Rhode Island,-,1,3,1,-,41,63,129,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,89,81,30,122,3,823,4,816,
New Jersey,-,4,37,35,-,23,4,768,
New York (excluding New York City),-,3,22,35,23,37,1,044,1,068,
New York City,-,0,-,-,4,63,1,757,1,905,
Pennsylvania,-,3,30,11,3,37,1,018,1,075,
East North Central,-,8,121,148,2,142,3,782,4,766,
Illinois,-,3,7,45,-,31,640,1,306,
Indiana,-,3,25,17,-,29,484,570,
Michigan,-,3,26,35,-,28,724,814,
Ohio,-,6,46,43,-,61,1,511,1,464,
Wisconsin,-,3,17,8,2,20,423,612,
West North Central,-,5,66,98,9,86,2,442,2,622,
Iowa,-,1,5,9,3,12,260,267,
Kansas,-,1,9,7,1,13,198,263,
Minnesota,-,2,14,14,-,20,552,463,
Missouri,-,4,17,54,4,37,853,1,103,
Nebraska,-,0,-,-,1,9,162,151,
North Dakota,-,0,-,2,-,6,51,37,
South Dakota,-,3,21,12,-,20,366,338,
South Atlantic,-,19,320,325,8,244,7,701,9,360,
Delaware,-,1,2,1,-,10,172,93,
District of Columbia,-,1,7,5,-,14,194,214,
Florida,-,12,192,136,5,118,3,587,3,721,
Georgia,-,6,40,72,1,43,1,021,1,616,
Maryland,-,3,-,28,-,8,-,714,
North Carolina,-,4,48,35,-,59,1,761,1,498,
South Carolina,-,2,4,17,-,23,284,709,
Virginia,-,3,18,17,2,32,616,621,
West Virginia,-,2,9,14,-,6,66,174,
East South Central,-,6,83,142,5,96,2,625,2,506,
Alabama,-,3,21,36,4,38,907,605,
Kentucky,-,3,15,24,-,19,364,434,
Mississippi,-,3,15,49,-,23,587,684,
Tennessee,-,4,32,33,1,39,767,783,
West South Central,-,31,468,715,2,167,4,251,5,918,
Arkansas,-,4,49,39,1,32,820,817,
Louisiana,-,6,52,87,1,28,627,834,
Oklahoma,-,5,69,70,-,33,42,1,051,
Texas,-,25,298,519,-,100,2,762,3,216,
Mountain,-,10,199,254,3,117,3,369,3,872,
Arizona,-,6,96,145,2,46,1,229,1,669,
Colorado,-,2,22,20,-,30,677,601,
Idaho,-,0,-,5,-,8,95,67,
Montana,-,2,10,5,1,14,244,69,
Nevada,-,5,45,38,-,24,500,693,
New Mexico,-,2,20,40,-,20,481,591,
Utah,-,3,6,1,-,9,132,170,
Wyoming,-,0,-,-,-,2,11,12,
Pacific,-,22,496,491,56,263,7,743,9,754,
Alaska,-,1,3,4,-,8,4,166,
California,-,19,440,410,21,196,6,098,7,361,
Hawaii,-,2,-,13,-,9,-,211,
Oregon,-,2,29,21,22,33,935,764,
Washington,-,3,24,43,13,40,706,1,252,
U.S. Territories,-,2,1,7,-,12,98,290,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,0,-,1,-,0,-,-,
Puerto Rico,-,2,1,6,-,12,98,290,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,4,
Total,-,73,1,856,2,272,116,1,208,36,669,45,009,
