Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,49,19,187,84,894,1,044,3,871,
New England,-,2,2,1,-,35,4,108,
Connecticut,-,1,-,-,-,1,-,1,
Maine,-,0,-,-,-,4,-,12,
Massachusetts,-,1,-,1,-,24,-,78,
New Hampshire,-,1,2,-,-,4,1,9,
Rhode Island,-,1,-,-,-,23,3,3,
Vermont,-,1,-,-,-,1,-,5,
Middle Atlantic,-,4,2,5,33,143,255,456,
New Jersey,-,3,-,3,-,27,-,78,
New York (excluding New York City),-,3,2,1,21,88,72,59,
New York City,-,0,-,-,6,58,108,200,
Pennsylvania,-,1,-,1,6,38,75,119,
East North Central,-,7,-,11,-,118,12,539,
Illinois,-,2,-,4,-,36,-,179,
Indiana,-,2,-,2,-,23,-,55,
Michigan,-,3,-,2,-,28,8,92,
Ohio,-,3,-,1,-,44,1,145,
Wisconsin,-,2,-,2,-,19,3,68,
West North Central,-,5,2,8,4,68,82,221,
Iowa,-,2,-,2,-,13,7,27,
Kansas,-,1,-,1,1,4,2,12,
Minnesota,-,2,2,2,2,20,22,49,
Missouri,-,3,-,1,1,33,24,93,
Nebraska,-,0,-,-,-,8,19,20,
North Dakota,-,1,-,1,-,4,1,4,
South Dakota,-,2,-,1,-,16,7,16,
South Atlantic,-,12,2,26,26,233,279,1,031,
Delaware,-,1,-,-,-,6,-,7,
District of Columbia,-,0,-,-,-,10,9,29,
Florida,-,8,2,15,7,113,196,409,
Georgia,-,2,-,2,-,60,3,181,
Maryland,-,2,-,3,-,27,-,89,
North Carolina,-,3,-,-,-,45,-,156,
South Carolina,-,1,-,1,-,18,-,62,
Virginia,-,2,-,4,19,30,71,79,
West Virginia,-,1,-,1,-,10,-,19,
East South Central,-,5,-,12,-,77,71,274,
Alabama,-,3,-,4,-,26,7,54,
Kentucky,-,2,-,3,-,20,1,53,
Mississippi,-,3,-,3,-,22,17,86,
Tennessee,-,3,-,2,-,31,46,81,
West South Central,-,16,2,58,-,127,61,505,
Arkansas,-,3,-,3,-,30,60,80,
Louisiana,-,0,-,2,-,31,-,96,
Oklahoma,-,6,2,5,-,10,1,34,
Texas,-,14,-,48,-,86,-,295,
Mountain,-,9,6,28,2,118,74,370,
Arizona,-,7,5,16,-,48,30,147,
Colorado,-,2,-,-,1,40,19,65,
Idaho,-,1,-,2,-,4,-,13,
Montana,-,2,-,-,1,11,10,2,
Nevada,-,3,-,5,-,26,-,73,
New Mexico,-,2,-,5,-,26,10,55,
Utah,-,1,1,-,-,6,5,14,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,17,3,38,19,123,206,367,
Alaska,-,1,-,-,-,9,-,14,
California,-,15,-,31,4,75,84,235,
Hawaii,-,0,-,-,-,0,-,-,
Oregon,-,3,3,2,2,30,59,71,
Washington,-,3,-,5,13,21,63,47,
U.S. Territories,-,1,-,-,-,8,-,27,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,8,-,27,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,-,49,19,187,84,901,1,044,3,898,
