Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,62,577,865,126,1,074,12,860,18,186,
New England,-,1,2,5,-,59,78,486,
Connecticut,-,0,-,2,-,11,-,110,
Maine,-,0,-,-,-,4,11,29,
Massachusetts,-,1,-,2,-,25,-,267,
New Hampshire,-,1,1,-,-,4,24,30,
Rhode Island,-,1,1,-,-,40,41,42,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,21,36,34,221,1,530,2,059,
New Jersey,-,4,9,13,1,27,2,328,
New York (excluding New York City),-,3,11,15,28,156,436,390,
New York City,-,0,-,-,-,53,686,885,
Pennsylvania,-,2,1,8,5,37,406,456,
East North Central,-,7,43,59,1,128,1,203,1,975,
Illinois,-,3,-,18,-,39,77,597,
Indiana,-,3,12,6,-,28,166,204,
Michigan,-,3,13,13,-,28,308,337,
Ohio,-,3,14,18,-,52,505,614,
Wisconsin,-,3,4,4,1,20,147,223,
West North Central,-,5,12,45,5,77,890,1,091,
Iowa,-,2,-,2,1,12,93,122,
Kansas,-,1,3,1,-,10,2,121,
Minnesota,-,2,5,7,-,20,238,191,
Missouri,-,4,4,26,4,35,339,466,
Nebraska,-,0,-,-,-,9,62,60,
North Dakota,-,1,-,1,-,4,19,15,
South Dakota,-,2,-,8,-,16,137,116,
South Atlantic,-,14,93,123,15,245,2,889,4,105,
Delaware,-,1,1,-,-,7,46,37,
District of Columbia,-,0,-,-,-,11,76,86,
Florida,-,8,62,53,10,118,1,446,1,601,
Georgia,-,6,4,30,2,46,419,788,
Maryland,-,2,-,15,-,26,-,347,
North Carolina,-,4,13,8,1,56,627,600,
South Carolina,-,1,-,6,-,24,-,300,
Virginia,-,2,7,6,2,32,272,282,
West Virginia,-,2,6,5,-,11,3,64,
East South Central,-,6,16,52,7,78,932,1,040,
Alabama,-,3,8,11,6,31,353,217,
Kentucky,-,2,2,9,1,16,117,192,
Mississippi,-,3,4,16,-,25,203,297,
Tennessee,-,5,2,16,-,31,259,334,
West South Central,-,19,110,249,2,133,1,374,2,044,
Arkansas,-,5,17,13,2,32,359,319,
Louisiana,-,6,5,37,-,27,175,372,
Oklahoma,-,4,22,26,-,2,7,76,
Texas,-,15,66,173,-,91,833,1,277,
Mountain,-,10,61,109,5,124,841,1,563,
Arizona,-,7,22,60,-,56,228,669,
Colorado,-,2,9,7,-,40,223,225,
Idaho,-,1,-,3,-,7,38,37,
Montana,-,2,2,2,5,10,67,1,
Nevada,-,3,20,21,-,24,90,331,
New Mexico,-,2,5,16,-,26,133,227,
Utah,-,1,3,-,-,9,57,72,
Wyoming,-,0,-,-,-,3,5,1,
Pacific,-,20,219,187,57,250,3,123,3,823,
Alaska,-,1,3,1,-,7,4,76,
California,-,18,192,159,19,203,2,379,3,165,
Hawaii,-,2,-,3,-,9,-,71,
Oregon,-,3,18,7,20,32,443,296,
Washington,-,4,6,17,18,33,297,215,
U.S. Territories,-,2,-,1,-,12,63,124,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,1,-,12,63,124,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,1,
Total,-,62,577,866,126,1,080,12,923,18,311,
