Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,62,426,731,150,1,073,9,932,15,167,
New England,-,1,2,5,-,59,66,397,
Connecticut,-,0,-,2,-,11,-,89,
Maine,-,0,-,-,-,4,8,21,
Massachusetts,-,1,-,2,-,25,-,226,
New Hampshire,-,1,1,-,-,4,19,23,
Rhode Island,-,1,1,-,-,40,37,30,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,8,16,30,35,222,1,279,1,673,
New Jersey,-,5,8,11,-,27,1,263,
New York (excluding New York City),-,3,7,13,31,159,371,284,
New York City,-,0,-,-,1,53,565,744,
Pennsylvania,-,2,1,6,3,37,342,382,
East North Central,-,7,28,47,7,122,942,1,694,
Illinois,-,3,-,13,-,38,50,508,
Indiana,-,3,8,4,7,28,166,177,
Michigan,-,3,10,13,-,28,254,296,
Ohio,-,3,7,13,-,45,345,522,
Wisconsin,-,3,3,4,-,20,127,191,
West North Central,-,5,6,40,4,78,675,897,
Iowa,-,2,-,2,1,12,80,106,
Kansas,-,1,3,1,-,10,2,106,
Minnesota,-,2,2,5,-,20,190,167,
Missouri,-,3,1,25,3,34,246,374,
Nebraska,-,0,-,-,-,9,52,45,
North Dakota,-,1,-,1,-,3,16,13,
South Dakota,-,2,-,6,-,16,89,86,
South Atlantic,-,14,74,101,25,244,2,029,3,465,
Delaware,-,1,1,-,-,7,46,31,
District of Columbia,-,0,-,-,-,10,59,79,
Florida,-,8,49,44,11,118,1,165,1,342,
Georgia,-,5,3,24,5,46,25,656,
Maryland,-,2,-,13,-,26,-,293,
North Carolina,-,4,12,5,3,56,487,503,
South Carolina,-,1,-,5,-,23,-,259,
Virginia,-,2,5,6,6,32,245,246,
West Virginia,-,2,4,4,-,11,2,56,
East South Central,-,6,16,42,9,78,713,858,
Alabama,-,3,8,9,6,28,276,182,
Kentucky,-,2,2,8,2,16,92,170,
Mississippi,-,3,4,11,1,25,160,243,
Tennessee,-,5,2,14,-,31,185,263,
West South Central,-,18,85,222,1,132,1,131,1,706,
Arkansas,-,5,13,10,1,32,320,263,
Louisiana,-,6,2,36,-,31,129,316,
Oklahoma,-,4,16,23,-,2,7,73,
Texas,-,14,54,153,-,91,675,1,054,
Mountain,-,10,39,81,4,123,606,1,283,
Arizona,-,7,14,46,-,53,171,547,
Colorado,-,2,7,5,-,40,169,198,
Idaho,-,1,-,2,-,7,24,29,
Montana,-,2,1,2,3,7,37,1,
Nevada,-,3,12,15,-,26,50,276,
New Mexico,-,2,2,11,1,26,104,176,
Utah,-,1,3,-,-,9,48,55,
Wyoming,-,0,-,-,-,3,3,1,
Pacific,1,20,160,163,65,248,2,491,3,194,
Alaska,-,1,3,1,-,7,2,67,
California,-,17,141,140,20,203,1,868,2,646,
Hawaii,-,2,-,1,-,9,-,61,
Oregon,1,3,15,6,26,31,372,252,
Washington,-,3,1,15,19,33,249,168,
U.S. Territories,-,1,-,1,-,9,2,100,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,1,-,9,2,100,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,1,62,426,732,150,1,078,9,934,15,267,
