Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,63,743,1,041,139,1,136,16,431,22,972,
New England,-,2,7,5,-,63,446,571,
Connecticut,-,0,-,2,-,11,-,126,
Maine,-,0,-,-,-,4,19,35,
Massachusetts,-,1,3,2,-,24,353,308,
New Hampshire,-,1,1,-,-,4,29,37,
Rhode Island,-,1,3,-,-,40,43,57,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,29,40,41,144,1,724,2,500,
New Jersey,-,4,14,15,-,27,2,415,
New York (excluding New York City),-,3,14,16,36,39,548,509,
New York City,-,0,-,-,-,53,705,1,027,
Pennsylvania,-,2,1,9,5,38,469,549,
East North Central,-,7,51,69,3,128,1,506,2,391,
Illinois,-,3,-,20,-,39,109,720,
Indiana,-,3,14,7,-,28,166,247,
Michigan,-,3,15,17,-,28,377,409,
Ohio,-,5,16,20,-,52,673,747,
Wisconsin,-,3,6,5,3,20,181,268,
West North Central,-,5,18,59,5,79,1,248,1,336,
Iowa,-,2,-,4,1,12,116,135,
Kansas,-,1,5,4,2,10,124,144,
Minnesota,-,2,6,9,-,21,290,237,
Missouri,-,4,7,32,2,36,446,588,
Nebraska,-,0,-,-,-,9,76,68,
North Dakota,-,1,-,1,-,4,23,18,
South Dakota,-,1,-,9,-,16,173,146,
South Atlantic,-,14,119,146,15,245,3,518,4,992,
Delaware,-,1,1,-,-,7,71,45,
District of Columbia,-,0,-,-,-,11,92,110,
Florida,-,8,81,65,12,118,1,771,1,958,
Georgia,-,5,6,33,-,46,419,934,
Maryland,-,2,-,16,-,26,-,409,
North Carolina,-,4,17,11,1,57,809,732,
South Carolina,-,1,-,7,1,23,17,377,
Virginia,-,2,8,7,1,32,330,346,
West Virginia,-,2,6,7,-,11,9,81,
East South Central,-,6,26,71,8,76,1,073,1,245,
Alabama,-,3,12,17,5,33,428,264,
Kentucky,-,2,5,14,3,17,150,226,
Mississippi,-,3,6,20,-,25,230,352,
Tennessee,-,4,3,20,-,30,265,403,
West South Central,-,20,159,294,-,143,1,819,2,699,
Arkansas,-,5,21,15,-,32,414,387,
Louisiana,-,6,11,43,-,28,246,457,
Oklahoma,-,4,25,32,-,13,10,245,
Texas,-,15,102,204,-,93,1,149,1,610,
Mountain,-,10,76,127,3,128,1,270,1,955,
Arizona,-,7,30,69,-,58,396,821,
Colorado,-,2,10,8,-,40,306,274,
Idaho,-,1,-,3,1,7,46,42,
Montana,-,2,2,3,-,11,109,41,
Nevada,-,3,22,24,2,20,153,405,
New Mexico,-,3,9,20,-,26,188,286,
Utah,-,1,3,-,-,9,67,83,
Wyoming,-,0,-,-,-,3,5,3,
Pacific,-,20,258,230,64,287,3,827,5,283,
Alaska,-,1,3,1,-,7,4,93,
California,-,18,229,199,24,204,2,948,3,885,
Hawaii,-,2,-,5,-,7,-,99,
Oregon,-,3,19,7,19,32,500,362,
Washington,-,4,7,18,21,65,375,844,
U.S. Territories,-,2,-,1,-,12,63,146,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,1,-,12,63,146,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,1,
Total,-,63,743,1,042,139,1,142,16,494,23,119,
