Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,66,1,099,1,416,91,1,073,22,421,28,725,
New England,-,2,9,7,-,64,508,759,
Connecticut,-,0,-,2,-,10,-,166,
Maine,-,0,-,-,-,4,26,43,
Massachusetts,-,1,5,3,-,26,397,407,
New Hampshire,-,1,1,-,-,3,40,51,
Rhode Island,-,1,3,1,-,40,43,84,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,39,51,31,133,2,076,3,315,
New Jersey,-,4,19,19,-,27,2,545,
New York (excluding New York City),-,3,17,23,26,39,719,713,
New York City,-,0,-,-,-,53,709,1,314,
Pennsylvania,-,2,3,9,5,38,646,743,
East North Central,-,9,66,88,-,133,2,360,3,182,
Illinois,-,4,-,24,-,33,400,956,
Indiana,-,3,15,12,-,29,289,340,
Michigan,-,3,18,21,-,28,484,544,
Ohio,-,6,22,26,-,53,931,992,
Wisconsin,-,3,11,5,-,18,256,350,
West North Central,-,5,49,71,-,79,1,546,1,738,
Iowa,-,2,-,5,-,12,162,162,
Kansas,-,1,8,5,-,10,127,187,
Minnesota,-,2,6,11,-,21,301,306,
Missouri,-,4,17,40,-,36,583,750,
Nebraska,-,0,-,-,-,9,96,97,
North Dakota,-,1,-,1,-,5,36,22,
South Dakota,-,3,18,9,-,17,241,214,
South Atlantic,-,17,188,198,9,234,4,817,6,468,
Delaware,-,0,-,-,-,7,-,48,
District of Columbia,-,1,4,-,1,11,127,141,
Florida,-,12,130,86,6,118,2,421,2,580,
Georgia,-,6,14,48,-,39,629,1,159,
Maryland,-,1,-,21,-,25,-,531,
North Carolina,-,4,24,18,2,58,1,142,960,
South Carolina,-,1,-,8,-,23,88,502,
Virginia,-,2,9,9,-,32,391,435,
West Virginia,-,2,7,8,-,11,19,112,
East South Central,-,6,49,88,4,89,1,555,1,695,
Alabama,-,3,16,20,2,36,572,374,
Kentucky,-,2,7,16,2,17,221,315,
Mississippi,-,3,9,28,-,25,319,460,
Tennessee,-,4,17,24,-,30,443,546,
West South Central,-,23,234,445,1,143,2,579,3,615,
Arkansas,-,4,24,22,1,32,524,522,
Louisiana,-,6,17,59,-,29,360,587,
Oklahoma,-,4,33,48,-,13,11,307,
Texas,-,18,160,316,-,95,1,684,2,199,
Mountain,-,11,115,168,1,120,1,829,2,617,
Arizona,-,6,47,93,-,58,607,1,123,
Colorado,-,2,14,13,-,40,411,364,
Idaho,-,1,-,3,-,7,57,51,
Montana,-,2,3,4,-,13,154,58,
Nevada,-,3,33,27,-,20,207,492,
New Mexico,-,3,13,27,1,20,298,402,
Utah,-,2,5,1,-,9,89,121,
Wyoming,-,0,-,-,-,3,6,6,
Pacific,-,22,350,300,45,239,5,151,5,336,
Alaska,-,1,3,1,-,7,4,117,
California,-,19,310,257,10,188,3,972,3,459,
Hawaii,-,2,-,7,-,8,-,151,
Oregon,-,3,25,11,24,32,655,498,
Washington,-,4,12,24,11,65,520,1,111,
U.S. Territories,-,2,-,3,-,12,76,178,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,3,-,12,76,178,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,-,66,1,099,1,419,91,1,073,22,497,28,905,
