Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,64,915,1,223,97,1,140,19,159,26,162,
New England,-,2,9,6,1,64,503,658,
Connecticut,-,0,-,2,-,11,-,139,
Maine,-,0,-,-,-,4,26,41,
Massachusetts,-,1,5,2,1,26,397,362,
New Hampshire,-,1,1,-,-,4,35,41,
Rhode Island,-,1,3,1,-,40,43,67,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,32,46,30,144,1,871,2,835,
New Jersey,-,4,17,17,-,27,2,463,
New York (excluding New York City),-,3,14,20,26,39,620,587,
New York City,-,0,-,-,-,53,706,1,153,
Pennsylvania,-,2,1,9,4,38,543,632,
East North Central,-,8,54,78,1,131,1,878,2,755,
Illinois,-,3,-,21,-,45,345,849,
Indiana,-,3,15,10,-,28,166,289,
Michigan,-,3,16,19,-,28,428,464,
Ohio,-,6,17,23,-,52,735,844,
Wisconsin,-,3,6,5,1,18,204,309,
West North Central,-,4,36,61,-,79,1,343,1,516,
Iowa,-,2,-,5,-,12,135,145,
Kansas,-,1,6,4,-,10,125,161,
Minnesota,-,2,6,9,-,21,301,269,
Missouri,-,4,7,33,-,36,495,669,
Nebraska,-,0,-,-,-,9,87,78,
North Dakota,-,1,-,1,-,4,29,20,
South Dakota,-,3,17,9,-,15,171,174,
South Atlantic,-,14,152,166,14,245,4,204,5,626,
Delaware,-,1,2,-,-,7,71,46,
District of Columbia,-,0,-,-,-,11,110,121,
Florida,-,11,106,74,12,118,2,056,2,238,
Georgia,-,5,12,36,1,39,622,1,041,
Maryland,-,2,-,18,-,26,-,454,
North Carolina,-,4,18,14,1,57,931,811,
South Carolina,-,1,-,8,-,23,40,439,
Virginia,-,2,8,8,-,32,360,378,
West Virginia,-,2,6,8,-,11,14,98,
East South Central,-,6,41,80,4,78,1,265,1,438,
Alabama,-,3,16,19,2,36,466,307,
Kentucky,-,2,6,15,2,17,174,268,
Mississippi,-,3,8,25,-,25,266,400,
Tennessee,-,4,11,21,-,30,359,463,
West South Central,-,23,204,375,1,144,2,214,3,102,
Arkansas,-,4,21,16,1,31,465,436,
Louisiana,-,6,16,49,-,28,291,508,
Oklahoma,-,4,27,37,-,13,11,268,
Texas,-,18,140,273,-,96,1,447,1,890,
Mountain,-,10,94,150,-,128,1,503,2,237,
Arizona,-,6,36,83,-,58,479,942,
Colorado,-,2,14,10,-,40,348,320,
Idaho,-,1,-,3,-,7,48,45,
Montana,-,2,3,3,-,12,136,50,
Nevada,-,3,26,24,-,20,187,444,
New Mexico,-,3,12,26,-,26,231,329,
Utah,-,1,3,1,-,9,68,103,
Wyoming,-,0,-,-,-,3,6,4,
Pacific,-,20,293,261,46,295,4,378,5,995,
Alaska,-,1,3,1,-,7,4,102,
California,-,18,257,225,18,204,3,379,4,378,
Hawaii,-,2,-,5,-,8,-,129,
Oregon,-,3,24,9,18,32,559,416,
Washington,-,4,9,21,10,65,436,970,
U.S. Territories,-,2,-,2,-,12,76,162,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,2,-,12,76,162,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,-,65,915,1,225,97,1,146,19,235,26,326,
