Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,54,149,538,126,1,064,5,868,11,215,
New England,-,1,2,4,-,54,48,301,
Connecticut,-,0,-,2,-,11,-,71,
Maine,-,0,-,-,-,4,8,18,
Massachusetts,-,1,-,1,-,25,-,168,
New Hampshire,-,1,1,-,-,4,15,18,
Rhode Island,-,1,1,-,-,35,24,19,
Vermont,-,0,-,1,-,1,1,7,
Middle Atlantic,-,7,6,22,35,242,883,1,230,
New Jersey,-,4,1,9,1,27,1,189,
New York (excluding New York City),-,3,5,10,29,180,246,206,
New York City,-,0,-,-,4,58,389,546,
Pennsylvania,-,2,-,3,1,37,247,289,
East North Central,-,7,13,35,-,123,374,1,275,
Illinois,-,2,-,6,-,38,20,389,
Indiana,-,2,4,4,-,23,-,131,
Michigan,-,3,6,11,-,28,173,227,
Ohio,-,3,-,11,-,44,90,382,
Wisconsin,-,3,3,3,-,20,91,146,
West North Central,-,5,3,15,3,74,418,656,
Iowa,-,2,-,2,-,12,37,82,
Kansas,-,1,1,1,-,10,2,83,
Minnesota,-,2,2,3,1,18,123,126,
Missouri,-,3,-,5,1,32,139,262,
Nebraska,-,0,-,-,-,9,41,36,
North Dakota,-,1,-,1,-,3,10,12,
South Dakota,-,2,-,3,1,16,66,55,
South Atlantic,-,12,32,85,22,243,1,339,2,588,
Delaware,-,1,-,-,-,6,-,22,
District of Columbia,-,0,-,-,-,10,35,66,
Florida,-,8,26,38,9,113,801,988,
Georgia,-,5,1,21,1,60,13,477,
Maryland,-,2,-,11,-,27,-,231,
North Carolina,-,3,-,4,-,55,300,383,
South Carolina,-,0,-,3,-,23,-,192,
Virginia,-,2,2,5,12,31,189,187,
West Virginia,-,2,3,3,-,11,1,42,
East South Central,-,5,7,27,7,80,401,608,
Alabama,-,3,7,6,6,28,149,129,
Kentucky,-,2,-,3,1,14,46,130,
Mississippi,-,3,-,7,-,25,95,163,
Tennessee,-,2,-,11,-,31,111,186,
West South Central,-,18,9,172,-,131,303,1,219,
Arkansas,-,3,-,8,-,31,222,186,
Louisiana,-,6,2,27,-,31,78,234,
Oklahoma,-,4,7,17,-,7,3,68,
Texas,-,12,-,120,-,91,-,731,
Mountain,-,9,23,59,1,121,352,931,
Arizona,-,7,11,34,-,51,114,405,
Colorado,-,2,5,4,-,40,106,140,
Idaho,-,1,-,2,-,7,16,25,
Montana,-,2,1,-,1,3,12,-,
Nevada,-,3,4,10,-,26,16,193,
New Mexico,-,2,1,9,-,26,54,126,
Utah,-,1,1,-,-,9,33,41,
Wyoming,-,0,-,-,-,2,1,1,
Pacific,-,18,54,119,58,248,1,750,2,407,
Alaska,-,1,2,-,-,9,2,51,
California,-,16,41,102,18,202,1,289,1,999,
Hawaii,-,2,-,1,-,9,-,48,
Oregon,-,3,11,5,22,31,281,183,
Washington,-,3,-,11,18,33,178,126,
U.S. Territories,-,1,-,-,-,9,2,76,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,9,2,76,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,-,54,149,538,126,1,069,5,870,11,291,
