Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,1,60,331,640,157,1,071,8,011,13,140,
New England,-,1,2,5,-,54,51,344,
Connecticut,-,0,-,2,-,11,-,79,
Maine,-,0,-,-,-,4,8,21,
Massachusetts,-,1,-,2,-,25,-,199,
New Hampshire,-,1,1,-,-,4,18,19,
Rhode Island,-,1,1,-,-,35,24,19,
Vermont,-,0,-,1,-,1,1,7,
Middle Atlantic,1,8,15,27,47,225,1,102,1,454,
New Jersey,-,5,8,10,-,27,1,222,
New York (excluding New York City),-,3,6,12,37,162,307,242,
New York City,-,0,-,-,6,53,482,649,
Pennsylvania,1,2,1,5,4,37,312,341,
East North Central,-,7,23,41,2,123,474,1,497,
Illinois,-,3,-,10,-,38,39,449,
Indiana,-,3,7,4,-,23,-,155,
Michigan,-,3,7,13,-,28,215,268,
Ohio,-,3,6,11,-,44,116,455,
Wisconsin,-,3,3,3,2,20,104,170,
West North Central,-,5,6,30,6,76,554,779,
Iowa,-,2,-,2,1,12,56,98,
Kansas,-,1,3,1,-,10,2,95,
Minnesota,-,2,2,4,-,18,171,141,
Missouri,-,3,1,18,5,33,181,319,
Nebraska,-,0,-,-,-,9,47,39,
North Dakota,-,1,-,1,-,3,15,12,
South Dakota,-,2,-,4,-,16,82,75,
South Atlantic,-,14,62,94,25,244,1,645,3,002,
Delaware,-,1,-,-,-,6,-,25,
District of Columbia,-,0,-,-,-,10,41,71,
Florida,-,8,42,40,8,117,980,1,168,
Georgia,-,5,1,22,2,60,18,550,
Maryland,-,2,-,13,-,26,-,262,
North Carolina,-,4,10,5,1,56,385,444,
South Carolina,-,1,-,5,-,23,-,228,
Virginia,-,2,5,5,14,31,220,209,
West Virginia,-,2,4,4,-,11,1,45,
East South Central,-,5,10,35,8,78,598,722,
Alabama,-,3,8,9,5,28,216,153,
Kentucky,-,2,-,6,2,15,71,148,
Mississippi,-,3,1,9,-,25,128,200,
Tennessee,-,2,1,11,1,31,183,221,
West South Central,-,18,58,198,11,131,1,055,1,463,
Arkansas,-,3,4,10,-,32,271,225,
Louisiana,-,6,2,30,-,31,103,281,
Oklahoma,-,4,15,18,2,2,6,70,
Texas,-,14,37,140,9,91,675,887,
Mountain,-,9,32,71,7,123,475,1,105,
Arizona,-,7,13,40,-,53,152,470,
Colorado,-,2,6,4,5,40,131,173,
Idaho,-,1,-,2,-,7,23,27,
Montana,-,2,1,2,1,6,24,-,
Nevada,-,3,8,12,1,26,27,234,
New Mexico,-,2,2,11,-,26,75,151,
Utah,-,1,2,-,-,9,41,49,
Wyoming,-,0,-,-,-,2,2,1,
Pacific,-,20,123,139,51,247,2,057,2,774,
Alaska,-,1,3,-,-,7,2,59,
California,-,17,109,120,12,202,1,514,2,297,
Hawaii,-,2,-,1,-,9,-,50,
Oregon,-,3,11,6,16,31,327,221,
Washington,-,3,-,12,23,33,214,147,
U.S. Territories,-,1,-,1,-,9,2,85,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,1,-,9,2,85,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,-,
Total,1,60,331,641,157,1,076,8,013,13,225,
