Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,51,59,230,72,896,1,610,4,747,
New England,-,2,2,1,6,44,19,124,
Connecticut,-,1,-,-,-,1,-,1,
Maine,-,0,-,-,-,4,-,13,
Massachusetts,-,1,-,1,-,25,-,88,
New Hampshire,-,1,2,-,-,4,4,12,
Rhode Island,-,1,-,-,6,31,15,4,
Vermont,-,1,-,-,-,1,-,6,
Middle Atlantic,-,4,2,9,27,143,325,569,
New Jersey,-,3,-,4,-,27,-,98,
New York (excluding New York City),-,2,2,4,19,89,91,78,
New York City,-,0,-,-,4,58,138,249,
Pennsylvania,-,1,-,1,4,38,96,144,
East North Central,-,7,-,13,-,118,95,648,
Illinois,-,2,-,4,-,36,-,209,
Indiana,-,2,-,2,-,23,-,69,
Michigan,-,3,-,2,-,28,43,116,
Ohio,-,3,-,2,-,44,48,175,
Wisconsin,-,2,-,3,-,19,4,79,
West North Central,-,5,2,9,3,70,124,296,
Iowa,-,2,-,2,-,13,11,35,
Kansas,-,1,-,1,-,11,2,45,
Minnesota,-,2,2,2,-,20,29,61,
Missouri,-,3,-,1,1,33,37,105,
Nebraska,-,0,-,-,1,8,23,27,
North Dakota,-,1,-,1,1,4,3,5,
South Dakota,-,2,-,2,-,16,19,18,
South Atlantic,-,12,12,36,32,233,387,1,249,
Delaware,-,1,-,-,-,6,-,7,
District of Columbia,-,0,-,-,1,10,13,32,
Florida,-,8,12,21,9,113,276,490,
Georgia,-,2,-,4,2,60,5,225,
Maryland,-,2,-,3,-,27,-,109,
North Carolina,-,3,-,1,-,45,-,187,
South Carolina,-,1,-,1,-,18,-,79,
Virginia,-,2,-,4,20,30,93,95,
West Virginia,-,1,-,2,-,10,-,25,
East South Central,-,5,-,13,-,77,130,310,
Alabama,-,3,-,5,-,28,46,59,
Kentucky,-,2,-,3,-,20,1,63,
Mississippi,-,3,-,3,-,23,25,97,
Tennessee,-,3,-,2,-,31,58,91,
West South Central,-,16,4,68,-,127,101,596,
Arkansas,-,3,-,3,-,31,80,87,
Louisiana,-,0,-,2,-,31,19,115,
Oklahoma,-,6,4,7,-,10,2,38,
Texas,-,14,-,56,-,86,-,356,
Mountain,-,9,7,30,2,119,118,478,
Arizona,-,7,6,18,-,49,41,191,
Colorado,-,2,-,-,1,40,37,85,
Idaho,-,1,-,2,-,4,-,16,
Montana,-,2,-,-,1,11,12,2,
Nevada,-,3,-,5,-,26,-,102,
New Mexico,-,2,-,5,-,26,16,65,
Utah,-,1,1,-,-,8,12,16,
Wyoming,-,0,-,-,-,2,-,1,
Pacific,-,19,30,51,2,125,311,477,
Alaska,-,1,-,-,-,9,-,21,
California,-,16,24,43,-,75,84,302,
Hawaii,-,0,-,-,-,0,-,-,
Oregon,-,3,6,3,2,31,131,90,
Washington,-,3,-,5,-,21,96,64,
U.S. Territories,-,1,-,-,-,9,-,35,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,1,-,-,-,9,-,35,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,-,51,59,230,72,903,1,610,4,782,
