Reporting Area, Syphilis: Congenital §: Current week, Syphilis: Congenital §: Previous 52 weeks Max , Syphilis: Congenital §: Cum YTD 2022 , Syphilis: Congenital §: Cum YTD 2021 , Syphilis: Primary and secondary: Current week, Syphilis: Primary and secondary: Previous 52 weeks Max , Syphilis: Primary and secondary: Cum YTD 2022 , Syphilis: Primary and secondary: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,-,65,1,037,1,369,114,1,127,21,663,29,277,
New England,-,2,9,7,-,64,510,740,
Connecticut,-,0,-,2,-,10,-,160,
Maine,-,0,-,-,-,4,26,43,
Massachusetts,-,1,5,3,-,26,397,400,
New Hampshire,-,1,1,-,-,4,42,49,
Rhode Island,-,1,3,1,-,40,43,80,
Vermont,-,0,-,1,-,1,2,8,
Middle Atlantic,-,7,37,50,36,133,2,015,3,196,
New Jersey,-,4,19,18,-,27,2,523,
New York (excluding New York City),-,3,15,23,30,39,691,689,
New York City,-,0,-,-,-,53,708,1,266,
Pennsylvania,-,2,3,9,6,38,614,718,
East North Central,-,8,66,84,3,132,2,334,3,069,
Illinois,-,4,-,23,1,33,397,923,
Indiana,-,3,15,12,-,29,289,325,
Michigan,-,3,18,20,-,28,475,523,
Ohio,-,6,22,24,-,53,928,956,
Wisconsin,-,3,11,5,2,18,245,342,
West North Central,-,5,49,71,5,79,1,513,1,683,
Iowa,-,2,-,5,-,12,153,158,
Kansas,-,1,8,5,1,10,127,177,
Minnesota,-,2,6,11,-,21,301,296,
Missouri,-,4,17,40,3,37,574,735,
Nebraska,-,0,-,-,1,9,93,93,
North Dakota,-,1,-,1,-,4,33,21,
South Dakota,-,3,18,9,-,17,232,203,
South Atlantic,-,16,178,189,13,245,4,631,6,209,
Delaware,-,1,2,-,-,0,-,2,
District of Columbia,-,0,-,-,-,11,119,135,
Florida,-,12,123,78,9,118,2,307,2,505,
Georgia,-,6,14,47,1,39,629,1,133,
Maryland,-,2,-,21,-,25,-,506,
North Carolina,-,4,23,18,3,57,1,102,926,
South Carolina,-,1,-,8,-,23,81,486,
Virginia,-,2,9,9,-,32,379,409,
West Virginia,-,2,7,8,-,11,14,107,
East South Central,-,6,47,87,6,89,1,499,1,619,
Alabama,-,3,16,20,4,36,543,352,
Kentucky,-,2,6,16,2,17,209,305,
Mississippi,-,3,8,28,-,25,305,446,
Tennessee,-,4,17,23,-,30,442,516,
West South Central,-,23,213,426,-,144,2,436,3,491,
Arkansas,-,4,23,22,-,32,505,502,
Louisiana,-,6,17,57,-,29,348,563,
Oklahoma,-,4,33,44,-,13,11,300,
Texas,-,18,140,303,-,95,1,572,2,126,
Mountain,-,10,106,164,1,128,1,740,2,535,
Arizona,-,6,44,91,1,58,547,1,079,
Colorado,-,2,14,12,-,40,411,355,
Idaho,-,1,-,3,-,7,57,51,
Montana,-,2,3,3,-,12,148,57,
Nevada,-,3,29,27,-,20,207,483,
New Mexico,-,3,13,27,-,26,278,386,
Utah,-,1,3,1,-,9,86,118,
Wyoming,-,0,-,-,-,3,6,6,
Pacific,-,21,332,291,50,295,4,985,6,735,
Alaska,-,1,3,1,-,7,4,110,
California,-,18,293,249,18,202,3,850,4,933,
Hawaii,-,2,-,7,-,8,-,147,
Oregon,-,3,25,10,15,32,622,467,
Washington,-,4,11,24,17,65,509,1,078,
U.S. Territories,-,2,-,2,-,12,76,177,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,0,-,-,-,0,-,-,
Guam,-,1,-,-,-,0,-,-,
Puerto Rico,-,2,-,2,-,12,76,177,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,1,-,2,
Total,-,65,1,037,1,371,114,1,128,21,739,29,456,
