Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,39,333,4,473,6,801,-,13,126,154,
New England,-,12,216,222,-,1,2,5,
Connecticut,-,5,58,52,-,0,-,-,
Maine,-,2,14,12,-,1,1,-,
Massachusetts,-,8,122,128,-,1,1,5,
New Hampshire,-,1,4,10,-,0,-,-,
Rhode Island,-,2,15,17,-,0,-,-,
Vermont,-,1,3,3,-,0,-,-,
Middle Atlantic,26,82,861,955,-,1,2,7,
New Jersey,5,65,221,192,-,1,1,4,
New York (excluding New York City),-,9,4,129,-,1,1,1,
New York City,10,18,485,488,-,0,-,2,
Pennsylvania,11,17,151,146,-,0,-,-,
East North Central,1,65,536,613,-,2,11,17,
Illinois,-,42,219,207,-,2,7,4,
Indiana,1,15,75,107,-,1,1,5,
Michigan,-,8,88,122,-,1,3,1,
Ohio,-,17,108,115,-,0,-,2,
Wisconsin,-,4,46,62,-,0,-,5,
West North Central,-,25,268,294,-,7,62,61,
Iowa,-,6,40,42,-,2,5,2,
Kansas,-,10,35,35,-,5,26,22,
Minnesota,-,14,97,108,-,1,1,1,
Missouri,-,4,64,68,-,2,15,11,
Nebraska,-,3,19,20,-,2,12,9,
North Dakota,-,2,5,10,-,1,2,2,
South Dakota,-,2,8,11,-,1,1,14,
South Atlantic,5,68,1,096,1,198,-,1,5,7,
Delaware,-,1,10,38,-,0,-,-,
District of Columbia,-,2,11,16,-,0,-,-,
Florida,2,17,462,448,-,0,-,1,
Georgia,-,11,191,188,-,0,-,1,
Maryland,-,22,59,163,-,1,1,1,
North Carolina,2,22,109,136,-,1,3,2,
South Carolina,-,8,82,67,-,0,-,-,
Virginia,1,8,163,136,-,1,1,-,
West Virginia,-,2,9,6,-,0,-,2,
East South Central,-,11,248,250,-,1,5,15,
Alabama,-,5,57,84,-,1,1,-,
Kentucky,-,4,63,50,-,1,4,11,
Mississippi,-,4,36,37,-,0,-,-,
Tennessee,-,7,92,79,-,0,-,4,
West South Central,-,35,490,1,089,-,8,23,23,
Arkansas,-,4,60,62,-,2,17,21,
Louisiana,-,10,59,69,-,0,-,-,
Oklahoma,-,4,45,64,-,8,6,1,
Texas,-,25,326,894,-,0,-,1,
Mountain,1,14,292,269,-,1,8,12,
Arizona,-,9,124,122,-,1,1,-,
Colorado,-,6,50,47,-,1,3,3,
Idaho,1,2,9,4,-,1,1,2,
Montana,-,1,5,3,-,0,-,2,
Nevada,-,5,47,57,-,0,-,-,
New Mexico,-,4,28,22,-,0,-,-,
Utah,-,3,29,12,-,1,3,3,
Wyoming,-,1,-,2,-,0,-,2,
Pacific,6,80,466,1,911,-,2,8,7,
Alaska,-,7,87,54,-,0,-,-,
California,-,69,1,1,521,-,1,3,2,
Hawaii,5,5,88,94,-,0,-,-,
Oregon,1,8,64,63,-,1,2,2,
Washington,-,13,226,179,-,1,3,3,
U.S. Territories,-,6,73,105,-,0,-,-,
American Samoa,-,0,-,4,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,33,-,0,-,-,
Guam,-,4,45,54,-,0,-,-,
Puerto Rico,-,3,17,13,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,39,335,4,546,6,906,-,13,126,154,
