Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,39,336,1,245,2,404,-,14,9,25,
New England,-,11,74,91,-,1,1,-,
Connecticut,-,4,18,20,-,0,-,-,
Maine,-,1,3,6,-,0,-,-,
Massachusetts,-,8,48,54,-,1,1,-,
New Hampshire,-,2,3,4,-,0,-,-,
Rhode Island,-,2,2,5,-,0,-,-,
Vermont,-,0,-,2,-,0,-,-,
Middle Atlantic,14,85,328,321,-,2,-,-,
New Jersey,2,68,66,55,-,2,-,-,
New York (excluding New York City),-,9,17,47,-,1,-,-,
New York City,9,19,195,161,-,1,-,-,
Pennsylvania,3,8,50,58,-,0,-,-,
East North Central,2,65,148,181,-,3,1,3,
Illinois,-,40,51,77,-,1,-,-,
Indiana,-,21,26,28,-,2,-,1,
Michigan,-,11,21,42,-,1,1,-,
Ohio,2,20,29,10,-,1,-,-,
Wisconsin,-,4,21,24,-,1,-,2,
West North Central,-,25,58,94,-,8,4,10,
Iowa,-,4,-,17,-,1,-,1,
Kansas,-,7,-,13,-,3,1,4,
Minnesota,-,17,25,25,-,0,-,-,
Missouri,-,5,22,25,-,2,3,3,
Nebraska,-,2,6,5,-,1,-,-,
North Dakota,-,2,2,4,-,1,-,-,
South Dakota,-,2,3,5,-,4,-,2,
South Atlantic,10,66,199,415,-,1,2,1,
Delaware,-,19,5,7,-,0,-,-,
District of Columbia,-,2,3,5,-,0,-,-,
Florida,-,16,1,194,-,1,-,-,
Georgia,-,11,73,76,-,0,-,-,
Maryland,-,20,-,51,-,1,-,-,
North Carolina,2,22,31,27,-,1,1,1,
South Carolina,4,8,25,21,-,0,-,-,
Virginia,4,11,57,33,-,1,1,-,
West Virginia,-,2,4,1,-,1,-,-,
East South Central,6,13,107,83,-,1,-,4,
Alabama,1,8,29,23,-,0,-,-,
Kentucky,1,5,22,18,-,1,-,3,
Mississippi,-,4,10,12,-,0,-,-,
Tennessee,4,7,46,30,-,1,-,1,
West South Central,1,36,72,404,-,2,-,5,
Arkansas,-,6,14,26,-,2,-,4,
Louisiana,1,10,32,27,-,0,-,-,
Oklahoma,-,4,24,16,-,0,-,1,
Texas,-,30,2,335,-,1,-,-,
Mountain,3,14,87,99,-,2,-,2,
Arizona,1,6,28,43,-,0,-,-,
Colorado,-,5,15,20,-,1,-,1,
Idaho,2,2,6,-,-,1,-,1,
Montana,-,1,1,-,-,1,-,-,
Nevada,-,5,23,24,-,0,-,-,
New Mexico,-,2,6,10,-,0,-,-,
Utah,-,3,8,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,3,82,172,716,-,2,1,-,
Alaska,1,7,33,23,-,0,-,-,
California,-,71,9,556,-,2,1,-,
Hawaii,-,8,31,37,-,0,-,-,
Oregon,2,8,27,29,-,1,-,-,
Washington,-,10,72,71,-,0,-,-,
U.S. Territories,-,8,31,29,-,0,-,-,
American Samoa,-,1,-,1,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,5,-,0,-,-,
Guam,-,3,18,20,-,0,-,-,
Puerto Rico,-,3,7,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,39,338,1,276,2,433,-,14,9,25,
