Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,45,312,417,899,-,11,1,3,
New England,1,10,31,32,-,1,-,-,
Connecticut,-,4,6,10,-,0,-,-,
Maine,-,1,2,1,-,0,-,-,
Massachusetts,-,8,21,19,-,1,-,-,
New Hampshire,1,2,2,-,-,0,-,-,
Rhode Island,-,2,-,2,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,19,84,120,147,-,2,-,-,
New Jersey,3,67,24,23,-,2,-,-,
New York (excluding New York City),-,9,1,23,-,1,-,-,
New York City,13,19,77,77,-,1,-,-,
Pennsylvania,3,8,18,24,-,0,-,-,
East North Central,3,65,31,72,-,3,1,1,
Illinois,-,40,11,31,-,1,-,-,
Indiana,-,21,7,9,-,2,-,1,
Michigan,-,11,-,18,-,1,1,-,
Ohio,3,20,11,-,-,1,-,-,
Wisconsin,-,4,2,14,-,1,-,-,
West North Central,-,25,14,42,-,6,-,-,
Iowa,-,4,-,10,-,1,-,-,
Kansas,-,7,-,5,-,3,-,-,
Minnesota,-,17,12,7,-,0,-,-,
Missouri,-,5,1,11,-,1,-,-,
Nebraska,-,2,-,4,-,1,-,-,
North Dakota,-,2,-,2,-,1,-,-,
South Dakota,-,2,1,3,-,4,-,-,
South Atlantic,8,53,42,64,-,1,-,-,
Delaware,-,18,-,1,-,0,-,-,
District of Columbia,-,2,-,1,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,1,30,-,0,-,-,
Maryland,-,19,-,15,-,1,-,-,
North Carolina,6,22,14,2,-,1,-,-,
South Carolina,-,8,4,5,-,0,-,-,
Virginia,2,11,21,10,-,0,-,-,
West Virginia,-,2,2,-,-,1,-,-,
East South Central,6,15,46,30,-,2,-,1,
Alabama,-,8,12,12,-,0,-,-,
Kentucky,1,5,12,7,-,2,-,-,
Mississippi,-,4,6,1,-,0,-,-,
Tennessee,5,7,16,10,-,1,-,1,
West South Central,5,37,33,160,-,1,-,1,
Arkansas,-,6,10,11,-,1,-,1,
Louisiana,4,10,11,8,-,0,-,-,
Oklahoma,1,5,10,5,-,1,-,-,
Texas,-,31,2,136,-,1,-,-,
Mountain,1,14,24,50,-,2,-,-,
Arizona,-,6,7,21,-,0,-,-,
Colorado,-,5,3,10,-,1,-,-,
Idaho,-,1,2,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,7,11,-,0,-,-,
New Mexico,1,2,4,6,-,0,-,-,
Utah,-,3,1,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,2,80,76,302,-,2,-,-,
Alaska,-,4,4,17,-,0,-,-,
California,-,69,16,220,-,2,-,-,
Hawaii,-,8,14,13,-,0,-,-,
Oregon,2,8,17,15,-,1,-,-,
Washington,-,9,25,37,-,0,-,-,
U.S. Territories,-,7,12,13,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,5,3,1,-,0,-,-,
Guam,-,3,8,10,-,0,-,-,
Puerto Rico,-,3,1,2,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,45,314,429,912,-,11,1,3,
