Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,49,336,1,355,2,554,-,14,10,29,
New England,2,11,78,96,-,1,1,-,
Connecticut,-,4,18,21,-,0,-,-,
Maine,-,1,3,7,-,0,-,-,
Massachusetts,2,8,51,56,-,1,1,-,
New Hampshire,-,2,3,4,-,0,-,-,
Rhode Island,-,2,3,6,-,0,-,-,
Vermont,-,0,-,2,-,0,-,-,
Middle Atlantic,26,85,356,352,-,2,-,-,
New Jersey,8,68,74,56,-,2,-,-,
New York (excluding New York City),-,9,17,56,-,1,-,-,
New York City,17,19,213,180,-,1,-,-,
Pennsylvania,1,8,52,60,-,0,-,-,
East North Central,1,65,154,186,-,3,1,3,
Illinois,-,40,56,77,-,1,-,-,
Indiana,-,21,26,29,-,2,-,1,
Michigan,-,11,21,43,-,1,1,-,
Ohio,-,20,29,12,-,1,-,-,
Wisconsin,1,4,22,25,-,1,-,2,
West North Central,-,25,58,99,-,8,5,14,
Iowa,-,4,-,17,-,1,-,1,
Kansas,-,7,-,13,-,3,1,5,
Minnesota,-,17,25,28,-,0,-,-,
Missouri,-,5,22,27,-,2,3,3,
Nebraska,-,2,6,5,-,1,1,-,
North Dakota,-,2,2,4,-,1,-,1,
South Dakota,-,2,3,5,-,4,-,4,
South Atlantic,6,66,245,446,-,1,2,1,
Delaware,-,19,5,7,-,0,-,-,
District of Columbia,-,2,3,5,-,0,-,-,
Florida,4,16,42,205,-,1,-,-,
Georgia,-,11,75,83,-,0,-,-,
Maryland,-,20,-,54,-,1,-,-,
North Carolina,1,22,33,31,-,1,1,1,
South Carolina,-,8,25,25,-,0,-,-,
Virginia,1,11,58,35,-,1,1,-,
West Virginia,-,2,4,1,-,1,-,-,
East South Central,2,13,116,92,-,1,-,4,
Alabama,-,8,29,30,-,0,-,-,
Kentucky,2,5,24,18,-,1,-,3,
Mississippi,-,4,17,12,-,0,-,-,
Tennessee,-,7,46,32,-,1,-,1,
West South Central,1,36,72,428,-,2,-,5,
Arkansas,-,6,14,27,-,2,-,4,
Louisiana,1,10,33,28,-,0,-,-,
Oklahoma,-,4,22,19,-,0,-,1,
Texas,-,30,3,354,-,1,-,-,
Mountain,6,14,96,103,-,2,-,2,
Arizona,-,6,30,44,-,0,-,-,
Colorado,3,5,19,22,-,1,-,1,
Idaho,-,2,5,-,-,1,-,1,
Montana,-,1,1,-,-,1,-,-,
Nevada,2,5,26,25,-,0,-,-,
New Mexico,-,2,6,10,-,0,-,-,
Utah,1,3,9,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,5,82,180,752,-,2,1,-,
Alaska,4,7,37,24,-,0,-,-,
California,-,71,7,579,-,2,1,-,
Hawaii,1,8,32,40,-,0,-,-,
Oregon,-,8,27,31,-,1,-,-,
Washington,-,10,77,78,-,0,-,-,
U.S. Territories,-,8,31,31,-,0,-,-,
American Samoa,-,1,-,1,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,6,-,0,-,-,
Guam,-,3,18,21,-,0,-,-,
Puerto Rico,-,3,7,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,49,338,1,386,2,585,-,14,10,29,
