Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,43,333,3,694,5,722,-,13,107,133,
New England,1,11,168,187,-,1,2,5,
Connecticut,-,5,46,44,-,0,-,-,
Maine,-,2,9,11,-,1,1,-,
Massachusetts,1,8,103,106,-,1,1,5,
New Hampshire,-,2,4,8,-,0,-,-,
Rhode Island,-,1,5,15,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,16,85,728,797,-,1,1,6,
New Jersey,5,68,175,169,-,1,1,4,
New York (excluding New York City),-,9,5,108,-,1,-,-,
New York City,9,19,426,395,-,0,-,2,
Pennsylvania,2,10,122,125,-,0,-,-,
East North Central,3,65,423,531,-,4,11,9,
Illinois,-,42,163,193,-,2,7,2,
Indiana,3,15,60,95,-,2,1,3,
Michigan,-,8,71,106,-,1,3,1,
Ohio,-,17,88,85,-,1,-,1,
Wisconsin,-,4,41,52,-,1,-,2,
West North Central,1,25,223,242,-,7,54,57,
Iowa,-,4,24,36,-,2,4,2,
Kansas,-,10,35,29,-,4,18,21,
Minnesota,-,14,79,92,-,1,1,1,
Missouri,-,4,58,56,-,3,18,9,
Nebraska,-,3,16,13,-,2,10,8,
North Dakota,-,2,3,7,-,1,2,2,
South Dakota,1,2,8,9,-,1,1,14,
South Atlantic,13,67,902,1,015,-,1,3,5,
Delaware,-,2,7,35,-,0,-,-,
District of Columbia,-,2,9,12,-,0,-,-,
Florida,4,18,389,392,-,0,-,1,
Georgia,-,11,156,163,-,0,-,-,
Maryland,-,21,50,143,-,1,-,-,
North Carolina,-,22,88,105,-,1,2,2,
South Carolina,-,8,59,50,-,0,-,-,
Virginia,8,8,136,109,-,1,1,-,
West Virginia,1,2,8,6,-,0,-,2,
East South Central,6,11,221,206,-,1,4,13,
Alabama,1,5,55,70,-,0,-,-,
Kentucky,1,4,58,39,-,1,4,9,
Mississippi,-,4,28,30,-,0,-,-,
Tennessee,4,7,80,67,-,0,-,4,
West South Central,-,35,400,932,-,3,18,22,
Arkansas,-,4,46,60,-,2,14,20,
Louisiana,-,10,59,60,-,0,-,-,
Oklahoma,-,4,45,45,-,2,4,1,
Texas,-,25,250,767,-,0,-,1,
Mountain,-,14,244,216,-,2,8,12,
Arizona,-,8,96,104,-,1,1,-,
Colorado,-,6,39,33,-,1,3,3,
Idaho,-,2,7,3,-,1,1,2,
Montana,-,1,3,2,-,0,-,2,
Nevada,-,5,47,45,-,0,-,-,
New Mexico,-,4,27,18,-,0,-,-,
Utah,-,3,25,9,-,1,3,3,
Wyoming,-,1,-,2,-,1,-,2,
Pacific,3,80,385,1,596,-,1,6,4,
Alaska,-,7,72,47,-,0,-,-,
California,-,69,4,1,267,-,1,1,2,
Hawaii,1,8,68,71,-,0,-,-,
Oregon,2,8,55,53,-,1,2,2,
Washington,-,13,186,158,-,1,3,-,
U.S. Territories,1,6,68,85,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,27,-,0,-,-,
Guam,1,4,43,44,-,0,-,-,
Puerto Rico,-,3,14,10,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,44,335,3,762,5,807,-,13,107,133,
