Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,25,335,3,536,5,406,-,10,98,127,
New England,-,11,163,180,-,1,2,5,
Connecticut,-,5,45,43,-,0,-,-,
Maine,-,2,9,10,-,1,1,-,
Massachusetts,-,8,99,104,-,1,1,5,
New Hampshire,-,2,4,7,-,0,-,-,
Rhode Island,-,1,5,13,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,9,85,692,760,-,1,1,6,
New Jersey,3,68,162,158,-,1,1,4,
New York (excluding New York City),-,9,8,105,-,1,-,-,
New York City,6,19,408,377,-,0,-,2,
Pennsylvania,-,10,114,120,-,0,-,-,
East North Central,1,65,393,494,-,4,11,8,
Illinois,-,42,158,170,-,2,7,2,
Indiana,1,15,57,92,-,2,1,3,
Michigan,-,8,63,104,-,1,3,1,
Ohio,-,17,76,82,-,1,-,-,
Wisconsin,-,4,39,46,-,1,-,2,
West North Central,-,25,212,231,-,6,50,56,
Iowa,-,4,24,35,-,2,4,2,
Kansas,-,10,35,26,-,4,15,21,
Minnesota,-,14,69,92,-,1,1,1,
Missouri,-,5,58,50,-,3,17,9,
Nebraska,-,3,16,12,-,2,10,7,
North Dakota,-,2,3,7,-,1,2,2,
South Dakota,-,2,7,9,-,1,1,14,
South Atlantic,4,67,871,963,-,1,3,5,
Delaware,-,2,6,35,-,0,-,-,
District of Columbia,-,2,8,10,-,0,-,-,
Florida,2,18,377,369,-,0,-,1,
Georgia,-,11,157,160,-,0,-,-,
Maryland,-,21,50,137,-,1,-,-,
North Carolina,2,22,86,99,-,1,2,2,
South Carolina,-,8,55,47,-,0,-,-,
Virginia,-,9,125,100,-,1,1,-,
West Virginia,-,2,7,6,-,0,-,2,
East South Central,8,11,210,192,-,1,3,12,
Alabama,5,8,52,61,-,0,-,-,
Kentucky,3,4,54,39,-,1,3,8,
Mississippi,-,4,28,29,-,0,-,-,
Tennessee,-,7,76,63,-,0,-,4,
West South Central,-,36,397,881,-,3,14,21,
Arkansas,-,4,44,57,-,2,10,19,
Louisiana,-,10,59,55,-,0,-,-,
Oklahoma,-,4,45,41,-,2,4,1,
Texas,-,25,249,728,-,0,-,1,
Mountain,-,14,238,204,-,2,8,10,
Arizona,-,8,91,99,-,1,1,-,
Colorado,-,6,40,35,-,1,3,3,
Idaho,-,2,7,1,-,1,1,2,
Montana,-,1,3,1,-,0,-,2,
Nevada,-,5,47,42,-,0,-,-,
New Mexico,-,4,26,18,-,0,-,-,
Utah,-,3,24,6,-,1,3,2,
Wyoming,-,1,-,2,-,1,-,1,
Pacific,3,80,360,1,501,-,1,6,4,
Alaska,1,7,71,44,-,0,-,-,
California,-,69,4,1,190,-,1,1,2,
Hawaii,1,8,62,68,-,0,-,-,
Oregon,1,8,50,51,-,1,2,2,
Washington,-,13,173,148,-,1,3,-,
U.S. Territories,1,6,66,84,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,27,-,0,-,-,
Guam,1,4,42,44,-,0,-,-,
Puerto Rico,-,3,13,9,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,26,337,3,602,5,490,-,10,98,127,
