Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,37,328,1,161,2,266,-,14,8,20,
New England,4,11,72,85,-,1,-,-,
Connecticut,-,4,18,18,-,0,-,-,
Maine,-,1,3,5,-,0,-,-,
Massachusetts,4,8,46,53,-,1,-,-,
New Hampshire,-,2,3,4,-,0,-,-,
Rhode Island,-,2,2,3,-,0,-,-,
Vermont,-,0,-,2,-,0,-,-,
Middle Atlantic,18,79,296,289,-,2,-,-,
New Jersey,4,68,64,54,-,2,-,-,
New York (excluding New York City),-,6,-,21,-,1,-,-,
New York City,12,19,186,157,-,1,-,-,
Pennsylvania,2,8,46,57,-,0,-,-,
East North Central,-,65,131,173,-,3,1,2,
Illinois,-,40,40,77,-,1,-,-,
Indiana,-,21,26,24,-,2,-,1,
Michigan,-,11,19,41,-,1,1,-,
Ohio,-,20,27,8,-,1,-,-,
Wisconsin,-,4,19,23,-,1,-,1,
West North Central,-,25,53,92,-,8,4,6,
Iowa,-,4,-,17,-,1,-,1,
Kansas,-,7,-,13,-,3,1,1,
Minnesota,-,17,25,25,-,0,-,-,
Missouri,-,5,22,23,-,2,3,2,
Nebraska,-,2,1,5,-,1,-,-,
North Dakota,-,2,2,4,-,1,-,-,
South Dakota,-,2,3,5,-,4,-,2,
South Atlantic,3,65,187,394,-,1,2,1,
Delaware,-,19,5,4,-,0,-,-,
District of Columbia,-,2,3,4,-,0,-,-,
Florida,-,16,1,187,-,1,-,-,
Georgia,1,11,71,72,-,0,-,-,
Maryland,-,19,-,50,-,1,-,-,
North Carolina,-,22,29,24,-,1,1,1,
South Carolina,-,8,21,20,-,0,-,-,
Virginia,2,11,53,32,-,1,1,-,
West Virginia,-,2,4,1,-,1,-,-,
East South Central,7,13,101,78,-,1,-,4,
Alabama,1,8,28,21,-,0,-,-,
Kentucky,2,5,21,17,-,1,-,3,
Mississippi,-,4,10,10,-,0,-,-,
Tennessee,4,7,42,30,-,1,-,1,
West South Central,2,36,71,383,-,2,-,5,
Arkansas,-,6,14,26,-,2,-,4,
Louisiana,1,10,31,26,-,0,-,-,
Oklahoma,1,4,24,16,-,0,-,1,
Texas,-,30,2,315,-,1,-,-,
Mountain,2,14,80,94,-,2,-,2,
Arizona,-,6,25,38,-,0,-,-,
Colorado,-,5,14,20,-,1,-,1,
Idaho,-,2,4,-,-,1,-,1,
Montana,1,1,1,-,-,1,-,-,
Nevada,-,5,22,24,-,0,-,-,
New Mexico,-,2,6,10,-,0,-,-,
Utah,1,3,8,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,1,82,170,678,-,2,1,-,
Alaska,1,7,32,23,-,0,-,-,
California,-,71,11,524,-,2,1,-,
Hawaii,-,8,30,35,-,0,-,-,
Oregon,-,8,25,27,-,1,-,-,
Washington,-,10,72,69,-,0,-,-,
U.S. Territories,-,8,31,28,-,0,-,-,
American Samoa,-,3,3,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,5,-,0,-,-,
Guam,-,3,15,20,-,0,-,-,
Puerto Rico,-,3,7,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,37,330,1,192,2,294,-,14,8,20,
