Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,49,334,2,133,3,608,1,13,29,67,
New England,1,11,100,129,-,1,2,-,
Connecticut,-,4,25,26,-,0,-,-,
Maine,-,1,3,8,-,1,1,-,
Massachusetts,1,8,66,78,-,1,1,-,
New Hampshire,-,2,3,5,-,0,-,-,
Rhode Island,-,2,3,9,-,0,-,-,
Vermont,-,0,-,3,-,0,-,-,
Middle Atlantic,16,85,458,488,-,2,-,2,
New Jersey,7,68,99,83,-,2,-,1,
New York (excluding New York City),-,9,17,75,-,1,-,-,
New York City,9,19,273,253,-,1,-,1,
Pennsylvania,-,8,69,77,-,0,-,-,
East North Central,-,65,243,318,-,3,6,7,
Illinois,-,40,90,123,-,1,4,1,
Indiana,-,15,43,70,-,2,1,3,
Michigan,-,10,31,66,-,1,1,1,
Ohio,-,20,50,26,-,1,-,-,
Wisconsin,-,4,29,33,-,1,-,2,
West North Central,2,25,130,143,1,5,15,32,
Iowa,-,4,23,21,-,2,2,1,
Kansas,-,5,-,22,-,3,4,11,
Minnesota,2,17,48,44,-,0,-,-,
Missouri,-,5,41,36,-,1,3,6,
Nebraska,-,3,12,7,1,1,4,2,
North Dakota,-,2,3,6,-,1,2,1,
South Dakota,-,2,3,7,-,2,-,11,
South Atlantic,8,66,548,657,-,1,1,2,
Delaware,-,2,6,28,-,0,-,-,
District of Columbia,-,2,5,7,-,0,-,-,
Florida,-,17,253,257,-,1,-,-,
Georgia,-,11,103,115,-,0,-,-,
Maryland,-,20,-,79,-,1,-,-,
North Carolina,2,22,52,62,-,1,1,2,
South Carolina,-,8,38,35,-,0,-,-,
Virginia,6,10,86,69,-,1,-,-,
West Virginia,-,2,5,5,-,1,-,-,
East South Central,5,13,146,126,-,1,-,8,
Alabama,1,8,37,40,-,0,-,-,
Kentucky,2,4,33,27,-,1,-,7,
Mississippi,-,4,24,17,-,0,-,-,
Tennessee,2,7,52,42,-,1,-,1,
West South Central,8,36,112,587,-,2,3,10,
Arkansas,-,6,32,36,-,2,1,9,
Louisiana,5,10,44,38,-,0,-,-,
Oklahoma,3,4,33,31,-,1,2,1,
Texas,-,25,3,482,-,1,-,-,
Mountain,3,14,152,139,-,2,2,6,
Arizona,-,6,53,64,-,0,-,-,
Colorado,-,5,26,25,-,1,2,2,
Idaho,-,2,5,-,-,0,-,2,
Montana,-,1,1,1,-,1,-,1,
Nevada,1,5,33,33,-,0,-,-,
New Mexico,1,5,17,13,-,0,-,-,
Utah,1,3,17,2,-,1,-,1,
Wyoming,-,1,-,1,-,1,-,-,
Pacific,6,80,244,1,021,-,2,-,-,
Alaska,5,7,54,24,-,0,-,-,
California,-,69,4,810,-,1,-,-,
Hawaii,1,8,44,51,-,0,-,-,
Oregon,-,8,33,41,-,1,-,-,
Washington,-,10,109,95,-,1,-,-,
U.S. Territories,-,8,38,56,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,14,-,0,-,-,
Guam,-,3,23,32,-,0,-,-,
Puerto Rico,-,3,9,7,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,49,336,2,171,3,664,1,13,29,67,
