Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,34,335,1,837,3,200,1,14,21,57,
New England,-,11,96,113,-,1,1,-,
Connecticut,-,4,25,24,-,0,-,-,
Maine,-,1,3,7,-,0,-,-,
Massachusetts,-,8,62,67,-,1,1,-,
New Hampshire,-,2,3,4,-,0,-,-,
Rhode Island,-,2,3,8,-,0,-,-,
Vermont,-,0,-,3,-,0,-,-,
Middle Atlantic,10,85,424,437,-,2,-,2,
New Jersey,-,68,89,70,-,2,-,1,
New York (excluding New York City),-,9,17,68,-,1,-,-,
New York City,10,19,254,227,-,1,-,1,
Pennsylvania,-,8,64,72,-,0,-,-,
East North Central,-,65,207,242,-,3,6,5,
Illinois,-,40,77,91,-,1,4,-,
Indiana,-,21,39,39,-,2,1,3,
Michigan,-,10,31,58,-,1,1,-,
Ohio,-,20,37,23,-,1,-,-,
Wisconsin,-,4,23,31,-,1,-,2,
West North Central,6,25,93,125,-,8,10,30,
Iowa,-,4,1,20,-,1,1,1,
Kansas,-,5,-,20,-,3,3,11,
Minnesota,6,17,41,34,-,0,-,-,
Missouri,-,5,38,33,-,2,2,5,
Nebraska,-,2,7,6,-,1,2,1,
North Dakota,-,2,3,5,-,1,2,1,
South Dakota,-,2,3,7,-,4,-,11,
South Atlantic,7,66,464,579,-,1,1,1,
Delaware,-,2,6,28,-,0,-,-,
District of Columbia,-,2,5,5,-,0,-,-,
Florida,3,16,221,241,-,1,-,-,
Georgia,-,11,82,106,-,0,-,-,
Maryland,-,20,-,70,-,1,-,-,
North Carolina,-,22,37,41,-,1,1,1,
South Carolina,-,8,31,32,-,0,-,-,
Virginia,4,10,77,53,-,1,-,-,
West Virginia,-,2,5,3,-,1,-,-,
East South Central,2,13,136,113,-,1,-,7,
Alabama,-,8,36,33,-,0,-,-,
Kentucky,-,4,27,24,-,1,-,6,
Mississippi,-,4,23,17,-,0,-,-,
Tennessee,2,7,50,39,-,1,-,1,
West South Central,-,36,82,532,1,2,2,8,
Arkansas,-,6,14,34,-,2,1,7,
Louisiana,-,10,38,36,-,0,-,-,
Oklahoma,-,4,27,25,1,0,1,1,
Texas,-,30,3,437,-,1,-,-,
Mountain,5,14,127,128,-,2,1,4,
Arizona,-,6,44,57,-,0,-,-,
Colorado,-,5,22,25,-,1,1,2,
Idaho,-,2,5,-,-,0,-,2,
Montana,-,1,1,-,-,1,-,-,
Nevada,-,5,28,31,-,0,-,-,
New Mexico,4,2,13,12,-,0,-,-,
Utah,1,3,14,2,-,1,-,-,
Wyoming,-,1,-,1,-,1,-,-,
Pacific,4,81,208,931,-,2,-,-,
Alaska,3,7,47,24,-,0,-,-,
California,-,70,4,729,-,1,-,-,
Hawaii,1,8,35,48,-,0,-,-,
Oregon,-,8,29,39,-,1,-,-,
Washington,-,10,93,91,-,1,-,-,
U.S. Territories,-,8,38,45,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,9,-,0,-,-,
Guam,-,3,23,27,-,0,-,-,
Puerto Rico,-,3,9,6,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,34,337,1,875,3,245,1,14,21,57,
