Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,9,213,9,80,-,11,-,-,
New England,2,10,2,3,-,1,-,-,
Connecticut,-,4,-,2,-,0,-,-,
Maine,1,1,1,-,-,0,-,-,
Massachusetts,1,7,1,1,-,1,-,-,
New Hampshire,-,2,-,-,-,0,-,-,
Rhode Island,-,2,-,-,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,2,31,2,11,-,2,-,-,
New Jersey,-,22,-,-,-,2,-,-,
New York (excluding New York City),-,9,-,1,-,1,-,-,
New York City,2,19,2,9,-,1,-,-,
Pennsylvania,-,8,-,1,-,0,-,-,
East North Central,-,62,-,3,-,2,-,-,
Illinois,-,39,-,-,-,1,-,-,
Indiana,-,21,-,1,-,2,-,-,
Michigan,-,11,-,1,-,1,-,-,
Ohio,-,20,-,-,-,1,-,-,
Wisconsin,-,4,-,1,-,1,-,-,
West North Central,-,23,-,6,-,6,-,-,
Iowa,-,3,-,2,-,1,-,-,
Kansas,-,7,-,-,-,3,-,-,
Minnesota,-,17,-,-,-,0,-,-,
Missouri,-,4,-,4,-,1,-,-,
Nebraska,-,2,-,-,-,1,-,-,
North Dakota,-,2,-,-,-,1,-,-,
South Dakota,-,2,-,-,-,4,-,-,
South Atlantic,-,35,-,-,-,1,-,-,
Delaware,-,18,-,-,-,0,-,-,
District of Columbia,-,2,-,-,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,10,-,-,-,0,-,-,
Maryland,-,10,-,-,-,1,-,-,
North Carolina,-,14,-,-,-,1,-,-,
South Carolina,-,8,-,-,-,0,-,-,
Virginia,-,11,-,-,-,0,-,-,
West Virginia,-,2,-,-,-,1,-,-,
East South Central,2,15,2,3,-,2,-,-,
Alabama,1,8,1,-,-,0,-,-,
Kentucky,-,5,-,1,-,2,-,-,
Mississippi,-,4,-,-,-,0,-,-,
Tennessee,1,7,1,2,-,1,-,-,
West South Central,-,32,-,14,-,1,-,-,
Arkansas,-,6,-,-,-,1,-,-,
Louisiana,-,10,-,-,-,0,-,-,
Oklahoma,-,3,-,-,-,1,-,-,
Texas,-,30,-,14,-,1,-,-,
Mountain,1,11,1,5,-,2,-,-,
Arizona,-,6,-,1,-,0,-,-,
Colorado,-,5,-,1,-,1,-,-,
Idaho,-,1,-,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,1,5,1,2,-,0,-,-,
New Mexico,-,2,-,1,-,0,-,-,
Utah,-,3,-,-,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,2,65,2,35,-,2,-,-,
Alaska,-,4,-,1,-,0,-,-,
California,-,56,-,24,-,2,-,-,
Hawaii,1,8,1,5,-,0,-,-,
Oregon,-,7,-,1,-,1,-,-,
Washington,1,9,1,4,-,0,-,-,
U.S. Territories,-,5,-,-,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,3,-,-,-,0,-,-,
Guam,-,3,-,-,-,0,-,-,
Puerto Rico,-,2,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,9,215,9,80,-,11,-,-,
