Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,29,335,1,498,2,709,-,14,11,32,
New England,-,11,79,98,-,1,1,-,
Connecticut,-,4,18,21,-,0,-,-,
Maine,-,1,3,7,-,0,-,-,
Massachusetts,-,8,52,57,-,1,1,-,
New Hampshire,-,2,3,4,-,0,-,-,
Rhode Island,-,2,3,7,-,0,-,-,
Vermont,-,0,-,2,-,0,-,-,
Middle Atlantic,11,85,367,380,-,2,-,-,
New Jersey,6,68,80,60,-,2,-,-,
New York (excluding New York City),-,9,17,60,-,1,-,-,
New York City,5,19,218,195,-,1,-,-,
Pennsylvania,-,8,52,65,-,0,-,-,
East North Central,-,65,162,189,-,3,1,3,
Illinois,-,40,64,77,-,1,-,-,
Indiana,-,21,26,32,-,2,-,1,
Michigan,-,11,21,43,-,1,1,-,
Ohio,-,20,29,12,-,1,-,-,
Wisconsin,-,4,22,25,-,1,-,2,
West North Central,1,25,71,104,-,8,7,15,
Iowa,-,4,1,17,-,1,-,1,
Kansas,-,7,-,13,-,3,3,5,
Minnesota,-,17,25,32,-,0,-,-,
Missouri,1,5,34,27,-,2,3,3,
Nebraska,-,2,6,6,-,1,1,-,
North Dakota,-,2,2,4,-,1,-,1,
South Dakota,-,2,3,5,-,4,-,5,
South Atlantic,11,66,344,477,-,1,2,1,
Delaware,-,19,5,7,-,0,-,-,
District of Columbia,-,2,3,5,-,0,-,-,
Florida,3,16,132,215,-,1,-,-,
Georgia,-,11,75,88,-,0,-,-,
Maryland,-,20,-,54,-,1,-,-,
North Carolina,-,22,33,35,-,1,1,1,
South Carolina,3,8,28,26,-,0,-,-,
Virginia,5,11,64,46,-,1,1,-,
West Virginia,-,2,4,1,-,1,-,-,
East South Central,1,13,117,98,-,1,-,5,
Alabama,1,8,30,31,-,0,-,-,
Kentucky,-,5,24,18,-,1,-,4,
Mississippi,-,4,17,15,-,0,-,-,
Tennessee,-,7,46,34,-,1,-,1,
West South Central,3,36,76,455,-,2,-,5,
Arkansas,-,6,14,31,-,2,-,4,
Louisiana,2,10,35,29,-,0,-,-,
Oklahoma,1,4,24,21,-,0,-,1,
Texas,-,30,3,374,-,1,-,-,
Mountain,-,14,102,108,-,2,-,3,
Arizona,-,6,32,47,-,0,-,-,
Colorado,-,5,21,22,-,1,-,1,
Idaho,-,2,5,-,-,1,-,2,
Montana,-,1,1,-,-,1,-,-,
Nevada,-,5,26,25,-,0,-,-,
New Mexico,-,2,8,12,-,0,-,-,
Utah,-,3,9,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,2,81,180,800,-,2,-,-,
Alaska,2,7,39,24,-,0,-,-,
California,-,70,4,618,-,1,-,-,
Hawaii,-,8,32,42,-,0,-,-,
Oregon,-,8,28,32,-,1,-,-,
Washington,-,10,77,84,-,1,-,-,
U.S. Territories,1,8,33,33,-,0,-,-,
American Samoa,-,1,-,2,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,6,-,0,-,-,
Guam,1,3,20,22,-,0,-,-,
Puerto Rico,-,3,7,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,30,337,1,531,2,742,-,14,11,32,
