Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,42,334,2,323,3,886,5,13,52,86,
New England,1,11,118,138,-,1,2,1,
Connecticut,1,4,35,29,-,0,-,-,
Maine,-,1,3,8,-,1,1,-,
Massachusetts,-,8,74,83,-,1,1,1,
New Hampshire,-,2,3,5,-,0,-,-,
Rhode Island,-,2,3,10,-,0,-,-,
Vermont,-,0,-,3,-,0,-,-,
Middle Atlantic,14,85,508,520,-,2,-,4,
New Jersey,2,68,110,84,-,2,-,3,
New York (excluding New York City),-,9,17,76,-,1,-,-,
New York City,9,19,301,278,-,1,-,1,
Pennsylvania,3,8,80,82,-,0,-,-,
East North Central,4,65,261,355,-,3,6,7,
Illinois,-,40,92,123,-,1,4,1,
Indiana,-,15,48,76,-,2,1,3,
Michigan,-,8,31,76,-,1,1,1,
Ohio,4,20,59,47,-,1,-,-,
Wisconsin,-,4,31,33,-,1,-,2,
West North Central,2,25,154,149,2,5,31,42,
Iowa,-,4,24,24,-,2,2,2,
Kansas,-,5,13,23,-,4,13,14,
Minnesota,2,17,52,45,-,0,-,-,
Missouri,-,5,46,36,-,2,6,7,
Nebraska,-,3,13,8,2,1,7,3,
North Dakota,-,2,3,6,-,1,2,2,
South Dakota,-,2,3,7,-,2,1,14,
South Atlantic,11,66,590,708,-,1,3,2,
Delaware,-,2,7,29,-,0,-,-,
District of Columbia,-,2,6,7,-,0,-,-,
Florida,2,18,273,278,-,1,-,-,
Georgia,-,11,105,119,-,0,-,-,
Maryland,-,20,-,84,-,1,-,-,
North Carolina,2,22,59,70,-,1,2,2,
South Carolina,-,8,38,38,-,0,-,-,
Virginia,6,9,96,78,-,1,1,-,
West Virginia,1,2,6,5,-,1,-,-,
East South Central,5,13,155,129,-,1,-,9,
Alabama,-,8,38,40,-,0,-,-,
Kentucky,2,4,37,27,-,1,-,7,
Mississippi,-,4,24,18,-,0,-,-,
Tennessee,3,7,56,44,-,1,-,2,
West South Central,1,36,117,627,3,2,6,13,
Arkansas,-,6,34,37,1,2,2,12,
Louisiana,-,10,45,39,-,0,-,-,
Oklahoma,1,4,34,34,2,1,4,1,
Texas,-,25,4,517,-,1,-,-,
Mountain,-,14,159,151,-,2,3,8,
Arizona,-,6,54,72,-,0,-,-,
Colorado,-,5,28,27,-,1,2,2,
Idaho,-,2,5,-,-,1,1,2,
Montana,-,1,1,1,-,1,-,2,
Nevada,-,5,35,33,-,0,-,-,
New Mexico,-,5,18,15,-,0,-,-,
Utah,-,3,18,2,-,1,-,1,
Wyoming,-,1,-,1,-,1,-,1,
Pacific,4,80,261,1,109,-,2,1,-,
Alaska,1,7,56,27,-,0,-,-,
California,-,69,3,879,-,1,-,-,
Hawaii,1,8,45,53,-,0,-,-,
Oregon,2,8,36,43,-,1,-,-,
Washington,-,10,121,107,-,1,1,-,
U.S. Territories,1,8,47,57,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,7,14,-,0,-,-,
Guam,-,4,30,33,-,0,-,-,
Puerto Rico,1,3,10,7,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,43,336,2,370,3,943,5,13,52,86,
