Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,34,334,2,977,4,789,1,9,81,118,
New England,-,11,146,159,-,1,2,3,
Connecticut,-,5,40,34,-,0,-,-,
Maine,-,1,6,9,-,1,1,-,
Massachusetts,-,8,92,94,-,1,1,3,
New Hampshire,-,2,3,7,-,0,-,-,
Rhode Island,-,1,4,12,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,12,85,617,660,-,1,1,6,
New Jersey,-,68,129,131,-,1,1,4,
New York (excluding New York City),-,9,10,94,-,1,-,-,
New York City,9,19,382,332,-,1,-,2,
Pennsylvania,3,8,96,103,-,0,-,-,
East North Central,-,65,342,427,-,3,7,7,
Illinois,-,40,123,144,-,2,5,1,
Indiana,-,15,55,86,-,2,1,3,
Michigan,-,8,59,90,-,1,1,1,
Ohio,-,17,70,66,-,1,-,-,
Wisconsin,-,4,35,41,-,1,-,2,
West North Central,3,25,199,207,-,6,40,55,
Iowa,-,4,24,33,-,2,4,2,
Kansas,1,10,35,26,-,4,14,20,
Minnesota,2,14,65,79,-,0,-,1,
Missouri,-,5,52,45,-,3,11,9,
Nebraska,-,3,15,9,-,2,8,7,
North Dakota,-,2,3,7,-,1,2,2,
South Dakota,-,2,5,8,-,1,1,14,
South Atlantic,7,66,759,862,-,1,3,3,
Delaware,-,2,6,34,-,0,-,-,
District of Columbia,-,2,8,9,-,0,-,-,
Florida,2,18,339,337,-,1,-,-,
Georgia,-,11,128,145,-,0,-,-,
Maryland,-,20,32,108,-,1,-,-,
North Carolina,-,22,72,85,-,1,2,2,
South Carolina,1,8,53,44,-,0,-,-,
Virginia,4,9,114,94,-,1,1,-,
West Virginia,-,2,7,6,-,1,-,1,
East South Central,8,13,195,169,-,1,-,11,
Alabama,3,8,46,54,-,0,-,-,
Kentucky,2,4,47,35,-,1,-,7,
Mississippi,-,4,29,24,-,0,-,-,
Tennessee,3,7,73,56,-,0,-,4,
West South Central,3,36,186,774,-,3,14,20,
Arkansas,-,6,41,48,-,2,10,18,
Louisiana,2,10,59,51,-,0,-,-,
Oklahoma,1,4,41,38,-,2,4,1,
Texas,-,25,45,637,-,0,-,1,
Mountain,1,14,210,179,-,2,8,10,
Arizona,-,8,70,85,-,1,1,-,
Colorado,-,6,38,31,-,1,3,3,
Idaho,-,2,7,1,-,1,1,2,
Montana,-,1,3,1,-,0,-,2,
Nevada,-,5,46,40,-,0,-,-,
New Mexico,1,5,23,16,-,0,-,-,
Utah,-,3,23,4,-,1,3,2,
Wyoming,-,1,-,1,-,1,-,1,
Pacific,-,80,323,1,352,1,1,6,3,
Alaska,-,7,65,36,-,0,-,-,
California,-,69,3,1,076,-,1,1,2,
Hawaii,-,8,52,61,-,0,-,-,
Oregon,-,8,43,47,1,1,2,1,
Washington,-,11,160,132,-,1,3,-,
U.S. Territories,2,6,60,79,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,26,-,0,-,-,
Guam,-,4,37,41,-,0,-,-,
Puerto Rico,2,3,12,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,36,336,3,037,4,868,1,9,81,118,
