Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,43,335,3,422,5,256,-,9,92,124,
New England,3,11,159,176,-,1,2,4,
Connecticut,-,5,44,40,-,0,-,-,
Maine,1,2,9,10,-,1,1,-,
Massachusetts,2,8,97,103,-,1,1,4,
New Hampshire,-,2,4,7,-,0,-,-,
Rhode Island,-,1,4,13,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,21,85,682,734,-,1,1,6,
New Jersey,8,68,159,151,-,1,1,4,
New York (excluding New York City),-,9,8,102,-,1,-,-,
New York City,4,19,402,367,-,0,-,2,
Pennsylvania,9,8,113,114,-,0,-,-,
East North Central,1,65,382,483,-,3,9,8,
Illinois,-,42,149,170,-,2,5,2,
Indiana,-,15,56,87,-,2,1,3,
Michigan,-,8,63,103,-,1,3,1,
Ohio,1,17,76,81,-,1,-,-,
Wisconsin,-,4,38,42,-,1,-,2,
West North Central,-,25,208,225,-,6,46,55,
Iowa,-,4,24,34,-,2,4,2,
Kansas,-,10,35,26,-,4,15,20,
Minnesota,-,14,69,88,-,0,-,1,
Missouri,-,5,56,49,-,3,14,9,
Nebraska,-,3,16,12,-,2,10,7,
North Dakota,-,2,3,7,-,1,2,2,
South Dakota,-,2,5,9,-,1,1,14,
South Atlantic,9,67,856,934,-,1,3,5,
Delaware,-,2,6,35,-,0,-,-,
District of Columbia,-,2,8,10,-,0,-,-,
Florida,5,18,369,358,-,1,-,1,
Georgia,-,11,154,155,-,0,-,-,
Maryland,-,21,49,129,-,1,-,-,
North Carolina,2,22,84,94,-,1,2,2,
South Carolina,-,8,55,47,-,0,-,-,
Virginia,2,9,124,100,-,1,1,-,
West Virginia,-,2,7,6,-,0,-,2,
East South Central,4,11,202,182,-,1,3,12,
Alabama,1,8,47,58,-,0,-,-,
Kentucky,2,4,51,38,-,1,3,8,
Mississippi,-,4,28,28,-,0,-,-,
Tennessee,1,7,76,58,-,0,-,4,
West South Central,-,36,357,856,-,3,14,20,
Arkansas,-,4,41,55,-,2,10,18,
Louisiana,-,10,59,54,-,0,-,-,
Oklahoma,-,4,45,41,-,2,4,1,
Texas,-,25,212,706,-,0,-,1,
Mountain,1,14,230,200,-,2,8,10,
Arizona,-,8,83,98,-,1,1,-,
Colorado,-,6,40,34,-,1,3,3,
Idaho,-,2,7,1,-,1,1,2,
Montana,-,1,3,1,-,0,-,2,
Nevada,-,5,47,40,-,0,-,-,
New Mexico,1,4,26,18,-,0,-,-,
Utah,-,3,24,6,-,1,3,2,
Wyoming,-,1,-,2,-,1,-,1,
Pacific,4,80,346,1,466,-,1,6,4,
Alaska,3,7,69,44,-,0,-,-,
California,-,69,4,1,161,-,1,1,2,
Hawaii,-,8,57,68,-,0,-,-,
Oregon,1,8,48,51,-,1,2,2,
Washington,-,13,168,142,-,1,3,-,
U.S. Territories,2,6,65,81,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,26,-,0,-,-,
Guam,2,4,41,43,-,0,-,-,
Puerto Rico,-,3,13,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,45,337,3,487,5,337,-,9,92,124,
