Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,52,334,2,786,4,486,1,8,69,110,
New England,1,11,138,154,-,1,2,2,
Connecticut,-,5,39,34,-,0,-,-,
Maine,-,1,4,9,-,1,1,-,
Massachusetts,1,8,87,89,-,1,1,2,
New Hampshire,-,2,3,7,-,0,-,-,
Rhode Island,-,1,4,12,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,20,85,596,611,-,1,1,5,
New Jersey,3,68,128,116,-,1,1,4,
New York (excluding New York City),-,9,15,88,-,1,-,-,
New York City,14,19,363,311,-,1,-,1,
Pennsylvania,3,8,90,96,-,0,-,-,
East North Central,10,65,323,401,-,3,6,7,
Illinois,-,40,112,144,-,1,4,1,
Indiana,4,15,55,76,-,2,1,3,
Michigan,-,8,52,85,-,1,1,1,
Ohio,6,17,70,57,-,1,-,-,
Wisconsin,-,4,34,39,-,1,-,2,
West North Central,3,25,190,188,-,6,39,51,
Iowa,-,4,24,28,-,2,3,2,
Kansas,-,10,29,26,-,4,14,19,
Minnesota,2,14,62,69,-,0,-,1,
Missouri,1,5,52,42,-,3,11,8,
Nebraska,-,3,15,9,-,2,8,5,
North Dakota,-,2,3,6,-,1,2,2,
South Dakota,-,2,5,8,-,1,1,14,
South Atlantic,8,66,722,809,-,1,3,3,
Delaware,-,2,6,33,-,0,-,-,
District of Columbia,-,2,7,8,-,0,-,-,
Florida,-,18,323,319,-,1,-,-,
Georgia,-,11,127,138,-,0,-,-,
Maryland,3,20,30,97,-,1,-,-,
North Carolina,3,22,72,77,-,1,2,2,
South Carolina,-,8,45,42,-,0,-,-,
Virginia,2,9,105,89,-,1,1,-,
West Virginia,-,2,7,6,-,1,-,1,
East South Central,3,13,178,152,-,1,-,10,
Alabama,1,8,42,49,-,0,-,-,
Kentucky,-,4,43,30,-,1,-,7,
Mississippi,-,4,28,23,-,0,-,-,
Tennessee,2,7,65,50,-,1,-,3,
West South Central,3,36,139,725,-,3,9,19,
Arkansas,-,6,41,40,-,1,5,17,
Louisiana,2,10,55,46,-,0,-,-,
Oklahoma,1,4,39,36,-,2,4,1,
Texas,-,25,4,603,-,1,-,1,
Mountain,3,14,196,172,1,2,5,10,
Arizona,-,7,65,80,1,0,1,-,
Colorado,-,6,37,30,-,1,3,3,
Idaho,1,2,7,1,-,1,1,2,
Montana,-,1,1,1,-,0,-,2,
Nevada,-,5,43,40,-,0,-,-,
New Mexico,1,5,22,16,-,0,-,-,
Utah,1,3,21,3,-,1,-,2,
Wyoming,-,1,-,1,-,1,-,1,
Pacific,1,80,304,1,274,-,1,4,3,
Alaska,1,7,62,33,-,0,-,-,
California,-,69,4,1,012,-,1,1,2,
Hawaii,-,8,50,58,-,0,-,-,
Oregon,-,8,39,47,-,0,-,1,
Washington,-,10,149,124,-,1,3,-,
U.S. Territories,1,8,55,74,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,1,6,11,23,-,0,-,-,
Guam,-,4,34,40,-,0,-,-,
Puerto Rico,-,3,10,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,53,336,2,841,4,560,1,8,69,110,
