Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,94,334,2,734,4,364,1,8,68,104,
New England,3,11,137,152,-,1,2,2,
Connecticut,-,5,39,32,-,0,-,-,
Maine,-,1,4,9,-,1,1,-,
Massachusetts,3,8,86,89,-,1,1,2,
New Hampshire,-,2,3,7,-,0,-,-,
Rhode Island,-,1,4,12,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,23,85,576,590,-,1,1,5,
New Jersey,6,68,125,107,-,1,1,4,
New York (excluding New York City),-,9,15,83,-,1,-,-,
New York City,10,19,349,306,-,1,-,1,
Pennsylvania,7,8,87,94,-,0,-,-,
East North Central,16,65,313,392,-,3,6,7,
Illinois,13,40,112,144,-,1,4,1,
Indiana,-,15,51,76,-,2,1,3,
Michigan,-,8,52,83,-,1,1,1,
Ohio,2,17,64,50,-,1,-,-,
Wisconsin,1,4,34,39,-,1,-,2,
West North Central,5,25,187,188,-,6,39,47,
Iowa,-,4,24,28,-,2,3,2,
Kansas,-,10,29,26,-,4,14,17,
Minnesota,3,14,60,69,-,0,-,1,
Missouri,2,5,51,42,-,3,11,7,
Nebraska,-,3,15,9,-,2,8,4,
North Dakota,-,2,3,6,-,1,2,2,
South Dakota,-,2,5,8,-,1,1,14,
South Atlantic,22,66,714,794,-,1,3,2,
Delaware,-,2,6,33,-,0,-,-,
District of Columbia,1,2,7,8,-,0,-,-,
Florida,3,18,323,311,-,1,-,-,
Georgia,-,11,127,134,-,0,-,-,
Maryland,5,20,27,97,-,1,-,-,
North Carolina,3,22,69,76,-,1,2,2,
South Carolina,6,8,45,42,-,0,-,-,
Virginia,3,9,103,87,-,1,1,-,
West Virginia,1,2,7,6,-,1,-,-,
East South Central,5,13,175,144,-,1,-,10,
Alabama,1,8,41,45,-,0,-,-,
Kentucky,3,4,43,29,-,1,-,7,
Mississippi,-,4,28,21,-,0,-,-,
Tennessee,1,7,63,49,-,1,-,3,
West South Central,3,36,136,704,-,3,9,18,
Arkansas,-,6,41,40,-,1,5,17,
Louisiana,2,10,53,46,-,0,-,-,
Oklahoma,1,4,38,36,-,2,4,1,
Texas,-,25,4,582,-,1,-,-,
Mountain,10,14,193,168,1,2,4,10,
Arizona,-,7,65,78,-,0,-,-,
Colorado,6,5,37,30,1,1,3,3,
Idaho,1,2,6,1,-,1,1,2,
Montana,-,1,1,1,-,0,-,2,
Nevada,1,5,43,38,-,0,-,-,
New Mexico,1,5,21,16,-,0,-,-,
Utah,1,3,20,3,-,1,-,2,
Wyoming,-,1,-,1,-,1,-,1,
Pacific,7,80,303,1,232,-,1,4,3,
Alaska,1,7,61,31,-,0,-,-,
California,1,69,4,980,-,1,1,2,
Hawaii,5,8,50,58,-,0,-,-,
Oregon,-,8,39,46,-,0,-,1,
Washington,-,10,149,117,-,1,3,-,
U.S. Territories,1,8,54,66,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,10,17,-,0,-,-,
Guam,1,4,34,38,-,0,-,-,
Puerto Rico,-,3,10,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,95,336,2,788,4,430,1,8,68,104,
